Date,BANGLADESH SMALL CAP
2010-11,1000.0
2010-12,930.4446502178724
2011-01,783.8263833669148
2011-02,548.0485220518656
2011-03,608.39716036652
2011-04,543.2849257018257
2011-05,538.0931496479249
2011-06,580.959740878957
2011-07,622.2129375846317
2011-08,602.4363153008157
2011-09,594.639666366951
2011-10,489.7501070022141
2011-11,540.1803210395153
2011-12,519.6475063955921
2012-01,380.1269468566627
2012-02,439.03086213657866
2012-03,455.5543134829426
2012-04,471.9583157812537
2012-05,478.93678302492447
2012-06,447.2880070571771
2012-07,410.29669450811645
2012-08,423.5828011382893
2012-09,455.47338083532793
2012-10,426.0461535806981
2012-11,397.31378249181597
2012-12,401.8779118429363
2013-01,395.4743726552163
2013-02,397.8275032495467
2013-03,374.8038373957616
2013-04,335.99389623548836
2013-05,391.407242306273
2013-06,416.4036418268206
2013-07,376.3040120327021
2013-08,380.51623823542525
2013-09,348.3905460287436
2013-10,355.9052007305041
2013-11,385.4846132924269
2013-12,380.08540183435053
2014-01,441.5803152760329
2014-02,419.1974682699928
2014-03,396.4444440135965
2014-04,409.7049036470658
2014-05,404.37518760923183
2014-06,404.8542482155683
2014-07,414.1085850993225
2014-08,427.4333393457784
2014-09,492.01493147669663
2014-10,505.36278072032314
2014-11,475.87452732566163
2014-12,490.8519359946802
2015-01,516.1204381059832
2015-02,522.1535464814173
2015-03,512.9453706455821
2015-04,435.3702406864213
2015-05,527.2465684339151
2015-06,520.0956688851447
2015-07,556.0242547694432
2015-08,536.1315243276555
2015-09,559.4996018245348
2015-10,539.4199499166604
2015-11,562.8148042058986
2015-12,562.0177362715651
2016-01,557.2154352930153
2016-02,549.2929528808605
2016-03,515.7567125342442
2016-04,504.9529178176816
2016-05,550.9535330611952
2016-06,569.1122732661902
2016-07,575.6671118590709
2016-08,571.1107257852482
2016-09,585.413559522776
2016-10,587.9116735330961
2016-11,629.4714971239467
2016-12,658.9304644011501
2017-01,727.0042257920509
2017-02,745.8538107891588
2017-03,771.5912699353233
2017-04,694.1972154000682
2017-05,675.5924175461388
2017-06,701.0120190265503
2017-07,701.7414548316389
2017-08,713.8527089285218
2017-09,714.5606869425425
2017-10,705.3293166218284
2017-11,717.2821978700971
2017-12,701.0316644670675
2018-01,634.5693830686422
2018-02,616.4256500954174
2018-03,589.6869780811343
2018-04,612.5578552996175
2018-05,593.0424012505978
2018-06,590.4839402494887
2018-07,557.904063525301
2018-08,607.7930266396326
2018-09,575.5803334317083
2018-10,589.9951465826248
2018-11,584.2001518572616
2018-12,596.9792404719032
2019-01,643.6611397621255
2019-02,623.7386632231858
2019-03,602.7957776703075
2019-04,575.1034269386473
2019-05,607.2708697860024
2019-06,597.4050297255068
2019-07,584.4387214351142
2019-08,581.8680896953922
2019-09,569.5924338551811
2019-10,527.2286193054226
2019-11,543.3063127430561
2019-12,502.54721186927037
2020-01,527.1351204861072
2020-02,525.2936326617689
2020-03,473.36757979307896
2020-04,474.51737291632986
2020-05,466.6671691632739
2020-06,466.76397834424176
2020-07,476.14559556447875
2020-08,561.6969785339174
2020-09,567.7823633321703
2020-10,558.6990691735648
2020-11,564.4053389374101
2020-12,647.7756775410282
2021-01,706.1589884134282
2021-02,667.6586717197434
2021-03,672.9465025628997
2021-04,682.7691673947977
2021-05,724.7790066228633
2021-06,745.6951910465631
2021-07,768.3440677351698
2021-08,840.9310685722597
2021-09,941.5008395163874
2021-10,931.6212640012961
2021-11,907.8198328397573
2021-12,901.7801479244606
2022-01,922.5133580220303
2022-02,891.9009215401734
2022-03,894.670455955984
2022-04,943.7389569963613
2022-05,885.437479982774
2022-06,854.6700517977238
2022-07,814.7349315099649
2022-08,889.7831806681588
2022-09,864.7038378644964
2022-10,818.312136293485
2022-11,788.1327628417823
2022-12,745.872303203832
2023-01,717.1449316460655
2023-02,732.1473230448208
2023-03,707.5835946527668
2023-04,708.4132324468183
2023-05,730.4786451357916
2023-06,707.2729917965773
2023-07,695.0461275996356
