Date,BAHRAIN DOMESTIC SMALL CAP
2002-11,552.8070634693863
2002-12,535.6743937560104
2003-01,553.7140778792592
2003-02,545.3236454984664
2003-03,557.3573522605772
2003-04,584.8421713720485
2003-05,588.0086354464482
2003-06,624.4885847687182
2003-07,650.7147889528975
2003-08,659.3170870220272
2003-09,638.743602015441
2003-10,672.7237795292276
2003-11,662.0698324396258
2003-12,697.1429393216021
2004-01,738.4311335229149
2004-02,767.3693971532437
2004-03,717.5938612464428
2004-04,711.630003308484
2004-05,722.6379108072908
2004-06,736.716527347539
2004-07,763.1037619813981
2004-08,788.8973164146986
2004-09,846.6134970652843
2004-10,890.8939015881526
2004-11,901.8406163360894
2004-12,902.264418605744
2005-01,995.3510118784352
2005-02,1068.5845806975226
2005-03,1053.8634441572474
2005-04,1096.5854863610737
2005-05,1109.5813034158264
2005-06,1162.9696333292397
2005-07,1130.158821995369
2005-08,1097.7117804403574
2005-09,1156.6308067274385
2005-10,1162.9302012461794
2005-11,1190.7888481516463
2005-12,1163.2900630293761
2006-01,1177.0034637598078
2006-02,1167.3822039838024
2006-03,1006.4508691526248
2006-04,928.3566859260175
2006-05,885.3661305157481
2006-06,852.709392537847
2006-07,858.4396543998686
2006-08,876.737550419123
2006-09,910.1576969638204
2006-10,901.2521190006252
2006-11,842.2775613009525
2006-12,847.7399980701731
2007-01,819.9922561029059
2007-02,810.2825099860281
2007-03,854.5645768761
2007-04,802.1175217190349
2007-05,887.7869768600586
2007-06,922.5492572326842
2007-07,957.1630088008957
2007-08,1034.4995624174999
2007-09,1020.8433477964603
2007-10,1076.5618221094803
2007-11,1000.0000000000013
2007-12,1020.9207774441861
2008-01,1025.0492862270273
2008-02,1089.6905185211708
2008-03,1069.92800530865
2008-04,1072.7121168560657
2008-05,1109.8651504329473
2008-06,1149.8729862332948
2008-07,1216.3150186376272
2008-08,1266.9034860246522
2008-09,1193.5741127281142
2008-10,1126.5678438669186
2008-11,984.1472719407717
2008-12,863.0045692791006
2009-01,820.2665267442256
2009-02,831.4754515381737
2009-03,774.2445402537718
2009-04,825.7830010707114
2009-05,805.8172375476315
2009-06,808.1484044057389
2009-07,758.7690541163263
2009-08,766.1984393286709
2009-09,738.5666656773627
2009-10,699.6670620435883
2009-11,700.3545007513342
2009-12,720.9968488914124
2010-01,739.3094285579969
2010-02,737.8715867726421
2010-03,768.3984356178178
2010-04,749.3756803697352
2010-05,664.4752583969598
2010-06,644.1642040581937
2010-07,625.3437458227982
2010-08,620.9472561075868
2010-09,568.3794039609162
2010-10,561.0079308753283
2010-11,590.5671611015919
2010-12,551.5278563974139
2011-01,501.34680281898216
2011-02,453.61461185294434
2011-03,476.04171432465347
2011-04,426.9520393799286
2011-05,396.8732858092641
2011-06,377.6294596244324
2011-07,374.77511751370685
2011-08,369.62822376281866
2011-09,378.79009269660446
2011-10,356.8877243717394
2011-11,367.7503214028158
2011-12,378.787230572796
2012-01,362.51448669258593
2012-02,505.1910273781476
2012-03,482.2914706184367
2012-04,596.2701140076362
2012-05,569.1227524270353
2012-06,523.504470060572
2012-07,537.52412540129
2012-08,513.9480390445214
2012-09,518.838749793631
2012-10,541.8207484276645
2012-11,519.9201159407394
2012-12,563.1689565456187
2013-01,561.7401490913716
2013-02,593.6847565629122
2013-03,699.3997582676436
2013-04,727.3882003065174
2013-05,830.1191000464742
2013-06,780.2745706607336
2013-07,794.1463776595256
2013-08,782.2887255321328
2013-09,800.7210548301251
2013-10,839.2494924941471
2013-11,818.0811113958849
2013-12,967.1448093248226
2014-01,1079.2590591898445
2014-02,1228.237761459084
2014-03,1322.1737375148596
2014-04,1398.3605006498008
2014-05,1401.6961267751858
2014-06,1371.4320704884494
2014-07,1468.934856290327
2014-08,1536.8815049805548
2014-09,1713.2496350609817
2014-10,1702.4353004286834
2014-11,1673.6104361465793
2014-12,1681.0050634046427
2015-01,1856.2668815115223
2015-02,1948.1067771079322
2015-03,1954.2418359834812
2015-04,1948.7164712105352
2015-05,1956.1137314615312
2015-06,1896.989534723106
2015-07,1833.718380415075
2015-08,1797.3867102162799
2015-09,1882.8002228977919
2015-10,1943.6213970231952
2015-11,2001.8177696686705
2015-12,1971.5541145804384
2016-01,1861.6948058455346
2016-02,2006.057472938957
2016-03,1926.8161785478035
2016-04,1973.2633256391905
2016-05,2018.1312948650639
2016-06,2035.0880749899598
2016-07,2026.4469520754258
2016-08,1963.2148791818927
2016-09,1967.0023334392934
