Date,PAKISTAN SMALL GROWTH
2017-06,882.3114329731085
2017-07,814.9921048050682
2017-08,691.2147825744577
2017-09,681.1680283389261
2017-10,634.3705985915623
2017-11,619.4477423080871
2017-12,576.8866528079398
2018-01,618.9833615691888
2018-02,608.1853027984187
2018-03,600.0019535888375
2018-04,619.2229925756408
2018-05,604.4289466705801
2018-06,559.7587935867998
2018-07,561.0698718175775
2018-08,560.9929447445603
2018-09,533.0838019797069
2018-10,528.6609644084871
2018-11,487.3794833337487
2018-12,426.3281724282855
2019-01,466.7656966615135
2019-02,456.4982929671485
2019-03,448.27623074227137
2019-04,418.6267651160137
2019-05,399.92254358771055
2019-06,344.9968718791249
2019-07,334.2863267116342
2019-08,323.29749963899314
2019-09,342.13296556137806
2019-10,352.0509336252514
2019-11,427.7046259671194
2019-12,425.23814892213625
2020-01,448.6205819219622
2020-02,428.81397820282086
2020-03,306.679892024195
2020-04,382.1736624978784
2020-05,362.1299399636177
2020-06,348.25919231772843
2020-07,386.2115021160538
2020-08,393.69546883418667
2020-09,402.5086118008355
2020-10,419.2093856074728
2020-11,415.2038244878383
2020-12,421.99318779547156
2021-01,441.9210536844894
2021-02,487.43091111393335
2021-03,499.6594115376892
2021-04,474.88543413769867
2021-05,501.2149805861023
2021-06,493.78356097392845
2021-07,466.5708658038823
2021-08,461.51882656091453
2021-09,447.67161024886474
2021-10,436.7764124323231
2021-11,404.06332744410633
