Date,LITHUANIA SMALL CAP
2010-11,1000.0
2010-12,998.0498753237362
2011-01,993.4183033105663
2011-02,940.2771468119419
2011-03,920.8135334717251
2011-04,936.3867710513903
2011-05,1331.445310712599
2011-06,1348.7887293890637
2011-07,1429.3889237383453
2011-08,1323.263567880266
2011-09,1213.8586142915196
2011-10,1332.8905929773791
2011-11,1245.6445603950617
2011-12,1245.6445603950615
2012-01,1311.9477007809885
2012-02,1294.4261217061123
2012-03,1330.7577259160798
2012-04,1420.9183743274964
2012-05,1434.098535069931
2012-06,1453.7353289857965
2012-07,1543.4525686415166
2012-08,1556.0762387438128
2012-09,1498.0380206622374
2012-10,1494.809422831161
2012-11,1509.0057006589307
2012-12,1498.1051289082463
2013-01,1606.3501792226336
2013-02,1640.0925781197982
2013-03,1695.0080077811954
2013-04,1650.6865167541505
2013-05,1698.3986317428253
2013-06,1494.9423646035127
2013-07,1510.5470985664829
2013-08,1478.8987044236567
2013-09,1455.4923652546522
2013-10,1439.6133024061276
2013-11,1413.039472645122
2013-12,1350.9733394842888
2014-01,1368.6188411230066
2014-02,1331.4451401891133
2014-03,1320.4374159588729
2014-04,1289.8462543162343
2014-05,1374.2284183948443
2014-06,1360.144086141894
2014-07,1384.2886557183779
2014-08,1378.252513324257
2014-09,1422.5175575478095
2014-10,1374.2284183948418
2014-11,1389.8119998328057
2014-12,1404.0560466832142
2015-01,1428.4744127124886
2015-02,1424.404685040944
2015-03,1410.1606381905342
2015-04,1408.1257743547617
2015-05,1397.9514551758978
2015-06,1393.881727504354
2015-07,1410.1606381905378
2015-08,1353.1844507889
2015-09,1345.0449954458088
2015-10,1343.0101316100372
2015-11,1366.3494681866368
2015-12,1356.0761639145555
2016-01,1351.9668422057232
2016-02,1370.4587898954662
2016-03,1382.7867550219607
2016-04,1368.40412904105
2016-05,1362.2401464778013
2016-06,1366.3494681866327
2016-07,1368.4041290410505
2016-08,1364.2948073322166
2016-09,1351.966842205719
2016-10,1329.3655728071428
2016-11,1338.738385558303
2016-12,1324.2094418390657
2017-01,1344.9650757236902
2017-02,1334.587258781377
2017-03,1351.1917658890773
2017-04,1359.4940194429287
2017-05,1328.3605686159915
2017-11,1000.0
2017-12,1003.968253968253
2018-01,1039.6825396825384
2018-02,1035.714285714285
2018-03,1039.6825396825398
2018-04,1015.8730158730168
2018-05,988.6863425925945
2018-06,984.4791666666677
2018-07,967.6504629629637
2018-08,942.4074074074078
2018-09,908.7500000000011
2018-10,753.0844907407426
2018-11,706.805555555557
2020-11,1000.0
2020-12,1104.2128603104222
2021-01,1175.1662971175174
2021-02,1139.6895787139708
2021-03,1175.1662971175192
2021-04,1316.5498239207031
2021-05,1542.3079431329113
2021-06,1486.4272205556326
2021-07,1620.5409547411014
2021-08,1658.5398460936526
2021-09,1678.6569062214717
2021-10,1725.596713186387
2021-11,1694.3035085431106
2021-12,1701.0091952523835
2022-01,1692.0682796400197
2022-02,1499.8385939741775
2022-03,1477.4863049432656
2022-04,1416.587475766749
2022-05,1425.9378881480466
2022-06,1292.6945117145403
2022-07,1334.7713674303843
2022-08,1337.1089705257077
2022-09,1245.9424498080455
2022-10,1337.1089705257082
2022-11,1519.4420119610322
2022-12,1603.5957233927206
2023-01,1746.189512207526
2023-02,1746.1895122075255
2023-03,1589.570104820775
2023-04,1608.7961110787887
2023-05,1502.5092809174273
2023-06,1514.5873297994005
2023-07,1620.8741599607622
