Date,USA SMALL CAP
2000-12,100.0
2001-01,106.09201530129924
2001-02,102.84976824209568
2001-03,104.06426625343717
2001-04,110.51472396004671
2001-05,118.75845584446665
2001-06,124.26375808836356
2001-07,117.64187537293601
2001-08,110.89596452253924
2001-09,95.71590050549806
2001-10,104.9736067148425
2001-11,114.67541718768427
2001-12,122.9491368587888
2002-01,124.35226175309425
2002-02,120.06984242670956
2002-03,129.5731465753986
2002-04,125.53522306476019
2002-05,115.3735113609376
2002-06,102.21653632318117
2002-07,88.79872745760468
2002-08,89.01560958189998
2002-09,81.75290722011381
2002-10,84.31569238365398
2002-11,91.09635545397524
2002-12,79.98560739217183
2003-01,76.24192740657794
2003-02,73.80649923678807
2003-03,73.88117434864785
2003-04,80.49025005787846
2003-05,85.5142422544629
2003-06,88.73224424531642
2003-07,95.0443793766258
2003-08,103.22480719954997
2003-09,95.44753632103038
2003-10,104.87916983822413
2003-11,105.31375701403937
2003-12,102.21217712815586
2004-01,108.22813510865502
2004-02,109.29099110395572
2004-03,112.2622277213139
2004-04,108.55529430469676
2004-05,108.8731929312563
2004-06,113.36505340869883
2004-07,107.70979710346712
2004-08,105.77065700267354
2004-09,108.34331127236482
2004-10,107.94249538609121
2004-11,111.50654119832998
2004-12,112.80391794275073
2005-01,112.46949347411082
2005-02,112.70677837974335
2005-03,111.4774294622173
2005-04,106.23631833201982
2005-05,118.4237409251255
2005-06,124.75894523109373
2005-07,132.04040226577956
2005-08,128.49652463889504
2005-09,131.89838654296022
2005-10,128.83828483316884
2005-11,137.41628034724567
2005-12,137.0373546318533
2006-01,143.92585128074475
2006-02,146.2415052236315
2006-03,150.67460887464034
2006-04,144.8116524313751
2006-05,133.90092314568923
2006-06,134.02244945974886
2006-07,129.88676317271555
2006-08,132.87524135942144
2006-09,135.80686955483753
2006-10,141.46620831748905
2006-11,139.4428614939787
2006-12,140.13416466477815
2007-01,144.32608215169472
2007-02,141.07125402038372
2007-03,141.71432427404912
2007-04,141.46475235155157
2007-05,149.5086990061083
2007-06,146.58669723427383
2007-07,133.93400136937586
2007-08,135.8739236411129
2007-09,132.5736786176407
2007-10,133.07330225719858
2007-11,122.54462508757244
2007-12,122.22717307678136
2008-01,113.3097758356176
2008-02,107.07970364938181
2008-03,101.66850934848401
2008-04,109.40555876129632
2008-05,115.33142013087779
2008-06,104.21540182901381
2008-07,106.38416791406829
2008-08,116.08212855855251
2008-09,109.53317631169527
2008-10,95.61344170099365
2008-11,85.15310900324363
2008-12,82.05104996890846
2009-01,80.95712132176246
2009-02,72.32620330896782
2009-03,75.88951225096821
2009-04,89.27639583870165
2009-05,86.92008227288783
2009-06,88.63747798856652
2009-07,95.98707993949435
2009-08,99.27537206339368
2009-09,103.43857284852865
2009-10,96.24746947754778
2009-11,98.22875077704693
2009-12,110.54994904411915
2010-01,110.31514420228528
2010-02,117.76800429818188
2010-03,128.21485650773994
2010-04,137.48919724146654
2010-05,137.4638375796954
2010-06,127.4734932904548
2010-07,128.3823048786025
2010-08,123.41286924014673
2010-09,128.27775943546501
2010-10,130.80326970618097
2010-11,143.99909145083438
2010-12,150.7192535075844
2011-01,149.2668412904692
2011-02,155.6157312915271
2011-03,154.785932582194
2011-04,152.3249781773864
2011-05,154.84552008308262
2011-06,150.1834988974711
2011-07,145.805924114693
2011-08,133.08422121609726
2011-09,127.08984066392422
2011-10,140.47658876690656
2011-11,145.04366226071073
2011-12,150.41463426487735
2012-01,159.64906175952353
2012-02,162.01896600322803
2012-03,166.30502421088514
2012-04,165.89871192059806
2012-05,165.46398731611
2012-06,167.21145592610583
2012-07,170.90822314813215
2012-08,172.9719245109778
2012-09,173.86998360763127
2012-10,170.2441310174355
2012-11,171.8752373139451
2012-12,174.0560767989811
2013-01,180.24648553341294
2013-02,189.33553845889534
2013-03,201.56566449663495
2013-04,196.30782766382498
2013-05,206.8003324801594
2013-06,204.35210976867484
2013-07,213.17004196284728
2013-08,207.970076882419
2013-09,214.46897574591617
2013-10,220.30869943036907
2013-11,226.61515819303526
2013-12,229.20815756766154
2014-01,229.62349547857508
2014-02,235.33546254594938
2014-03,234.63849221094702
2014-04,227.09488632766312
2014-05,233.10370777820654
2014-06,244.2301080451125
2014-07,237.2713748306146
2014-08,253.4211537804742
2014-09,250.25313488757848
2014-10,264.0085997262949
2014-11,267.4098154777106
2014-12,279.46435816211664
2015-01,292.4544435984705
2015-02,311.8982676276711
2015-03,329.74617964559525
2015-04,310.4614189918697
2015-05,323.73587526610186
2015-06,316.91150477619675
2015-07,317.5545201106266
2015-08,294.6598232945335
2015-09,281.762028325038
2015-10,300.6698829890483
2015-11,321.0261879438086
2015-12,298.50537458799295
2016-01,276.0413397268521
2016-02,277.0958043571493
2016-03,286.6069301261842
2016-04,290.14830133102004
2016-05,304.4787478799721
2016-06,305.2048967417264
2016-07,318.97289226383424
2016-08,323.0291856229404
2016-09,321.8729137318869
2016-10,316.06751111552745
2016-11,356.67711306532794
2016-12,366.3190046947669
2017-01,362.4984335876803
2017-02,377.04893242492676
2017-03,374.20412718157223
2017-04,370.8343769586913
2017-05,354.2984381475274
2017-06,358.22771803634157
2017-07,350.9575884169008
2017-08,345.2874886120223
2017-09,364.3651372293881
2017-10,375.2366184944041
2017-11,376.9069220602274
2017-12,375.67355111694303
2018-01,371.56342490167276
2018-02,363.96909444024044
2018-03,364.61584234601156
2018-04,372.6983036502591
2018-05,406.93889553301756
2018-06,409.9542864312084
2018-07,416.05717488277264
2018-08,436.7550537385826
