Date,SWITZERLAND SMALL CAP
2000-12,100.0
2001-01,103.22510787782802
2001-02,103.47671032431764
2001-03,97.42462605829925
2001-04,100.3724611227872
2001-05,102.76306261426421
2001-06,100.45192296991706
2001-07,93.8650463544053
2001-08,90.27367836878373
2001-09,75.9539943936448
2001-10,76.97003817668883
2001-11,83.36476016191872
2001-12,85.86756538345524
2002-01,85.17104551465158
2002-02,84.65932732765036
2002-03,91.96150745643709
2002-04,89.72956977715407
2002-05,89.50807353314322
2002-06,82.96648281508996
2002-07,72.61104914358044
2002-08,68.81220690358909
2002-09,60.83115819688471
2002-10,62.25579433971902
2002-11,64.37570281664875
2002-12,61.19546542731759
2003-01,54.277030808701674
2003-02,53.874782224750476
2003-03,56.06507711287737
2003-04,61.325064301798626
2003-05,63.814690807258806
2003-06,64.36603044822854
2003-07,69.83077558636252
2003-08,75.23368814616711
2003-09,77.41341012510568
2003-10,86.09941358169377
2003-11,88.19460829437601
2003-12,88.11464698463946
2004-01,95.0935154895749
2004-02,97.19703241338081
2004-03,93.92514936803484
2004-04,95.73194034873084
2004-05,95.50167342838455
2004-06,98.61589193600386
2004-07,93.58277864425766
2004-08,92.20940545085485
2004-09,93.55913430621825
2004-10,93.52401008569846
2004-11,97.89125693763326
2004-12,97.85501761854704
2005-01,104.17395847636334
2005-02,108.9958226105936
2005-03,109.69240954594335
2005-04,107.77125911839524
2005-05,110.28220076185009
2005-06,113.67520732997792
2005-07,121.96368498600862
2005-08,126.40323667123126
2005-09,130.80696204845756
2005-10,124.36741665257858
2005-11,125.57081588783987
2005-12,130.7151895118443
2006-01,140.47833190694823
2006-02,147.45590515809226
2006-03,151.9226358378914
2006-04,156.38835928762222
2006-05,145.48687269416817
2006-06,144.44028530003982
2006-07,145.423824698122
2006-08,151.41991655094319
2006-09,156.1442499027949
2006-10,162.5482788836433
2006-11,164.5729326075781
2006-12,172.58594352155197
2007-01,187.1262832300964
2007-02,183.23445521322873
2007-03,190.8416804946646
2007-04,197.6967478649847
2007-05,200.80396908903742
2007-06,200.37769768398047
2007-07,197.31970435656052
2007-08,189.1196851929528
2007-09,184.09465008947072
2007-10,191.855800694242
2007-11,181.07867381277484
2007-12,181.39355210630865
2008-01,161.4245533996931
2008-02,169.11459385251686
2008-03,164.75010237500197
2008-04,168.40681807526826
2008-05,170.14732946275555
2008-06,158.12097272697494
2008-07,149.05409650820278
2008-08,154.10413781906965
2008-09,145.60841323238023
2008-10,121.61593836503924
2008-11,110.375238306294
2008-12,113.54220486115636
2009-01,108.0186723306531
2009-02,95.12362575968025
2009-03,96.86630281069112
2009-04,113.7750079872227
2009-05,121.46060316127183
2009-06,119.87786241735273
2009-07,128.1672085955102
2009-08,139.51066316160913
2009-09,147.7770540278067
2009-10,140.96645413457568
2009-11,139.91734301258515
2009-12,146.75843168672156
2010-01,153.57714056361078
2010-02,154.4904266808611
2010-03,175.09485642543436
2010-04,175.8770807294063
2010-05,166.44516699293644
2010-06,176.13162164831658
2010-07,177.12462873451716
2010-08,183.07477739365612
2010-09,187.38310534396558
2010-10,192.10662539562955
2010-11,203.13560429108298
2010-12,225.66392837257504
2011-01,217.75766260789044
2011-02,218.8780941431438
2011-03,219.35301262108428
2011-04,226.29589594857646
2011-05,234.3295970381318
2011-06,219.50539803633336
2011-07,216.79018802423766
2011-08,193.67840720816915
2011-09,173.65618612150803
2011-10,184.93469340364697
2011-11,174.37779287028536
2011-12,175.68559095242284
2012-01,188.53292870848085
2012-02,196.7344381237984
2012-03,198.87520196793824
2012-04,203.12487452070388
2012-05,191.4392030397048
2012-06,190.8805792199776
2012-07,192.58864193739032
2012-08,192.3987663928831
2012-09,195.71943437519536
2012-10,195.68337334798258
2012-11,196.38680193614184
2012-12,201.3862553876306
2013-01,206.44777881920805
2013-02,216.12014114357308
2013-03,216.1514376188278
2013-04,218.04215020083956
2013-05,221.72729723027746
2013-06,214.96127925479377
2013-07,226.96820550917286
2013-08,233.6641540360911
2013-09,241.78941820811627
2013-10,253.29531550844558
2013-11,258.61149697447735
2013-12,265.9177556389704
2014-01,271.231358109748
2014-02,282.46137709197717
2014-03,281.5086413595765
2014-04,281.12963557500706
2014-05,285.23967072728544
2014-06,285.3023329938664
2014-07,280.5365412780693
2014-08,287.24597978166673
2014-09,279.23826256508323
2014-10,279.87188578478816
2014-11,291.2673693169158
2014-12,293.28984191891567
2015-01,313.8917534197752
2015-02,341.435031720006
2015-03,362.13309765889704
2015-04,368.1260780768644
2015-05,376.3137491556646
2015-06,356.9086348243689
2015-07,367.41063958397694
2015-08,345.8688075195191
