Date,OMAN SMALL CAP
2002-05,365.9579979599766
2002-06,330.8709057459728
2002-07,344.1022171259613
2002-08,339.3251249767008
2002-09,329.1224803509074
2002-10,336.079337318466
2002-11,326.8869879372858
2002-12,298.0197564113237
2003-01,284.1691920722859
2003-02,280.6405530764982
2003-03,287.8821612946347
2003-04,315.9859754393118
2003-05,303.3234711000314
2003-06,326.48002296610656
2003-07,374.6276126498109
2003-08,392.5027022009968
2003-09,373.79232973411024
2003-10,384.0583852517666
2003-11,379.18538873055655
2003-12,355.8670621208283
2004-01,380.7671785311931
2004-02,384.6881328534571
2004-03,388.743808236073
2004-04,420.86213420886304
2004-05,437.4808049387085
2004-06,458.19333662353216
2004-07,463.95120482819806
2004-08,447.82464328747784
2004-09,443.7985628959479
2004-10,441.1659190833647
2004-11,422.15835010852027
2004-12,403.10542790582275
2005-01,444.15393753844575
2005-02,456.0987917176565
2005-03,554.2919976807666
2005-04,566.2054011873715
2005-05,585.9693251569515
2005-06,672.2785370743652
2005-07,661.9548718533223
2005-08,650.1926581079839
2005-09,643.6940272785566
2005-10,620.4556450754318
2005-11,618.6506270459823
2005-12,615.5099591499326
2006-01,671.4204192188473
2006-02,671.7788366815465
2006-03,712.7668391147846
2006-04,637.8358300226089
2006-05,554.1163350458754
2006-06,567.401037296442
2006-07,509.8914008193372
2006-08,566.7425756569803
2006-09,598.1459566797693
2006-10,620.4619645116322
2006-11,563.3497867077067
2006-12,575.5568052112347
2007-01,617.2275192043767
2007-02,610.0131011779768
2007-03,611.3803099909165
2007-04,614.1686685225923
2007-05,694.3334177815472
2007-06,703.7057344622606
2007-07,707.0587745198332
2007-08,751.3775427681079
2007-09,764.4717192066847
2007-10,837.8901002952109
2007-11,1000.0
2007-12,1115.9721195133368
2008-01,1050.7012144900425
2008-02,1186.2889788057455
2008-03,1130.1496410763534
2008-04,1371.735696460075
2008-05,1430.9652629863126
2008-06,1475.4070559265706
2008-07,1410.5479722689568
2008-08,1386.4243199439318
2008-09,1262.2679841571578
2008-10,957.7893787463026
2008-11,882.1273015560262
2008-12,764.6662983402473
2009-01,752.1504227506562
2009-02,776.1348920707289
2009-03,830.5188582160471
2009-04,913.0806619042712
2009-05,1027.8516571096288
2009-06,1058.3772937655363
2009-07,1086.4713317054275
2009-08,1222.0242477912955
2009-09,1270.166940473627
2009-10,1215.7588956940117
2009-11,1220.2507242100169
2009-12,1231.4291545848787
2010-01,1262.896501357351
2010-02,1309.0913224291305
2010-03,1327.726070174163
2010-04,1403.5556598914864
2010-05,1348.4169209458066
2010-06,1330.6709147101649
2010-07,1337.5755270291818
2010-08,1358.0101376690786
2010-09,1322.7178449032378
2010-10,1333.9524083641752
2010-11,1379.8839720065944
2010-12,1357.2248447332388
2011-01,1355.4559879869637
2011-02,1129.2558220185692
2011-03,1148.2787805248054
2011-04,1117.4766426471238
2011-05,1089.5179210902552
2011-06,1056.0695120303828
2011-07,1026.37225761605
2011-08,1002.4009137805853
2011-09,1060.0459493333922
2011-10,1008.3741247773177
2011-11,1002.2901654052962
2011-12,1080.7177271743094
2012-01,1058.8168504188047
2012-02,1093.8721772138547
2012-03,1065.5182098378643
2012-04,1174.662289360069
2012-05,1286.1348336559076
2012-06,1193.8174080251983
2012-07,1166.891601796921
2012-08,1169.3272740827713
2012-09,1183.7540300206165
2012-10,1193.8517213325845
2012-11,1198.6854570189212
2012-12,1248.418665503694
2013-01,1240.7447886194757
2013-02,1322.5496673059977
2013-03,1389.7709041798541
2013-04,1397.9775871126385
2013-05,1518.2508890466231
2013-06,1519.3930750550392
2013-07,1582.004807902877
2013-08,1572.5590400384515
2013-09,1535.705509702668
2013-10,1560.2638619704335
2013-11,1571.8184691126028
2013-12,1565.6180393877828
2014-01,1660.3248586934328
2014-02,1603.702234153093
2014-03,1603.2134796729003
2014-04,1614.8902114619996
2014-05,1650.2571388006586
2014-06,1678.7177132714285
2014-07,1748.5716019442793
2014-08,1800.2758516258418
2014-09,1910.5834874223847
2014-10,1793.6190468893863
2014-11,1811.0566882963315
2014-12,1736.476875690558
2015-01,1885.0837012977474
2015-02,1932.7963619846696
2015-03,1933.7415066766976
2015-04,1901.5210248614826
2015-05,1951.9054267388099
2015-06,1936.0308287635291
2015-07,1972.755407863652
2015-08,1807.9844440769898
2015-09,1796.0771914538236
2015-10,1877.038908874701
2015-11,1868.945363188987
2015-12,1763.191762014371
2016-01,1710.0999227732898
2016-02,1744.7637683299538
2016-03,1772.6623833998153
2016-04,1911.5892206859976
2016-05,1964.6988313201275
2016-06,1968.8977205476992
2016-07,1918.5469928189632
2016-08,1897.5441733212813
2016-09,1878.3014186124133
2016-10,1857.9482556387081
2016-11,1928.216409625589
2016-12,2023.4975663867226
2017-01,2026.6915743336167
2017-02,2108.5507817591874
2017-03,2057.042915098622
2017-04,2118.0393345125694
2017-05,2037.8742487423
2017-06,1913.9046708622864
2017-07,1820.6999383358711
2017-08,1769.2390257328627
2017-09,1765.628737056354
2017-10,1783.371829865761
2017-11,1759.3045116947726
2017-12,1742.7000817046458
2018-01,1616.712681341712
2018-02,1654.2951032907952
2018-03,1589.98571633903
2018-04,1646.9741413890629
2018-05,1655.0081835373253
2018-06,1699.9054558846676
2018-07,1635.4204660032674
2018-08,1644.4969726731042
2018-09,1641.7967255142862
2018-10,1636.5148854187833
2018-11,1592.724353820544
2018-12,1561.7123903196907
2019-01,1498.2761245000124
2019-02,1491.0075729236687
2019-03,1510.779566906465
2019-04,1584.6920290201576
2019-05,1591.8160302838205
2019-06,1529.3564044173215
2019-07,1444.0084492784474
2019-08,1531.5645643098517
2019-09,1559.895347915559
2019-10,1516.689492862184
2019-11,1556.817670206127
2019-12,1499.3137697104125
2020-01,1559.8261082186618
2020-02,1566.7803400229511
2020-03,1381.1455531507693
2020-04,1420.691553118799
2020-05,1414.1474731613719
2020-06,1405.9564946795053
2020-07,1365.1965407427936
2020-08,1388.9038997121768
2020-09,1359.2968501147045
2020-10,1348.683494060184
2020-11,1326.9748721250817
2020-12,1280.3843412337426
2021-01,1256.4535125909429
2021-02,1237.0513529155226
2021-03,1349.6960100197691
2021-04,1346.5964126111503
2021-05,1354.644333603129
2021-06,1471.594322272266
2021-07,1434.9115472407518
2021-08,1429.357108744373
2021-09,1439.6841580768214
2021-10,1504.7424211285766
2021-11,1529.8987101509508
2021-12,1597.7984930535436
2022-01,1574.4153517819896
2022-02,1523.5933941978976
2022-03,1665.2376643454713
2022-04,1722.5572005095034
2022-05,1686.1137324589936
2022-06,1756.3407333733421
2022-07,2044.9601801370784
2022-08,2089.6019111973637
2022-09,2145.650082604339
2022-10,2028.470939620442
2022-11,2076.193932594503
2022-12,2123.8468856064587
2023-01,2045.3083586153843
2023-02,2079.27362834806
2023-03,2066.1376314590752
2023-04,2019.423168304859
2023-05,2033.9709112473915
2023-06,2068.8917085346166
2023-07,2076.0956757083263
