Date,PERU SMALL VALUE
1998-12,79.74125673415408
1999-01,81.28336052859454
1999-02,80.93548177824941
1999-03,86.646933982457
1999-04,94.07102892599316
1999-05,90.22853383459524
1999-06,97.59712358183779
1999-07,92.4423734377137
1999-08,94.23808349966816
1999-09,105.3002354765185
1999-10,108.85063721366772
1999-11,112.68354101802572
1999-12,110.16122968661402
2000-01,108.7025514080985
2000-02,110.27390761954146
2000-03,110.78399205422764
2000-04,115.83473984806346
2000-05,102.23106034515149
2000-06,100.91681906666511
2000-07,106.86529326918135
2000-08,113.2958916628281
2000-09,117.18834111947224
2000-10,112.69373160505631
2000-11,105.23181974031458
2000-12,98.32877666697878
2001-01,107.17791743317204
2001-02,95.09036367853702
2001-03,100.74996409342965
2001-04,90.45414986920835
2001-05,99.48770744777299
2001-06,103.88817000751877
2001-07,99.02314461504419
2001-08,93.23367629875167
2001-09,86.87173555654495
2001-10,82.84478175582026
2001-11,84.8633732841828
2001-12,83.77760246773109
2002-01,89.11137010599411
2002-02,91.93237976575777
2002-03,91.10199447533252
2002-04,91.7571616221261
2002-05,86.93956173855663
2002-06,80.7563627072769
2002-07,84.6433633085158
2002-08,85.51663275291985
2002-09,91.75583661712686
2002-10,95.17279249644422
2002-11,108.00970903546585
2002-12,99.03173511657876
2003-01,100.3038613375345
2003-02,102.18919619376396
2003-03,101.64807092284812
2003-04,111.62570297301257
2003-05,112.17178666568395
2003-06,116.0701605824909
2003-07,122.1756824649123
2003-08,130.98258796487704
2003-09,147.31254913444704
2003-10,171.66319467530016
2003-11,205.51716785560455
2003-12,215.23508635617026
2004-01,216.43388500294415
2004-02,224.16299134182657
2004-03,242.53105463283296
2004-04,269.5486868250434
2004-05,275.523490748635
2004-06,275.0785344859605
2004-07,271.5726881788396
2004-08,281.71781708077316
2004-09,312.49387960872
2004-10,323.3537915683733
2004-11,308.3885806212523
2004-12,303.2164013148306
2005-01,325.0490296737903
2005-02,321.29650609041556
2005-03,327.8795454378408
2005-04,327.1098294951019
2005-05,318.50594569987925
2005-06,322.72394235167593
2005-07,337.5542427157595
2005-08,328.64245627139456
2005-09,338.83073216044954
2005-10,298.941602614386
2005-11,295.27709889276224
