Date,ESTONIA SMALL CAP
2010-11,1000.0
2010-12,997.0350245448653
2011-01,1112.7541617749362
2011-02,1120.4582721696459
2011-03,1109.877840530756
2011-04,1075.1652030850694
2011-05,1048.799860740256
2011-06,1051.2356028781692
2011-07,1079.32540655497
2011-08,956.9662931216611
2011-09,861.1255359450176
2011-10,935.1373165731424
2011-11,938.8482064017676
2011-12,897.563082018508
2012-01,895.4701678538343
2012-02,1019.4197094176591
2012-03,1013.1975813683396
2012-04,1066.5290823858625
2012-05,1035.0299730878432
2012-06,1093.1232257369459
2012-07,1154.0439259511088
2012-08,1143.6043375280915
2012-09,1139.4083053083466
2012-10,1199.0704554268846
2012-11,1118.9741844980742
2012-12,1178.6694044386568
2013-01,1205.0660352890188
2013-02,1202.9377073805672
2013-03,1294.1611881043818
2013-04,1263.0613604404487
2013-05,1250.7434481401094
2013-06,1262.749575310602
2013-07,1349.5930133288807
2013-08,1337.8488724241988
2013-09,1343.623564956826
2013-10,1376.145665607634
2013-11,1402.1828828497532
2013-12,1376.8956918717581
2014-01,1385.5066013329042
2014-02,1390.1629591046044
2014-03,1335.123254473639
2014-04,1334.672659733229
2014-05,1395.2127167046146
2014-06,1432.2384489425326
2014-07,1411.8614154718432
2014-08,1375.3815974498777
2014-09,1365.3850260457843
2014-10,1398.0184830146952
2014-11,1414.0106558831328
2014-12,1330.4001632326006
2015-01,1428.3711627863238
2015-02,1478.0686239872646
2015-03,1552.1111332993612
2015-04,1635.3454497922794
2015-05,1617.7885012630834
2015-06,1546.687286602655
2015-07,1553.6023011208736
2015-08,1561.4356828449131
2015-09,1556.052405089961
2015-10,1598.203838416032
2015-11,1638.1461699034064
2015-12,1656.8580704350234
2016-01,1619.3766538704122
2016-02,1695.2390338224434
2016-03,1772.320725076016
2016-04,1793.279699603103
2016-05,1751.9601680440428
2016-06,1747.0770743089229
2016-07,1801.8209406805781
2016-08,1840.443389440899
2016-09,1849.9408289094058
2016-10,1928.4534669273542
2016-11,1917.5566751782078
2016-12,1965.1454602305505
2017-01,2037.819990838697
2017-02,2074.8111340121277
2017-03,2117.7152027660736
2017-04,2117.0993002808855
2017-05,2117.411709622001
2017-06,2160.041744700374
2017-07,2225.427083404945
2017-08,2332.3847756441146
2017-09,2274.51620915759
2017-10,2232.6945294736292
2017-11,2209.137324207392
2017-12,2102.490543726034
2018-01,2230.348250480128
2018-02,2303.9668067232233
2018-03,2334.144312444778
2018-04,2344.3004745331514
2018-05,2280.3530320162836
2018-06,2290.984406473188
2018-07,2303.3791877047915
2018-08,2268.859562218087
2018-09,2284.613972245737
2018-10,2190.140624171175
2018-11,2159.561098386877
2018-12,2065.0135576042885
2019-01,2249.7412340769165
2019-02,2294.1850020481975
2019-03,2336.6161156516455
2019-04,2357.0611136058915
2019-05,2336.3865274318064
2019-06,2415.0472605459267
2019-07,2451.7662359353167
2019-08,2450.634549562273
2019-09,2419.9787630051137
2019-10,2479.9920100435984
2019-11,2478.687741657467
2019-12,2521.2150575117294
2020-01,2716.3945940779936
2020-02,2619.1031007119336
2020-03,2219.591630538434
2020-04,2495.9799071193033
2020-05,2577.985236623986
2020-06,2723.424226639228
2020-07,2775.798262681434
2020-08,2741.569133355425
2020-09,2729.1452677668312
2020-10,2826.6514305186784
2020-11,3301.2647943934435
2020-12,3507.7148757172677
2021-01,4114.682707107667
2021-02,3910.9586847101104
2021-03,3994.3887194780878
2021-04,4235.2144763385795
2021-05,4259.8553040620545
2021-06,4366.5726955059135
2021-07,4398.575164414051
2021-08,4689.290480235925
2021-09,4465.294183278586
2021-10,4472.450827472457
2021-11,4518.101148468933
2021-12,4545.441223235073
2022-01,4479.48528660238
2022-02,4384.508155774523
2022-03,4363.877996593175
2022-04,4354.464843708749
2022-05,4203.206028982202
2022-06,4032.8021139670436
2022-07,4025.1409653081446
2022-08,3975.1091571649517
2022-09,3811.9370759372905
2022-10,3784.3689690250662
2022-11,3949.2473523935437
2022-12,3944.867268494098
2023-01,4110.224302017818
2023-02,4210.055623159176
2023-03,4198.105040250182
2023-04,4228.700238164929
2023-05,4131.671733797906
2023-06,4192.37420271702
2023-07,4303.648389530989
