Date,PAKISTAN SMALL CAP
2010-11,1000.0
2010-12,1008.3416329650313
2011-01,1034.541446929966
2011-02,925.8670647944656
2011-03,961.9467206634574
2011-04,944.2255664095571
2011-05,954.3134442217536
2011-06,908.4456908542917
2011-07,902.7528590757834
2011-08,865.0599829750079
2011-09,1002.7762373900539
2011-10,986.2085882912363
2011-11,955.2873809952358
2011-12,941.7200655850622
2012-01,983.1631644107947
2012-02,1045.763344169423
2012-03,1170.0981331199923
2012-04,1218.6297681175777
2012-05,1246.4567495777583
2012-06,1146.776594940039
2012-07,1264.2349442858635
2012-08,1273.4654989703859
2012-09,1219.144144192203
2012-10,1264.881999105062
2012-11,1304.620078361798
2012-12,1304.6580541553064
2013-01,1300.6276471716744
2013-02,1383.2845658613921
2013-03,1421.7950654890924
2013-04,1393.4483277413822
2013-05,1561.0058166873366
2013-06,1592.6587849666646
2013-07,1674.8254192003049
2013-08,1514.2456108406443
2013-09,1443.8589256080843
2013-10,1493.4458480223434
2013-11,1617.988618276192
2013-12,1761.1194875765595
2014-01,1848.9630054448335
2014-02,1821.053627632591
2014-03,2030.6716287720403
2014-04,2117.9455262371625
2014-05,2211.399186770797
2014-06,2191.083980749673
2014-07,2311.228970560412
2014-08,2131.4768968525113
2014-09,2374.938912498273
2014-10,2506.739362817298
2014-11,2679.228695415778
2014-12,2926.8923722363616
2015-01,3317.375623629684
2015-02,3249.3964506391158
2015-03,3079.116710316929
2015-04,3296.955907002367
2015-05,3276.4765811427724
2015-06,3399.546110560168
2015-07,3561.53146233323
2015-08,3433.0688505443045
2015-09,3192.3494722220516
2015-10,3363.238969738649
2015-11,3390.0921270981307
2015-12,3404.8402268722616
2016-01,3368.57715438208
2016-02,3296.9900617309618
2016-03,3289.6414344503346
2016-04,3389.44266918831
2016-05,3502.0525457355784
2016-06,3655.2484511501093
2016-07,3863.0321061506907
2016-08,3921.518244759383
2016-09,3951.542844212573
2016-10,3909.3436037610513
2016-11,4492.59919155084
2016-12,4973.893243325401
2017-01,5110.711154980815
2017-02,5127.044114176302
2017-03,5123.176280461291
2017-04,5289.221461995962
2017-05,5097.42781680891
2017-06,4479.742575636872
2017-07,4282.162204815254
2017-08,3840.21317317957
2017-09,3937.7038070111166
2017-10,3780.5040597312404
2017-11,3668.6516255810257
2017-12,3419.572932476486
2018-01,3626.2388318979524
2018-02,3579.967010577091
2018-03,3563.3681796956344
2018-04,3666.5340436379847
2018-05,3615.524846376575
2018-06,3357.0356251410526
2018-07,3362.874260033659
2018-08,3366.054553495826
2018-09,3240.038408146797
2018-10,3224.86313826884
2018-11,3022.930694805609
2018-12,2631.1809970420004
2019-01,2926.500615276419
2019-02,2829.6972234867644
2019-03,2763.1532124886567
2019-04,2635.0320364095714
2019-05,2525.2320304803047
2019-06,2142.2986430757646
2019-07,2090.574178525234
2019-08,2015.2487087823908
2019-09,2187.1173595063333
2019-10,2274.958741191641
2019-11,2692.1827051258256
2019-12,2710.410111138637
2020-01,2811.074196835099
2020-02,2631.246406462165
2020-03,1888.2601328861747
2020-04,2316.512927051446
2020-05,2188.494702853568
2020-06,2123.5136154597008
2020-07,2303.196557687431
2020-08,2352.2278581738674
2020-09,2372.6791756276566
2020-10,2417.23306709232
2020-11,2453.163428589004
2020-12,2497.375647755054
2021-01,2602.3411363926
2021-02,2703.9266599710536
2021-03,2775.525848304468
2021-04,2687.2008472489515
2021-05,2825.1238533123146
2021-06,2792.2409329837433
2021-07,2677.033328296014
2021-08,2649.705662496795
2021-09,2562.8143357274134
2021-10,2625.019318537051
2021-11,2534.443187710831
2021-12,2506.9408500966697
2022-01,2599.777089122374
2022-02,2557.903603226965
2022-03,2542.9221927430135
2022-04,2716.225151840815
2022-05,2438.51169097201
2022-06,2352.199911277946
2022-07,1989.0708720769705
2022-08,2295.3904154914935
2022-09,2197.1731951222737
2022-10,2304.4204771602235
2022-11,2291.7157845280203
2022-12,2055.1925697523207
2023-01,1758.321971900016
2023-02,1874.9632075527672
2023-03,1704.2668012715824
2023-04,1731.4299916540876
2023-05,1765.1129608533972
2023-06,1729.6946374599515
2023-07,2005.302268379624
