Date,KAZAKHSTAN SMALL CAP
2015-11,1000.0
2015-12,935.2073223655658
2016-01,720.4281555513013
2016-02,891.0197413832774
2016-03,796.6180259124843
2016-04,636.7018191569638
2016-05,909.3788560068706
2016-06,837.3754721558746
2016-07,831.9090371487314
2016-08,829.1285925058548
2016-09,818.0617399630643
2016-10,886.0829648974716
2016-11,812.4803656766926
2016-12,830.1112052014055
2017-01,916.5143116567904
2017-02,915.3888653286679
2017-03,920.9525201224388
2017-04,866.856056
2017-05,841.81383
2017-06,930.569837
2017-07,985.377847
2017-08,989.23644
2017-09,1358.809731
2017-10,1327.220423
2017-11,1166.808432
2017-12,1301.929295
2018-01,1197.385581
2018-02,1124.227625
2018-03,1117.236059
2018-04,1153.8756649020581
2018-05,1142.4831451481637
2019-05,972.6549109346256
2019-06,969.433789954338
2019-07,923.3051913059103
2019-08,934.4936777921392
2019-09,1135.253634941194
2019-10,1080.9114035370847
2019-11,1151.2681101665428
2019-12,1207.5949006128517
2020-01,1206.8138950857915
2020-02,1234.0345722954398
2020-03,1235.3841658126466
2020-04,1210.6795719498466
2020-05,1085.93178608389
