Date,COLOMBIA SMALL CAP
1998-12,90.17853504432784
1999-01,86.06203498136071
1999-02,90.9245031078861
1999-03,97.53546743003486
1999-04,121.24230242299335
1999-05,120.77746366770931
1999-06,109.03664323719092
1999-07,96.53195779556674
1999-08,90.18390978173835
1999-09,85.1003987127757
1999-10,86.96347368085279
1999-11,96.963844918542
1999-12,102.39215893152378
2000-01,111.56478255856173
2000-02,104.65494205988658
2000-03,101.11096994242936
2000-04,101.04900573113768
2000-05,86.49773232125976
2000-06,75.08359087188136
2000-07,82.85712629321458
2000-08,78.77116472452337
2000-09,78.76424957907099
2000-10,82.70859529241788
2000-11,80.01967850042699
2000-12,71.69213930824473
2001-01,80.86951969126052
2001-02,87.54023722504222
2001-03,80.86274920855215
2001-04,80.49526037796284
2001-05,101.29319263698733
2001-06,104.15842856998479
2001-07,98.60149857099684
2001-08,98.6140824720455
2001-09,91.01524100488108
2001-10,86.13255636461244
2001-11,94.77417901564851
2001-12,103.95051848724519
2002-01,112.31842750115544
2002-02,105.21091433793916
2002-03,108.09866050374903
2002-04,107.80146615693263
2002-05,107.33728343515217
2002-06,109.0074725556332
2002-07,95.31847678211682
2002-08,90.1539226204036
2002-09,91.2885592780219
2002-10,100.24049146512526
2002-11,106.65201501793733
2002-12,108.17696193212275
2003-01,103.0381480835275
2003-02,99.87663330196952
2003-03,99.14818065744147
2003-04,108.01959440192852
2003-05,124.3485130427418
2003-06,130.90140632636937
2003-07,133.45928905755923
2003-08,136.2874035599188
2003-09,129.02690545156545
2003-10,133.98656978480156
2003-11,136.62523445488344
2003-12,136.9069476437733
2004-01,169.1696620696384
2004-02,197.63823360156914
2004-03,212.33320962040847
2004-04,226.43306556410386
2004-05,187.95876756849705
2004-06,197.4931352109021
2004-07,203.42934099311017
2004-08,211.76243614500999
2004-09,234.85617930498438
2004-10,240.2470781650223
2004-11,262.94786442587093
2004-12,268.7993612431206
2005-01,298.58242165166956
2005-02,308.94870795214604
2005-03,297.85700429058153
2005-04,309.5140819412494
2005-05,322.7690617252223
2005-06,388.78657955468606
2005-07,463.5188232466865
2005-08,515.1237262553492
2005-09,514.5437136876673
2005-10,548.8648167545603
2005-11,687.5681260737473
2005-12,743.9014120516694
2006-01,877.2049833795073
2006-02,907.2595506480527
2006-03,896.735920302168
2006-04,845.4705782213712
2006-05,654.3267927358029
2006-06,537.8406002273939
2006-07,684.2703572446724
2006-08,750.9518145858887
2006-09,730.1399017028259
2006-10,845.6899417146917
2006-11,873.3143703490009
2006-12,1005.4377288772936
2007-01,951.3183066747571
2007-02,909.4820829476249
2007-03,1052.040872955511
2007-04,980.467595947611
2007-05,1000.0
2007-06,984.9736693338642
2007-07,1048.3817206574925
2007-08,933.8055295643733
2007-09,932.1125356146505
2007-10,963.6275375595318
2007-11,979.3702740737663
2007-12,1017.2478491271721
2008-01,892.5540987238711
2008-02,906.1278493071798
2008-03,834.3920000133633
2008-04,891.1093757831236
2008-05,922.5012251807901
2008-06,855.8989714066636
2008-07,913.5655569895896
2008-08,931.706689553663
2008-09,853.3523201849845
2008-10,760.0460482325816
2008-11,817.0973029671526
2008-12,823.3912287598972
2009-01,840.3563359471048
2009-02,789.8504524531891
2009-03,811.5033287453052
2009-04,985.6446465499538
2009-05,1106.9066236410974
2009-06,1202.9988739422456
2009-07,1279.5774934116625
2009-08,1389.3437044025964
2009-09,1623.750297314894
2009-10,1575.1733254094477
2009-11,1664.9847211996635
2009-12,1757.2316834666653
2010-01,1838.8553855265839
2010-02,1869.973823618292
2010-03,2063.6107693742915
2010-04,2106.911255589541
2010-05,2080.736169911443
2010-06,2190.891840990403
2010-07,2166.543357274103
2010-08,2296.779678851494
2010-09,2205.654674712149
2010-10,2377.056046693122
2010-11,2238.1725041802924
2010-12,2207.002023516774
2011-01,2118.6278637462055
2011-02,2100.1270032296866
2011-03,2024.7597225453512
2011-04,2098.560215896112
2011-05,2173.2113849197817
2011-06,2094.9951064588213
2011-07,2083.9504479802113
2011-08,1907.5533820845365
2011-09,1747.6261269226122
2011-10,1711.4782424699085
2011-11,1540.6339850260365
2011-12,1642.6950696362517
2012-01,1859.6568970983476
2012-02,1964.5951629256829
2012-03,1943.8452267383936
2012-04,2016.9243413336405
2012-05,2026.7573853704712
2012-06,1955.3996904345029
2012-07,1973.5781114555377
2012-08,1807.381080875851
2012-09,1829.778850169717
2012-10,1745.9276322818137
2012-11,1451.1719550767255
2012-12,1482.4345053986494
2013-01,1220.2098672744357
2013-02,1261.7476115182405
2013-03,892.2552258379335
2013-04,793.6481199428054
2013-05,782.6977255380909
2013-06,753.8058382087931
2013-07,662.0036713032646
2013-08,654.9280850409407
2013-09,601.6323460185512
2013-10,624.9569000085772
2013-11,600.7800634730962
2013-12,597.0655429509923
2014-01,625.8654001592943
2014-02,614.3183178548828
2014-03,647.3029659424627
2014-04,638.2002680222986
2014-05,622.7169339523685
2014-06,654.0103425331076
2014-07,680.5941114491402
2014-08,687.4338543297016
2014-09,620.5397532273051
2014-10,652.0368636039752
