Date,SAUDI ARABIA SMALL CAP
2014-08,849.9231510901238
2014-09,900.3689916352449
2014-10,855.2295186882321
2014-11,792.2671706223616
2014-12,738.2481525067853
2015-01,865.7643248374304
2015-02,902.792542965932
2015-03,912.0266528761846
2015-04,964.8994519804271
2015-05,1000.0
2015-06,941.0305429330049
2015-07,942.4543985410742
2015-08,755.506539961477
2015-09,762.4141541170106
2015-10,748.3206253489217
2015-11,781.7578160093624
2015-12,717.6193145450916
2016-01,617.8716980728854
2016-02,624.4832908477939
2016-03,620.7458797268221
2016-04,692.3962304985128
2016-05,697.4980535669594
2016-06,704.846104757198
2016-07,684.0993720478352
2016-08,648.9001309286974
2016-09,583.566258307736
2016-10,608.6879257754798
2016-11,743.3810898512074
2016-12,811.9204728199325
2017-01,758.736485699908
2017-02,759.2269712402625
2017-03,761.0461062225207
2017-04,745.2575277117487
2017-05,693.8311914044151
2017-06,692.3597855952165
2017-07,674.0920668677654
2017-08,657.8552532589031
2017-09,671.7609733197389
2017-10,643.5989681423943
2017-11,625.3268415523125
2017-12,662.4967369466068
2018-01,661.8561138627409
2018-02,673.8720529846668
2018-03,686.8184097311137
2018-04,740.0769708825758
2018-05,726.5019094618813
2018-06,744.3558364015834
2018-07,713.0967239237939
2018-08,684.7145093239303
2018-09,664.0047788574367
2018-10,677.0537259737596
2018-11,667.2790170844768
2018-12,663.4733908461797
2019-01,690.4842903073056
2019-02,700.0376204839962
2019-03,739.1446062679388
2019-04,771.5126356029076
2019-05,765.678580251996
2019-06,774.7439926724057
2019-07,837.8364656538197
2019-08,827.4137601350756
2019-09,870.7104129982404
2019-10,809.0969525245573
2019-11,828.3611154731332
2019-12,902.9374608575647
2020-01,963.8330326564356
2020-02,902.6867571295968
2020-03,753.9367595769406
2020-04,833.1711739403345
2020-05,779.1884576653384
2020-06,850.688148483424
2020-07,869.621009744973
2020-08,917.5974418375589
2020-09,994.8326456106807
2020-10,937.1839807098904
2020-11,1006.3006773618052
2020-12,1012.4801047895581
2021-01,1051.4229647211037
2021-02,1054.4445047022598
2021-03,1153.6941832558832
2021-04,1206.67686358942
2021-05,1243.559559326363
2021-06,1356.8727781016264
2021-07,1370.7793674146656
2021-08,1358.82563985681
2021-09,1364.5827347317697
2021-10,1334.205780159237
2021-11,1241.8920078864558
2021-12,1265.3343620973055
2022-01,1382.719184318052
2022-02,1351.15550301752
2022-03,1418.7265121781184
2022-04,1511.920971408016
2022-05,1382.5963733956924
2022-06,1290.237643299269
2022-07,1384.875918466535
2022-08,1473.2880405634567
2022-09,1461.4241257415038
2022-10,1468.4950030435689
2022-11,1341.0877093885838
2022-12,1258.6520155204662
2023-01,1304.2322278855538
2023-02,1357.4946636232755
2023-03,1399.0088736103644
2023-04,1459.9150038390346
2023-05,1591.8056274217279
2023-06,1675.6976803894818
2023-07,1682.975682905656
