Date,PAKISTAN SMALL VALUE
2017-06,875.2124233511247
2017-07,866.1588479564211
2017-08,818.01610322158
2017-09,867.7312499647162
2017-10,853.6549978869084
2017-11,824.3639061219599
2017-12,769.0656997089573
2018-01,806.0387684208603
2018-02,799.5636612187712
2018-03,802.9516273926855
2018-04,823.7534472289357
2018-05,820.4560635324082
2018-06,763.7055220085196
2018-07,764.594324612518
2018-08,766.1083889119609
2018-09,746.4231189483673
2018-10,745.4042768967562
2018-11,709.4561742578022
2018-12,614.5735164937939
2019-01,693.9269090694037
2019-02,663.7341108198086
2019-03,644.5968240532155
2019-04,627.0682978474501
2019-05,602.6263531796319
2019-06,502.27099909360066
2019-07,493.88663635064637
2019-08,474.43194307690794
2019-09,528.7674974234834
2019-10,556.1160485556138
2019-11,640.3474131626609
2019-12,653.1769538516849
2020-01,665.4141657662933
2020-02,608.7611230685192
2020-03,438.57986169159346
2020-04,528.5741532415968
2020-05,497.6385353580606
2020-06,487.2357816994167
2020-07,516.6100477099545
2020-08,528.6387256489971
2020-09,525.6806820716318
2020-10,522.6363696991065
2020-11,544.8981736796234
2020-12,555.5765803593758
2021-01,576.104104093864
2021-02,562.2986376562471
2021-03,578.0889076707762
2021-04,571.316897751066
2021-05,598.1733311605816
2021-06,592.9917217185653
2021-07,576.3211727782063
2021-08,570.7719508935143
2021-09,550.6010531476154
2021-10,589.2127940194565
2021-11,589.3928342265696
