Date,PERU SMALL GROWTH
1998-12,154.44911103167306
1999-01,146.81340454786977
1999-02,157.59060383016833
1999-03,172.67811873196922
1999-04,186.35476017049209
1999-05,196.13336278330746
1999-06,201.609390829522
1999-07,176.26036278789442
1999-08,167.99826739288181
1999-09,170.19134348238305
1999-10,169.2869395507555
1999-11,177.3287536163273
1999-12,176.4633458735198
2000-01,177.48755192699616
2000-02,183.48178263239498
2000-03,175.38014584967402
2000-04,186.89186030053878
2000-05,174.19579331674734
2000-06,167.4406811127046
2000-07,170.46238357329065
2000-08,180.06954824401026
2000-09,165.01556099000717
2000-10,168.6647896942141
2000-11,157.010962340386
2000-12,140.2759839560767
2001-01,141.32998985101426
2001-02,142.50489057827502
2001-03,154.62686731831894
2001-04,139.15968760688455
2001-05,146.31911280535175
2001-06,155.79127304101775
2001-07,153.6328589753398
2001-08,153.12856539583015
2001-09,150.25251425775448
2001-10,155.500263572031
2001-11,159.97937585760783
2001-12,159.30652387224433
2002-01,165.07230082056014
2002-02,172.019836018661
2002-03,159.0161630684773
2002-04,147.76444512887107
2002-05,144.31429502683383
2002-06,130.3631752401683
2002-07,115.78875125197503
2002-08,110.75527047000338
2002-09,113.01219455949317
2002-10,121.52653816411919
2002-11,133.36019533833718
2002-12,128.03750541068075
2003-01,133.9886951513333
2003-02,138.65900407514218
2003-03,135.47882967695142
2003-04,144.12628261388934
2003-05,140.37881181298806
2003-06,147.4008341356939
2003-07,152.71649365508077
2003-08,159.14884276532015
2003-09,157.35889863440488
2003-10,159.3271976932479
2003-11,149.1354344982613
2003-12,170.19086156054945
2004-01,185.6779300344879
2004-02,181.83842227261556
2004-03,294.6851252154631
2004-04,271.81999485947216
2004-05,273.4011397146897
2004-06,247.41159838076726
2004-07,266.7521397706901
2004-08,268.378189907347
2004-09,273.90302010179477
2004-10,281.7041901597348
2004-11,286.8226037509357
2004-12,275.17994898206643
2005-01,295.76092861002735
2005-02,303.5147948998464
2005-03,316.256785944981
2005-04,312.579669222136
2005-05,314.16038897055347
2005-06,315.07470742881276
2005-07,321.9070765737094
2005-08,317.5425830902898
