Date,LEBANON SMALL CAP
2010-11,1000.0
2010-12,1021.513569686403
2011-01,1038.602647772121
2011-02,1018.970179297543
2011-03,996.9056601627059
2011-04,974.0143467959504
2011-05,967.5905508411087
2011-06,930.0574115972651
2011-07,934.1011345150158
2011-08,922.2647368681771
2011-09,990.9766454625295
2011-10,932.3588624850465
2011-11,959.3676324065926
2011-12,1013.494185732359
2012-01,986.5572272748441
2012-02,989.5634722458233
2012-03,1042.5108460925464
2012-04,1047.3209732536823
2012-05,1107.0843165700492
2012-06,1038.4485120484783
2012-07,1080.1067782663013
2012-08,1067.9504933632547
2012-09,1023.6553630879571
2012-10,1010.4606101954721
2012-11,1012.9152173875724
2012-12,1012.0915893773049
2013-01,986.1334583470086
2013-02,1069.248193148658
2013-03,989.6437018590298
2013-04,996.0266435141731
2013-05,1003.4363518777116
