Date,UNITED ARAB EMIRATES DOMESTIC SMALL CAP
2002-05,183.70482126049285
2002-06,182.30298982987054
2002-07,184.82154200391824
2002-08,197.6502046063462
2002-09,194.58438976346025
2002-10,193.40795274294052
2002-11,199.46885315373868
2002-12,189.2227129907171
2003-01,189.4531601627414
2003-02,186.21266760569245
2003-03,172.2831940040093
2003-04,179.72152480517917
2003-05,171.28184743147446
2003-06,168.23608292287508
2003-07,209.45276495256024
2003-08,233.33115673307216
2003-09,245.14229631541747
2003-10,253.46231293720572
2003-11,246.0288875430723
2003-12,239.0141660802358
2004-01,265.5610433497943
2004-02,273.8973759032927
2004-03,258.4948391930832
2004-04,259.4884704580895
2004-05,269.54863591154293
2004-06,280.3607378248436
2004-07,307.96058381694655
2004-08,303.8230036358033
2004-09,348.8952720333259
2004-10,324.14482331489563
2004-11,352.80307227798306
2004-12,419.1603963755374
2005-01,455.8046438719727
2005-02,559.2472156620519
2005-03,679.4988200128253
2005-04,976.4225012781588
2005-05,1109.4319137953962
2005-06,1433.857106014277
2005-07,1204.506058593839
2005-08,1505.3739596013934
2005-09,1645.4144634643476
2005-10,1730.4800168501436
2005-11,1678.5982384988836
2005-12,1591.000780460447
2006-01,1421.7776197423127
2006-02,1441.661114130868
2006-03,1271.8411769050913
2006-04,1072.036434747008
2006-05,915.8726203367462
2006-06,905.6832539787576
2006-07,859.4733447289759
2006-08,913.4776977098963
2006-09,972.2049204691541
2006-10,942.0972275911645
2006-11,817.1411981887774
2006-12,787.8535353451425
2007-01,762.4960588421258
2007-02,769.2302451753914
2007-03,735.6680002907415
2007-04,778.8153531004979
2007-05,885.8732142813916
2007-06,899.8081548840939
2007-07,908.6290835032954
2007-08,921.6367304436844
2007-09,902.4693160821431
2007-10,1063.8251462756248
2007-11,1000.0000000000009
2007-12,1092.778455192127
2008-01,1092.0226469640174
2008-02,1150.3152915588942
2008-03,996.3427629196474
2008-04,1138.0164497259868
2008-05,1211.2172133760826
2008-06,1169.081791184147
2008-07,1147.6119233046732
2008-08,1097.6739142339081
2008-09,1026.0092742979314
2008-10,850.4227443280902
2008-11,652.3374569880924
2008-12,503.56291458072326
2009-01,523.8062690115486
2009-02,531.3876504219573
2009-03,535.6413780102787
2009-04,590.2581810002922
2009-05,627.021656464531
2009-06,636.9455955344133
2009-07,670.4575644181285
2009-08,636.194405701219
2009-09,680.7764608176092
2009-10,635.8857446934188
2009-11,543.4928633518002
2009-12,558.9289190498572
2010-01,536.9561408284397
2010-02,546.1719662808887
2010-03,597.693301478012
2010-04,575.3879616648871
2010-05,556.5570203528082
2010-06,505.7015744473111
2010-07,501.8600039082917
2010-08,500.29903078602297
2010-09,534.7656695223969
2010-10,553.535772036082
2010-11,543.3227246424885
2010-12,530.3723218277217
2011-01,478.2670604335164
2011-02,406.0089444084667
2011-03,453.776921513434
2011-04,463.4140575675982
2011-05,465.8589802726104
2011-06,438.42074286451657
2011-07,443.12073242951413
2011-08,429.36618768689726
2011-09,445.6820716104839
2011-10,418.77658082193915
2011-11,423.8778691814898
2011-12,423.675115436116
2012-01,447.5232757598993
2012-02,595.8772260108905
2012-03,571.6724653110022
2012-04,568.4533379080692
2012-05,554.9396256201225
2012-06,545.5418029756179
2012-07,587.0253937046642
2012-08,584.7846048214893
2012-09,597.3018090235976
2012-10,625.0767376546479
2012-11,603.0881240137811
2012-12,610.4585656998129
2013-01,683.9846409786718
2013-02,729.0306777874655
2013-03,708.6687771951962
2013-04,798.1810615005799
2013-05,981.6696784507054
2013-06,960.9384434609073
2013-07,1155.7352458493704
2013-08,1135.2772635323433
2013-09,1264.3407972762814
2013-10,1358.9641201857157
2013-11,1371.7268385801485
2013-12,1595.186976302683
2014-01,1864.9365326588231
2014-02,2028.2879763960448
2014-03,2072.4838654596438
2014-04,2225.7619263432666
2014-05,2079.558812343305
2014-06,1597.4106506534495
2014-07,1993.2244228883505
2014-08,1987.744502208336
2014-09,2035.3116029531138
2014-10,1848.0113697045756
2014-11,1876.3635365083912
2014-12,1783.305364798487
2015-01,1922.9703765694194
2015-02,1934.8513166600276
2015-03,1856.3048157026208
2015-04,2116.6763348886598
2015-05,1970.2187209435513
2015-06,2011.2505417267464
2015-07,2086.844595663868
2015-08,1802.6492538723871
2015-09,1806.7011059992221
2015-10,1732.7246953927213
2015-11,1649.5383480248634
2015-12,1636.795493423835
2016-01,1458.796826124665
2016-02,1694.4845661084396
2016-03,1697.1287447795746
2016-04,1730.943963500893
2016-05,1728.296957519322
2016-06,1767.6192188137695
2016-07,1851.3976251055292
2016-08,1858.879263035478
2016-09,1843.5263786139367
2016-10,1796.7353700698761
2016-11,1994.3194870009852
2016-12,2107.9657749964404
2017-01,2175.175767147313
2017-02,2143.100133235764
2017-03,2045.1842567952974
2017-04,2040.6960057923566
2017-05,1885.4315509472128
2017-06,1939.485057598407
2017-07,1980.2775127689779
2017-08,1920.475838827745
2017-09,1938.778635530844
2017-10,2054.734266703074
2017-11,1920.912538307036
2017-12,2054.959134915739
2018-01,2038.839501374574
2018-02,2015.366892473052
2018-03,1974.6474794355383
2018-04,2021.0522203732314
2018-05,2110.009622778802
2018-06,1910.850707995901
2018-07,1933.0028735371018
2018-08,1863.115779702839
2018-09,1830.1271350459683
2018-10,1894.8179998709754
2018-11,1744.7454293160297
2018-12,1638.5824026974383
2019-01,1651.1263723021882
2019-02,1600.28343390578
2019-03,1636.0738781289556
2019-04,1711.6037702505962
2019-05,1572.2308786055717
2019-06,1538.4666912882317
