Date,BULGARIA SMALL CAP
2010-11,1000.0
2010-12,987.5435163639444
2011-01,979.763099400139
2011-02,1175.6870444482586
2011-03,1118.9209608364063
2011-04,1120.835116627014
2011-05,1097.0729455124485
2011-06,1037.7270803091874
2011-07,1043.0857902492185
2011-08,948.2442278504557
2011-09,905.5660360918714
2011-10,853.9721615071546
2011-11,717.0766963071034
2011-12,757.6359188032923
2012-01,775.037048393967
2012-02,750.8737307409665
2012-03,731.6593135291638
2012-04,736.4105396211876
2012-05,602.2272048133694
2012-06,622.3813162564679
2012-07,731.2838927526851
2012-08,737.3490222191823
2012-09,738.8467095328233
2012-10,725.3953542872672
2012-11,722.1466831304942
2012-12,706.5576754209043
2013-01,916.1754766266843
2013-02,913.6141094053766
2013-03,921.1768447643949
2013-04,937.8971567814402
2013-05,995.1584055165988
2013-06,1104.5008476829428
2013-07,1077.5879622399207
2013-08,1111.662675275071
2013-09,1109.2190310928802
2013-10,1096.3642437264082
2013-11,1078.5334246447017
2013-12,1097.3583103738758
2014-01,1208.4850671853137
2014-02,1259.6837406320878
2014-03,1249.55624394638
2014-04,1322.8251584703685
2014-05,1330.6162627026408
2014-06,1229.6303439041233
2014-07,1210.1354861809302
2014-08,1230.970119137063
2014-09,1210.1313035115243
2014-10,1160.3969659687332
2014-11,1153.1976550242453
2014-12,1174.8311997618912
2015-01,1139.002180205057
2015-02,1153.9304411703208
2015-03,1133.285371300924
2015-04,1169.7345268627087
2015-05,1138.7931420195557
2015-06,1124.408270086237
2015-07,1099.4392008217474
2015-08,1031.6885646821077
2015-09,1025.0723315812168
2015-10,1058.5423100561557
2015-11,1000.0486160579649
2017-05,1000.0
2017-06,1049.071983
2017-07,1028.942678
2017-08,1132.98095
2017-09,1087.351522
2017-10,1065.029038
2017-11,1011.906281
2017-12,1077.662588
2018-01,1469.74511
2018-02,1409.598035
2018-03,1361.406492
2018-04,1433.780208257219
2018-05,1343.2298821503284
2018-06,1367.3573121200232
2018-07,1361.6722152998657
2018-08,1324.5044848246812
2018-09,1324.421602742087
2018-10,1243.9914349658911
2018-11,1175.89169788827
