Date,SLOVENIA SMALL CAP
2010-11,1000.0
2010-12,1020.1061724251394
2011-01,843.8404166639324
2011-02,826.6685358801607
2011-03,759.57325669384
2011-04,715.0778097506734
2011-05,657.603219930718
2011-06,624.2895333873784
2011-07,613.7778366824406
2011-08,533.5707426586941
2011-09,476.90118664004024
2011-10,470.3211180790316
2011-11,407.4814825900694
2011-12,394.61515209285835
2012-01,420.5391166152129
2012-02,409.49627463671936
2012-03,476.3232780225748
2012-04,491.8423751657524
2012-05,444.07941639859644
2012-06,439.8704340608358
2012-07,433.49729728309086
2012-08,426.30659922002576
2012-09,528.1609306046207
2012-10,516.7090795484713
2012-11,514.2247968295463
2012-12,553.3793403993585
2013-01,535.5656662023006
2013-02,530.5860224882891
2013-03,540.2508500270067
2013-04,590.4771264126741
2013-05,562.0862679917699
2013-06,554.901276956337
2013-07,571.6408385210017
2013-08,579.1531905316548
2013-09,557.8482902880852
2013-10,589.5456540083349
2013-11,593.3137880768364
2013-12,582.1367916827038
2014-01,685.1417899169572
2014-02,714.6641225009157
2014-03,716.137128021482
2014-04,767.2025367472532
2014-05,833.2769152017826
2014-06,914.2918435754406
2014-07,962.4554542607204
2014-08,1023.3945982432543
2014-09,990.9535766537074
2014-10,971.3732369424665
2014-11,990.9960548273351
2014-12,922.1424628800521
2015-01,936.1015029812578
2015-02,916.509459500277
2015-03,926.1616199422294
2015-04,981.7466423102924
2015-05,970.9303360057695
2015-06,919.704316747252
2015-07,937.8932827290924
2015-08,890.5251492941733
2015-09,867.9897497196795
2015-10,869.7148155878041
2015-11,883.5719245161766
2015-12,880.1163650052732
2016-01,883.9801417994835
2016-02,886.5658135371185
2016-03,936.0736038553341
2016-04,928.2364431853842
2016-05,956.6446136375026
2016-06,950.8496952472581
2016-07,1022.4112575954919
2016-08,1034.4648611141017
2016-09,1075.0334310555666
2016-10,1122.0298692671513
2016-11,1052.2007174519904
2016-12,1081.45866849441
2017-01,1126.8109874655167
2017-02,1222.2201208728889
2017-03,1195.7357946558573
2017-04,1216.477793251319
2017-05,1228.5039366786623
2017-06,1253.9242888325334
2017-07,1298.8264492072756
2017-08,1286.9173190955132
2017-09,1249.698930348639
2017-10,1247.5319283673452
2017-11,1199.4576147677453
2017-12,1219.084121099024
2018-01,1252.7621069818717
2018-02,1218.7120096440237
2018-03,1224.7433079582283
2018-04,1256.3401522741046
2018-05,1377.8092112890633
2018-06,1411.8866776525983
2018-07,1418.4714129927547
2018-08,1390.0014275562107
2018-09,1360.2074149368702
2018-10,1258.8888000730115
2018-11,1292.4778620074692
2018-12,1220.9716049007238
2019-01,1272.5674285276439
2019-02,1306.0616603800352
2019-03,1345.4660791981137
2019-04,1380.0433819064206
2019-05,1331.1527646922025
2019-06,1374.7624193945658
2019-07,1379.150574413329
2019-08,1364.9585960039676
2019-09,1372.9472870514912
2019-10,1355.3648247382612
2019-11,1390.1992575127651
2019-12,1414.1144860211355
2020-01,1500.089729286163
2020-02,1402.5568546876746
2020-03,1089.3895800249163
2020-04,1171.3509209200352
2020-05,1196.7139466232327
2020-06,1206.6266072959372
2020-07,1218.794091310491
2020-08,1218.9266066715338
2020-09,1264.2520166892316
2020-10,1190.3658288216975
2020-11,1297.3177569755146
2020-12,1300.7876256870939
2021-01,1373.8795144185633
2021-02,1431.0103681360981
2021-03,1462.1077582778096
2021-04,1559.9017663125096
2021-05,1688.0574248788564
2021-06,1690.292904047047
2021-07,1756.8945250989336
2021-08,1811.0110688375348
2021-09,1736.0438614431625
2021-10,1764.282393292985
2021-11,1828.7182114709
2021-12,1915.5302977623126
2022-01,2024.3887641121946
2022-02,1839.2283543642545
2022-03,2033.9856591480634
2022-04,2033.7976963488331
2022-05,1958.3034811648286
2022-06,1854.325058686035
2022-07,1959.2468357269977
2022-08,1895.0488353498554
2022-09,1591.5185679902042
2022-10,1748.3092152859979
2022-11,1784.7603369620808
2022-12,1724.3867836610884
2023-01,1837.675436661831
2023-02,1924.6636239607615
2023-03,1957.2678731629037
2023-04,1997.807967155448
2023-05,1937.0939705842566
2023-06,1988.951476830588
2023-07,2033.4969820055564
