Date,BAHRAIN SMALL CAP
2002-11,549.5262564495105
2002-12,532.4952659417366
2003-01,550.4278878976961
2003-02,542.0872511712532
2003-03,554.0495401237353
2003-04,581.371241949919
2003-05,584.5189136494561
2003-06,620.7823612630283
2003-07,646.8529178072297
2003-08,655.4041628385868
2003-09,634.9527776358804
2003-10,668.7312891213347
2003-11,658.1405712245396
2003-12,693.0055257458258
2004-01,734.0486822001108
2004-02,762.8152026224827
2004-03,713.3350752558626
2004-04,707.4066117046281
2004-05,718.3491893214875
2004-06,732.3442518932217
2004-07,758.5748832013588
2004-08,784.2153576904177
2004-09,841.589003552373
2004-10,885.6066121169375
2004-11,896.4883601505124
2004-12,899.039908666647
2005-01,996.9655688250904
2005-02,1070.3179296741794
2005-03,1055.572914006863
2005-04,1098.364255552522
2005-05,1111.3811530969242
2005-06,1164.8560841167846
2005-07,1131.9920504294603
2005-08,1099.492376591247
2005-09,1158.50697531664
2005-10,1164.8165880710164
2005-11,1192.7204244336178
2005-12,1165.1770335853137
2006-01,1178.9126787964835
2006-02,1169.2758123936485
2006-03,1008.0834311562428
2006-04,929.8625715064267
2006-05,886.8022811995734
2006-06,854.0925707903112
2006-07,859.8321276989897
2006-08,878.1597046999019
2006-09,911.6340619995169
2006-10,902.714038315573
2006-11,843.6438181001914
2006-12,849.2466858336389
2007-01,826.354201138244
2007-02,816.995827767783
2007-03,854.5645768761001
2007-04,802.1175217190352
2007-05,887.7869768600588
2007-06,922.5492572326842
2007-07,957.1630088008955
2007-08,1034.4995624174994
2007-09,1020.8433477964596
2007-10,1076.5618221094794
2007-11,1000.0000000000001
2007-12,997.8028248877227
2008-01,1017.1032314529152
2008-02,1057.4302874228435
2008-03,1027.7312632837336
2008-04,1015.399274295952
2008-05,1022.4726130966632
2008-06,1009.1617476602161
2008-07,1025.7284867701962
2008-08,1077.3673098597153
2008-09,1072.9769988001276
2008-10,1017.0116733212941
2008-11,969.0501458742953
2008-12,849.1299893189275
2009-01,816.58520352179
2009-02,823.8799080148297
2009-03,764.7684302949667
2009-04,810.6893390569589
2009-05,799.5570968158445
2009-06,793.8256209758855
2009-07,757.9049906164415
2009-08,763.1265547375407
2009-09,737.6356502132766
2009-10,704.960553797378
2009-11,700.3607103364756
2009-12,721.2314596984385
2010-01,725.5743983549052
2010-02,731.8864987311686
2010-03,753.4855296710771
2010-04,729.6179297478027
2010-05,682.1283382329632
2010-06,664.4643640466163
2010-07,636.3615405301332
2010-08,636.6949452406458
2010-09,591.9640014564119
2010-10,585.0673557896071
2010-11,634.4039569746767
2010-12,599.6219581479467
2011-01,563.0407948228648
2011-02,453.74309261476975
2011-03,460.3649490605563
2011-04,413.01021778408443
2011-05,392.0110788008138
2011-06,387.763221618219
2011-07,386.5788997526689
2011-08,383.8810837431921
2011-09,396.91021103841695
2011-10,374.980330791746
2011-11,389.1046540447892
2011-12,398.52512761431
2012-01,385.01334528315016
2012-02,480.4290605261345
2012-03,470.98098151116073
2012-04,565.6041926390778
2012-05,561.1736923042826
2012-06,540.9447462133144
2012-07,565.7609375440006
2012-08,555.097008462064
2012-09,558.7876842200342
2012-10,564.3720283148175
2012-11,548.0163796827181
2012-12,581.5088107000464
2013-01,590.8025158943863
2013-02,627.4842696387685
2013-03,704.9431958705195
2013-04,733.8772941990715
2013-05,818.0841145484817
2013-06,772.9533446408462
2013-07,795.1107898134882
2013-08,776.3083608383923
2013-09,789.8520571442241
2013-10,829.7380553654913
2013-11,811.2021036582855
2013-12,950.10029142262
2014-01,1058.0457449080895
2014-02,1188.6611762246312
2014-03,1277.2857045473665
2014-04,1342.374015617015
2014-05,1344.8183218366653
2014-06,1318.1417160408814
2014-07,1417.0567604815965
2014-08,1476.2723967024883
2014-09,1627.9078310613222
2014-10,1619.4820260367119
2014-11,1597.0471091264073
2014-12,1614.5719862862686
2015-01,1788.197762934615
2015-02,1860.7113952407894
2015-03,1874.9454607952525
2015-04,1877.5884247974811
2015-05,1893.82022175032
2015-06,1832.2319260253698
2015-07,1782.3272121922855
2015-08,1748.8001298132394
2015-09,1821.5313881674388
2015-10,1892.4669715126502
2015-11,1963.0337488401703
2015-12,1964.8797607029671
2016-01,1833.9655068766247
2016-02,1987.5051320201917
2016-03,2019.5116210195786
2016-04,2088.506015928254
2016-05,2116.142299176577
2016-06,2096.238966630335
2016-07,2106.911330768327
2016-08,2235.94431517829
2016-09,2313.076661004674
2016-10,2460.0864324492677
2016-11,3064.9498153319787
2016-12,3503.287865794666
2017-01,4184.927844230392
2017-02,4376.789023408593
2017-03,4174.815174365847
2017-04,3934.161721233431
2017-05,3709.609761722863
2017-06,3627.85590103809
2017-07,3597.778522237223
2017-08,3467.4723033797513
2017-09,3397.364022757084
2017-10,3368.241677732999
2017-11,3187.775536319937
2017-12,3514.9132513837503
2018-01,3711.2876827638574
2018-02,3667.946706060732
2018-03,3525.8138803342513
2018-04,3435.637637441947
2018-05,3623.8102260990804
2018-06,3629.2127459437447
2018-07,3505.670979551141
2018-08,3448.0192854320435
2018-09,3479.3302855830784
2018-10,3557.038899011822
2018-11,3444.7439285232244
2018-12,3505.6726703314157
2019-01,3453.380958881552
2019-02,3552.6231943003354
2019-03,3526.1260471558608
2019-04,3554.6703142682627
2019-05,3638.3431972410713
2019-06,3308.9894828811302
