Date,MAURITIUS SMALL CAP
2010-11,1000.0
2010-12,967.3138151227475
2011-01,981.8717482380277
2011-02,1003.5883385632912
2011-03,1005.0409796833662
2011-04,984.3029556712037
2011-05,1054.5136925224376
2011-06,1038.803257112066
2011-07,1047.71633198243
2011-08,1054.5742822443835
2011-09,1074.99968384866
2011-10,1033.000506804011
2011-11,1058.889748792898
2011-12,1088.0028089736718
2012-01,1089.4269046580037
2012-02,1060.7862643505134
2012-03,1031.5126889043827
2012-04,1076.320736197127
2012-05,1137.328635636525
2012-06,993.6378700352835
2012-07,1056.8074465182056
2012-08,906.6200541222458
2012-09,872.3297668664493
2012-10,843.0640196614594
2012-11,875.1166087758734
2012-12,883.339533626651
2013-01,944.0105860230266
2013-02,992.3563561773667
2013-03,1037.6309360305756
2013-04,992.8755950554875
2013-05,1009.7061989678696
2013-06,998.5161600100221
2013-07,930.7210328752506
2013-08,947.8144828873395
2013-09,1019.4578154345198
2013-10,1102.3500231746455
2013-11,1045.779498233352
2013-12,1072.1530571651745
2014-01,1053.221488803147
2014-02,1026.6639409453978
2014-03,1025.7869496090948
2014-04,1044.5200732468636
2014-05,1016.8581253646241
2014-06,1040.135513217376
2014-07,1054.231790631783
2014-08,1068.4789678260333
2014-09,1130.4883509904591
2014-10,1093.3780922540948
2014-11,1069.9167445023347
2014-12,1061.4154359435233
2015-01,1032.9419941386648
2015-02,1000.7425880380728
2015-03,976.1516012882025
2015-04,941.5038348819664
2015-05,937.5667277743692
2015-06,939.959490000798
2015-07,924.6600366015897
2015-08,925.3167908984569
2015-09,911.2010296549327
2015-10,912.7472115285877
2015-11,913.9572035769576
2015-12,892.36501905919
2016-01,970.1303712393598
2016-02,923.6741137207305
2016-03,898.1022815106082
2016-04,886.150619443965
2016-05,853.9514940631725
2016-06,846.0635702790578
2016-07,891.6054678485831
2016-08,903.8736799210633
2016-09,880.6738772213752
2016-10,877.9467929221165
2016-11,902.9735250399771
2016-12,911.7289779714927
2017-01,954.9944830997824
2017-02,973.9228383109104
2017-03,970.6873136826242
2017-04,1044.8829242126312
2017-05,1018.9770263862588
2017-06,1004.6354890354825
2017-07,1020.5191502630265
2017-08,1037.761506368482
2017-09,1003.4069741085264
2017-10,980.0941131857305
2017-11,989.0736080399494
2017-12,972.3410749768074
2018-01,1013.5956550209904
2018-02,993.6213905521006
2018-03,985.8507586513988
2018-04,958.7426051857358
2018-05,972.0716837621055
2018-06,958.0682252465051
2018-07,993.8812844747342
2018-08,957.4895122958584
2018-09,948.0180039857377
2018-10,967.4594361817921
2018-11,945.9957713484157
2018-12,925.8566226869171
2019-01,928.11986545576
2019-02,917.7038406914356
2019-03,871.5034989479225
2019-04,845.6261411841123
2019-05,808.4808195095171
2019-06,797.5832029463139
2019-07,828.4122480556655
2019-08,798.1480379478185
2019-09,752.4982228670088
2019-10,769.9551858379442
2019-11,782.9460968213554
2019-12,787.8013806354887
2020-01,760.0379627494959
2020-02,687.258184524461
2020-03,488.458704391725
2020-04,510.5865150449277
2020-05,513.9127912752502
2020-06,547.7505815682547
2020-07,479.1780929091778
2020-08,460.19359358423884
2020-09,447.2828057766243
2020-10,414.12421470888654
2020-11,457.71282939630294
2020-12,504.06857750636135
2021-01,500.04003161585257
2021-02,497.31416652228256
2021-03,579.2909682482991
2021-04,611.0762961736132
2021-05,637.5975664515066
2021-06,658.0174326885419
2021-07,655.5962263571216
2021-08,696.152367567853
2021-09,672.8456741422573
2021-10,667.76055221242
2021-11,631.7916231002001
2021-12,700.1976349656275
2022-01,748.4056280617116
2022-02,739.5719609623155
2022-03,812.0361734887722
2022-04,933.1825726367351
2022-05,886.2954747253746
