Date,GHANA SMALL CAP
2010-11,1000.0
2010-12,1162.4669187238094
2011-01,1082.6829983030345
2011-02,1032.2950033420043
2011-03,1021.9510646221319
2011-04,1062.7710180556517
2011-05,1249.332034019268
2011-06,1239.7256302767487
2011-07,1242.3840965953514
2011-08,1168.340314871714
2011-09,1034.7093519648142
2011-10,860.04927052999
2011-11,819.5080278604704
2011-12,844.5598850047918
2012-01,799.9588797164257
2012-02,770.703657214389
2012-03,744.2129264074503
2012-04,727.1903179732684
2012-05,760.6703898503833
2013-11,981.5666516779222
2013-12,923.4552290983899
2014-01,966.6398706805942
2014-02,835.8327697065469
2014-03,859.6642398012297
2014-04,713.1178546829491
2014-05,698.2863807528856
2014-06,667.0788999626963
2014-07,624.3100547003041
2014-08,526.1905994082331
2014-09,709.0186904020528
2014-10,756.5601142235514
2014-11,800.7275436240453
2014-12,827.378487709221
2015-01,860.2235287123882
2015-02,817.2213362772986
2015-03,816.9112944391268
2015-04,783.9202661441303
2015-05,790.5038058435106
2015-06,748.3458689529446
2015-07,847.6413877702848
2015-08,810.7979321204909
2015-09,944.4667462121779
2015-10,914.9110327038997
2015-11,971.0921881350155
