Date,INDIA DOMESTIC SMALL CAP
2015-05,1395.9915928765265
2015-06,1340.2792386762192
2015-07,1426.8930367104235
2015-08,1278.8642139178908
2015-09,1311.9514515912772
2015-10,1346.0471244289015
2015-11,1387.8560332281118
2015-12,1380.528067636892
2016-01,1240.8861913491598
2016-02,1087.1344075136087
2016-03,1198.7604959238695
2016-04,1237.812430766932
2016-05,1284.0015731545648
2016-06,1348.0294627687704
2016-07,1425.3143553482291
2016-08,1491.5533361773646
2016-09,1512.6409742265885
2016-10,1609.8425972879757
2016-11,1479.9449534114094
2016-12,1466.9233181067675
2017-01,1534.8400073402881
2017-02,1699.597303587195
2017-03,1818.7972241276884
2017-04,1906.1019514147063
2017-05,1801.5409068039053
2017-06,1808.13852422217
2017-07,1834.7223225681828
2017-08,1811.139438662896
2017-09,1787.6940027704509
2017-10,1972.8449374442525
2017-11,1985.1707474336577
2017-12,2102.254624867176
2018-01,1981.3163886819948
2018-02,1921.5800735616995
2018-03,1802.628308296028
2018-04,1938.7499737130988
2018-05,1867.0746559309382
2018-06,1735.3353779959334
2018-07,1801.2064735758738
2018-08,1827.0564639053719
2018-09,1518.3828280416549
2018-10,1508.2371686015335
2018-11,1639.6932003371498
2018-12,1656.4736313167004
2019-01,1542.885759570802
2019-02,1537.5637088288938
2019-03,1762.7367436424208
2019-04,1714.2136794825265
2019-05,1760.2672463670376
2019-06,1687.0383104088135
2019-07,1572.898354082133
2019-08,1519.2240803342188
2019-09,1607.419617129163
2019-10,1636.6985122633946
2019-11,1669.5268462418944
2019-12,1642.0011114386807
2020-01,1763.1066852250765
2020-02,1656.6171510602005
2020-03,1087.3981563071586
2020-04,1263.2725155579337
2020-05,1218.0623309494401
2020-06,1356.609155011636
2020-07,1383.5784330349627
2020-08,1510.9228492045802
2020-09,1583.2654059450588
2020-10,1594.6533894475995
2020-11,1775.8865263254568
2020-12,1857.9584946739362
2021-01,1887.7814112266963
2021-02,2101.167470527712
2021-03,2228.518555465459
2021-04,2196.3064958228174
2021-05,2349.4714257022088
2021-06,2496.8255233127734
2021-07,2631.1644747524615
2021-08,2696.985947537999
2021-09,2883.2120633468676
2021-10,2859.6266665937333
2021-11,2872.5112284883653
2021-12,2985.6677659163893
2022-01,2978.827529417102
2022-02,2722.5694007628535
2022-03,2880.7356144068035
2022-04,3025.733885916638
2022-05,2734.296191343437
2022-06,2606.4791611749033
2022-07,2908.8198057840555
2022-08,3101.5870735918247
2022-09,3088.843754408918
2022-10,3043.952498944256
2022-11,3021.9395570167553
2022-12,2801.30234375875
2023-01,2728.2865278234544
2023-02,2711.270765638128
2023-03,2628.761615895366
2023-04,2732.643568862632
2023-05,2948.779293554781
2023-06,3098.754592700228
2023-07,3259.6066401419275
