Date,ROMANIA
2005-11,691.2297675525261
2005-12,667.625802139784
2006-01,852.5500727210374
2006-02,914.4485324295298
2006-03,840.7019398097212
2006-04,845.8492287399646
2006-05,797.621195598466
2006-06,802.806018923004
2006-07,882.3486533927097
2006-08,883.0040525712163
2006-09,896.7701360062858
2006-10,980.7933835906143
2006-11,943.2525135801073
2006-12,930.2775519844607
2007-01,1006.3593533887852
2007-02,1015.839278709468
2007-03,989.819933621166
2007-04,1020.1275580234246
2007-05,1063.5455253064104
2007-06,1216.1887365153993
2007-07,1256.3124235140442
2007-08,1200.841891537727
2007-09,1107.723827212575
2007-10,1144.0929308075938
2007-11,1000.0
2007-12,1067.7686628042736
2008-01,780.9963766613974
2008-02,803.0467803732768
2008-03,805.2078557948648
2008-04,879.740412684167
2008-05,995.7711459120276
2008-06,816.0038592257656
2008-07,778.6216561336915
2008-08,704.7607296144953
2008-09,525.4411683140952
2008-10,396.33593342808797
2008-11,403.82608954058304
2008-12,376.28165698265383
2009-01,206.93427017369635
2009-02,157.39448859982474
2009-03,207.72104008176063
2009-04,263.61533713669627
2009-05,307.11979905100543
2009-06,308.06381847571816
2009-07,355.54840420048924
2009-08,384.1462016402248
2009-09,393.62174392934736
2009-10,390.2139622964811
2009-11,435.36352975680705
2009-12,423.6437115057854
2010-01,473.9695738010255
2010-02,477.72057713564755
2010-03,545.4430318963048
2010-04,515.1829895517923
2010-05,448.7831078683545
2010-06,409.1575769363817
2010-07,442.55371774538236
2010-08,441.37563670040913
2010-09,460.4760757155779
2010-10,452.3847807235427
2010-11,429.2158988987376
2010-12,448.07107310142084
2011-01,489.2921462293509
2011-02,517.3555548024219
2011-03,559.8684915950446
2011-04,578.5548156735731
2011-05,536.4148468471593
2011-06,530.0077206737074
2011-07,512.3665770314783
2011-08,463.4237399351651
2011-09,392.232622754582
2011-10,419.9110283673086
2011-11,381.24559836805895
2011-12,391.51962903608444
2012-01,437.84891087164254
2012-02,466.5459960088437
2012-03,479.2364738753138
2012-04,483.68155721118353
2012-05,416.8456711524508
2012-06,425.4389400199628
2012-07,418.8308510267853
2012-08,438.43609148320775
2012-09,424.60326030534713
2012-10,448.13504857612764
2012-11,437.20973435162836
2012-12,485.3642705113506
2013-01,526.876281956715
