Date,CHINA A INCLUSION
2017-08,1000.0
2017-09,1003.5147160645447
2017-10,1066.5938178915246
2017-11,1036.1427173423233
2017-12,1050.7090963843443
2018-01,1112.817221512962
2018-02,1054.7776632252642
2018-03,1014.9538131114634
2018-04,989.2204103130867
2018-05,1012.3790179498059
2018-06,911.6696350233613
2018-07,897.0347714666937
2018-08,850.8428441455147
2018-09,878.8063028457614
2018-10,814.5102574583077
2018-11,822.3897932147878
2018-12,791.824696943988
2019-01,861.718265284511
2019-02,985.2005704770278
2019-03,1047.5243292773603
2019-04,1058.1735076082334
2019-05,964.3430652941491
2019-06,1006.1518359107366
2019-07,1037.771276257137
2019-08,1007.7410756991985
2019-09,1022.4819453672318
2019-10,1032.2628055685636
2019-11,1032.6345032356323
2019-12,1098.064690399526
2020-01,1092.1250939940023
2020-02,1097.0402119441471
2020-03,1020.0631077613757
2020-04,1092.2816873717861
2020-05,1054.2086320688995
2020-06,1152.871097868484
2020-07,1259.5229302519124
2020-08,1305.102594418704
2020-09,1273.3442168970291
2020-10,1323.887991367652
2020-11,1368.9290538914995
2020-12,1442.5901507653418
2021-01,1507.6677617710723
2021-02,1486.4664350774317
2021-03,1438.926539966911
2021-04,1464.7522968273975
2021-05,1532.530127788202
2021-06,1557.138327627438
2021-07,1454.9185055622718
2021-08,1477.8770364800453
2021-09,1523.7153239208583
2021-10,1557.0553198999899
2021-11,1596.2956576327833
2021-12,1601.8337366356207
2022-01,1482.003397447424
2022-02,1517.2272173911485
2022-03,1399.044462051122
2022-04,1332.9145920073397
2022-05,1349.0263164001974
2022-06,1514.3250698058002
2022-07,1456.4540037166505
2022-08,1421.9534433396216
2022-09,1321.0479511279846
2022-10,1185.0466371647215
2022-11,1285.2846815756195
2022-12,1264.6820732015763
2023-01,1361.0711890629484
2023-02,1332.2903548910463
2023-03,1300.3397701282042
2023-04,1253.3508988979083
2023-05,1194.0034304711573
2023-06,1156.8802334953086
2023-07,1221.8997988654162
