Date,TRINIDAD AND TOBAGO
2008-11,1014.3898196683382
2008-12,909.2593593383035
2009-01,1021.9693798956383
2009-02,1029.172359835703
2009-03,979.2279593964367
2009-04,968.6051265950167
2009-05,891.4592063651446
2009-06,898.508049367462
2009-07,882.4947026198787
2009-08,875.8722386379595
2009-09,859.3292954200133
2009-10,837.3571936771958
2009-11,742.2347141100167
2009-12,792.2616672237199
2010-01,819.0776393702923
2010-02,836.2673675697171
2010-03,841.5577072174211
2010-04,857.3903237509307
2010-05,937.710284559607
2010-06,937.8631507061575
2010-07,880.2248217526267
2010-08,859.5517971876727
2010-09,785.4861778625826
2010-10,740.0102422059394
2010-11,800.4050212005061
2010-12,783.5074665656938
2011-01,840.7157650110838
2011-02,847.2190316107101
2011-03,811.6766297354366
2011-04,789.4693353813235
2011-05,876.483010890457
2011-06,912.3343818407279
2011-07,921.0177243480605
2011-08,882.9655821294149
2011-09,952.2572070123413
2011-10,947.0696634986498
2011-11,1009.2162143483889
2011-12,1053.6565577706563
2012-01,980.8234165560277
2012-02,984.610466118071
2012-03,1008.379908012608
2012-04,1028.5003676038227
2012-05,1109.9021345981816
2012-06,1085.9669189941749
2012-07,1124.609778342955
2012-08,1140.5620516629356
2012-09,1137.9279755774257
2012-10,1156.840410620672
2012-11,1106.3773928503792
2012-12,1131.6856474782405
2013-01,1172.8862868199571
2013-02,1319.2972053505862
2013-03,1331.149760936069
2013-04,1295.3975178613837
2013-05,1334.3674052387778
2013-06,1332.5946939210196
2013-07,1303.9390078787126
2013-08,1273.487018904161
2013-09,1242.0031115231934
2013-10,1267.1057053503644
2013-11,1313.5059179773903
2013-12,1310.7377731949018
2014-01,1407.8887223251816
2014-02,1397.352480601231
2014-03,1414.8597628745172
2014-04,1393.2195495883757
2014-05,1451.1097086887414
2014-06,1422.4173519867957
2014-07,1499.4369590391516
2014-08,1517.6722752306048
2014-09,1583.926664749909
2014-10,1594.759694163104
2014-11,1622.8230158475349
2014-12,1669.231285775738
2015-01,1776.2232285456123
2015-02,1771.66694106242
2015-03,1836.734904469831
2015-04,1739.1578073245
2015-05,1797.5089988569619
2015-06,1766.1749888125864
2015-07,1784.6294416270134
2015-08,1724.6283357886764
2015-09,1747.2027682142693
2015-10,1767.5717717611392
2015-11,1828.0987137548823
2015-12,1793.5878666698072
2016-01,1781.245262302059
2016-02,1753.9531047454475
2016-03,1606.1664587117434
2016-04,1554.1544647839878
2016-05,1510.2308381137136
2016-06,1641.2753806620522
2016-07,1710.9071338083256
2016-08,1732.2228139622168
2016-09,1710.9044344085587
2016-10,1659.6631789626897
2016-11,1752.1536457868788
2016-12,1716.8698257038025
2017-01,1657.3601466690363
2017-02,1721.7153728544902
2017-03,1670.7142111463795
2017-04,1688.8867000503901
2017-05,1575.423042462823
2017-06,1637.5175244639365
2017-07,1722.49863174572
2017-08,1648.6177266669652
2017-09,1690.385855162471
2017-10,1754.6644142565167
2017-11,1808.893989475154
2017-12,1914.4312384954933
2018-01,1871.921887189138
2018-02,1933.7338905349977
2018-03,1976.4893794866555
2018-04,2063.6583928715268
2018-05,2234.7921945621483
2018-06,2286.8502266041387
2018-07,2277.410069736905
2018-08,2308.8721085117454
2018-09,2268.528863983984
2018-10,2365.574904103508
2018-11,2331.589412579694
2018-12,2300.7883420786115
2019-01,2306.1869736140275
2019-02,2393.852515296014
2019-03,2448.534113121952
2019-04,2456.8027446406677
2019-05,2371.4155895396225
2019-06,2336.720119675059
2019-07,2366.7800139795136
2019-08,2155.942768533892
2019-09,2175.962567675522
2019-10,2188.285515011382
2019-11,1805.6577808488953
2019-12,2020.017641629423
2020-01,1788.8423368187932
2020-02,1788.090455442019
2020-03,1719.98721682542
2020-04,1481.3060376625888
2020-05,1398.41300943829
2020-06,1499.0565133875134
2020-07,1388.1834830423304
2020-08,1329.2585607541903
2020-09,1296.6121237921311
2020-10,1231.89607328223
2020-11,1205.560361789352
2020-12,1335.8321475048958
2021-01,1212.584044830402
2021-02,1201.2865787516887
2021-03,1216.8867012524604
2021-04,1061.388295606759
2021-05,1467.7336722307248
2021-06,1422.766300008015
2021-07,1419.8723337599388
2021-08,1458.802926776067
2021-09,1422.9759070956002
2021-10,1547.496661530107
2021-11,1611.3016661885688
2021-12,1686.399722112086
2022-01,1667.8149639673238
2022-02,1723.2695532772157
2022-03,1652.7635198444493
2022-04,1792.3129190753884
2022-05,1774.2842073636684
2022-06,1790.5215886054032
2022-07,1884.8310291781722
2022-08,1929.0664691504392
2022-09,1932.2110935877872
2022-10,1937.3932765935529
2022-11,1821.1192266631706
2022-12,1899.7176828182203
2023-01,1742.3409408043287
2023-02,1760.7332689958257
2023-03,1666.0253440507454
2023-04,1655.8462271910773
2023-05,1818.4479337641096
2023-06,1710.462935579902
2023-07,1706.4379855526531
