Date,MSCI Greece Rebased Index
1998-12,100000.0
1999-01,118486.96717728573
1999-02,120992.97752979833
1999-03,118772.65700640997
1999-04,127793.88006399712
1999-05,135399.44223455823
1999-06,136228.0731711179
1999-07,142033.81773090563
1999-08,166404.87987496084
1999-09,175938.7487531465
1999-10,168943.56817729186
1999-11,178498.70436383365
1999-12,175539.204417018
2000-01,160646.5143775459
2000-02,167328.60228032558
2000-03,158527.869540025
2000-04,139660.54293862733
2000-05,151954.5020899157
2000-06,136263.67975384992
2000-07,134988.63257450217
2000-08,118260.30698206398
2000-09,135957.14327393498
2000-10,124847.7738232036
2000-11,105536.6493046386
2000-12,109306.61549899617
2001-01,105739.46687754276
2001-02,101513.50308587866
2001-03,99902.2332911718
2001-04,108547.24177055313
2001-05,100784.87063231766
2001-06,88842.01872820496
2001-07,86275.16141383052
2001-08,87901.80243542213
2001-09,70593.49725311578
2001-10,78622.24939761646
2001-11,83795.60209315257
2001-12,81132.45273953729
2002-01,80727.10810248581
2002-02,72199.68369985561
2002-03,70112.51342969552
2002-04,68150.61127245559
2002-05,71613.1535065304
2002-06,69229.87616756489
2002-07,64625.86978854846
2002-08,64881.84625766247
2002-09,55639.11291353051
2002-10,53271.26646241866
2002-11,54442.90176720069
2002-12,51450.46279175345
2003-01,49931.06622245176
2003-02,47312.80690473287
2003-03,42062.74317310753
2003-04,49785.14176887444
2003-05,50695.66167309814
2003-06,57180.84537803905
2003-07,66171.5571354774
2003-08,68091.13424745809
2003-09,62586.617064667735
2003-10,65651.52185193438
2003-11,67726.70161311388
2003-12,72594.27811329646
2004-01,77750.0635405184
2004-02,78225.88070688056
2004-03,76765.64944601952
2004-04,83447.28380555788
2004-05,81532.01666226002
2004-06,80485.77621172828
2004-07,78902.73135436903
2004-08,79256.82615185085
2004-09,80814.39280036387
2004-10,87169.62206251374
2004-11,92751.03557471275
2004-12,98392.71288492445
2005-01,102584.70717556326
2005-02,112026.8010211039
2005-03,101831.60399478683
2005-04,101949.74709438604
2005-05,106820.41589126181
2005-06,111538.31395779
2005-07,118781.83843549658
2005-08,117389.27873862989
2005-09,121887.85463280539
2005-10,119074.09437314163
2005-11,123990.9832683405
2005-12,131636.99182780104
2006-01,141734.37777752258
2006-02,152255.26480515715
2006-03,147373.71936772412
2006-04,147394.9036200972
2006-05,134441.54172153719
2006-06,135597.26383230442
2006-07,137327.53404366068
2006-08,141466.45296477946
2006-09,143850.20947751455
2006-10,152031.35798045067
2006-11,154821.69630593192
2006-12,159020.90519975265
2007-01,171349.93643066127
2007-02,162342.5646721671
2007-03,166390.94448358004
2007-04,169649.38801648834
2007-05,179438.5380295492
2007-06,174756.02918462304
2007-07,176501.12505949134
2007-08,177488.50568364287
2007-09,184332.06781556815
2007-10,192466.3047395652
2007-11,184392.5474370942
2007-12,190621.11913186457
2008-01,161790.8630872287
2008-02,150797.1227098125
2008-03,148050.38659045403
2008-04,157539.4419679676
2008-05,158633.37750601603
2008-06,129628.7734615903
2008-07,131724.56131840558
2008-08,128043.94832495842
2008-09,114295.523029413
2008-10,80138.85597254022
2008-11,72208.80778115433
2008-12,68166.00762082027
2009-01,68345.52294218833
2009-02,55874.600901435784
2009-03,62402.08956148046
2009-04,77941.34870572978
2009-05,86745.2043235079
2009-06,82019.37842715303
2009-07,89055.1019634565
2009-08,95411.43907543273
2009-09,104500.49015779312
2009-10,105436.21313376332
2009-11,86914.69676894574
2009-12,82585.64222886751
2010-01,76363.95677195519
2010-02,70177.7250620784
2010-03,76042.23266560126
2010-04,68511.1104264555
2010-05,55072.579316690055
2010-06,49995.425311296276
2010-07,61391.17683228916
2010-08,57054.88333829284
2010-09,53291.44128450426
2010-10,56593.87552946354
2010-11,51066.31074244051
2010-12,48705.39894012711
2011-01,56117.09156294518
2011-02,54984.00841047237
2011-03,53021.39049369818
2011-04,48442.30384644955
2011-05,44230.11366889899
2011-06,43343.79012043215
2011-07,40597.08565883322
2011-08,29222.416020796725
2011-09,25008.341406697222
2011-10,23055.63730511011
2011-11,18860.037424146863
2011-12,18737.83178786954
2012-01,23168.031515539817
2012-02,20857.159050720402
2012-03,20737.9096620632
2012-04,19521.834315203465
2012-05,14573.854193246989
2012-06,15594.203523743583
2012-07,15749.976513372434
2012-08,17098.26305214059
2012-09,15432.308613519519
2012-10,17883.57345315579
2012-11,19070.512089335178
2012-12,19284.728721854524
2013-01,21340.46958432467
2013-02,22900.876410308185
2013-03,22576.161293409932
2013-04,22008.6627304928
2013-05,20632.19224823657
2013-06,20080.187422723513
2013-07,21928.527127699923
2013-08,23153.387659446027
2013-09,25766.745321693346
2013-10,29847.629880804325
2013-11,28870.746266642356
2013-12,27870.664090150472
2014-01,28431.266908413174
2014-02,32498.739940426865
2014-03,32913.54793776833
2014-04,29673.00709807051
2014-05,29895.889634360417
2014-06,29563.986625905105
2014-07,27731.821315893005
