Date,KUWAIT
2005-05,676.4926471747195
2005-06,740.2731760508982
2005-07,775.3905109989503
2005-08,785.1575558267837
2005-09,837.6326684622236
2005-10,891.1335108413273
2005-11,1000.0
2005-12,942.1889157630119
2006-01,927.9205029383594
2006-02,917.0934070966166
2006-03,778.0258769361842
2006-04,792.7596043202586
2006-05,757.5178923760019
2006-06,767.6137228217129
2006-07,733.5963516439579
2006-08,766.5340573176602
2006-09,796.029992252496
2006-10,863.6841090016078
2006-11,759.228889162002
2006-12,791.6705243217863
2007-01,799.0971618521681
2007-02,829.851099402284
2007-03,915.45033230141
2007-04,929.9386990967688
2007-05,1081.4349313899918
2007-06,1097.0142714863346
2007-07,1135.8144388594935
2007-08,1147.886375485318
2007-09,1117.504901881439
2007-10,1073.0138275776721
2007-11,986.4449008833444
2007-12,1029.3942919695207
2008-01,1118.1773753899124
2008-02,1142.9753306359032
2008-03,1037.6528872103327
2008-04,1049.9337123763955
2008-05,1029.3760169255488
2008-06,1030.3763870540809
2008-07,1023.4396629906413
2008-08,1037.1588166582756
2008-09,957.5039692033456
2008-10,858.7383361263085
2008-11,784.57421876082
2008-12,581.9737064070143
2009-01,525.4140031000877
2009-02,460.93656259367276
2009-03,507.087402959551
2009-04,553.2277020221339
2009-05,580.4570164772388
2009-06,636.5500056216099
2009-07,629.4567244724906
2009-08,675.803628561557
2009-09,638.4527241351667
2009-10,578.6296533673219
2009-11,513.2753678480286
2009-12,524.8685586005827
2010-01,511.36276299726774
2010-02,630.3085374899443
2010-03,658.0278870701484
2010-04,662.1184669906304
2010-05,651.8624579406852
2010-06,645.1474041384288
2010-07,663.7035488720452
2010-08,721.0711420522842
2010-09,744.6276557471696
2010-10,758.3819658786454
2010-11,785.2849179607626
2010-12,808.1473627538309
2011-01,785.2498489285987
2011-02,737.4390495092351
2011-03,691.2866964335418
2011-04,719.573393456588
2011-05,688.885765360931
2011-06,669.7589330813188
2011-07,644.4846073346498
2011-08,621.8984004814133
2011-09,665.414708756267
2011-10,662.6528814591054
2011-11,674.8820927229539
2011-12,686.465490107595
2012-01,673.0199378881923
2012-02,659.0123930804831
2012-03,680.0833325846668
2012-04,668.1859040518948
2012-05,687.748087770875
2012-06,679.543257807274
2012-07,671.8881155452963
2012-08,659.3628148643511
2012-09,689.1381681123365
2012-10,665.3794627614742
2012-11,706.8085729573704
2012-12,675.813400935747
2013-01,682.237768885198
2013-02,695.9803868248565
2013-03,694.0031305770088
2013-04,718.2499598931654
2013-05,743.8602880533047
2013-06,693.9857083661445
2013-07,698.6403758160435
2013-08,693.7515797470179
2013-09,710.9764384372097
2013-10,714.67963990496
2013-11,695.3225365471585
2013-12,679.1365688380193
2014-01,700.286612201663
2014-02,704.7124465972651
2014-03,755.095698421693
2014-04,765.050943641664
2014-05,784.9112526893072
2014-06,736.4125860486873
2014-07,771.5029782668298
2014-08,792.7471636308343
2014-09,824.6714608797718
2014-10,799.4157441185803
2014-11,767.2062893815596
