Date,INDIA
2000-12,100.0
2001-01,109.83428792733515
2001-02,107.02886705888695
2001-03,91.70588745451754
2001-04,89.37356359645281
2001-05,97.17650517230042
2001-06,92.20182066483521
2001-07,86.20203899699484
2001-08,81.7960384133771
2001-09,70.21191542876848
2001-10,75.73472277679504
2001-11,83.98126504091744
2001-12,84.56496326602723
2002-01,88.99758318522741
2002-02,94.11937632424532
2002-03,92.71168427439923
2002-04,85.83419750525496
2002-05,77.56903796825867
2002-06,75.57819311755432
2002-07,70.65004637030222
2002-08,74.98243148018209
2002-09,70.781193301586
2002-10,70.50712692191729
2002-11,77.49167068550462
2002-12,77.4193308381944
2003-01,72.55752949584829
2003-02,73.29744614733062
2003-03,66.99974481400622
2003-04,62.64674065281517
2003-05,64.28785948148246
2003-06,75.24599922794752
2003-07,82.02393268912658
2003-08,94.94717383713093
2003-09,94.67161963853405
2003-10,104.77704547163952
2003-11,104.09865451881616
2003-12,114.8734858361913
2004-01,113.81448794382476
2004-02,112.37740399334712
2004-03,116.29074209832113
2004-04,117.25784847696578
2004-05,96.97696322044436
2004-06,97.70459593060015
2004-07,105.78678410319156
2004-08,104.76650546902913
2004-09,111.22535105301166
2004-10,112.64542718984343
2004-11,121.00243300293083
2004-12,126.96623738495089
2005-01,130.0620060515199
2005-02,131.2526028249278
2005-03,129.6350799371042
2005-04,123.5646621734794
2005-05,140.61512935546114
2005-06,155.8196828303044
2005-07,164.05828200479482
2005-08,162.60311672497104
2005-09,182.10003088722084
2005-10,164.6137134780197
2005-11,183.73848995092706
2005-12,201.27849070768207
2006-01,210.32004122122908
2006-02,219.5736951939664
2006-03,237.8768942201345
2006-04,236.5552413751392
2006-05,199.1162013810635
2006-06,204.14056327737228
2006-07,204.7359908872223
2006-08,223.34218000438142
2006-09,243.438570169232
2006-10,257.6538893448836
2006-11,262.27691747262406
2006-12,271.87701273592916
2007-01,282.9316069920369
2007-02,254.29709629326507
2007-03,260.28506380694887
2007-04,284.6337016028063
2007-05,308.72451418859674
2007-06,310.0197105435753
2007-07,324.9366690729481
2007-08,316.02671792063774
2007-09,353.88867134081295
2007-10,407.0094749115291
2007-11,393.14628267456226
2007-12,424.4867518421296
2008-01,359.05768512043437
2008-02,341.8084127904276
2008-03,285.95916664529346
2008-04,323.2781230097211
2008-05,291.07073328117974
2008-06,230.92679039895063
2008-07,248.85430610392072
2008-08,260.64741014982775
2008-09,222.9419249229179
2008-10,176.63620054902495
2008-11,157.68459039193428
2008-12,157.9024298296508
2009-01,167.8321352662965
2009-02,151.79011715278108
