Date,CANADA
1998-12,100.00000000000001
1999-01,111.96532220665584
1999-02,109.22601064598662
1999-03,115.63468636294107
1999-04,129.9990974719888
1999-05,128.24893401213683
1999-06,135.0907298981738
1999-07,131.1045026467443
1999-08,130.68795095566003
1999-09,133.36044337314306
1999-10,144.20879818357062
1999-11,156.59359451547775
1999-12,180.1034929558137
2000-01,185.08528346595193
2000-02,199.30363544469944
2000-03,218.43335705044035
2000-04,220.94991075719147
2000-05,213.01750745717683
2000-06,231.97884030086942
2000-07,247.2477333803432
2000-08,280.32509222940706
2000-09,253.8867952874497
2000-10,241.21340978040757
2000-11,213.80276085501265
2000-12,202.54722046156238
2001-01,214.472144109895
2001-02,182.3024253647747
2001-03,172.26429639791922
2001-04,184.00630588430434
2001-05,195.9999282642813
2001-06,188.71671160714672
2001-07,181.74627618317024
2001-08,165.52022266646156
2001-09,149.67701788838127
2001-10,151.5095582646845
2001-11,166.3930183170837
2001-12,169.93125802296984
2002-01,174.44295785951567
2002-02,171.77563511211463
2002-03,176.3894114982105
2002-04,169.42513481995832
2002-05,166.9304999291052
2002-06,148.93189428720143
2002-07,133.13813227976075
2002-08,134.73161355543192
2002-09,122.91364255838772
2002-10,126.35599146359188
2002-11,133.1297072297995
2002-12,125.17318360357542
2003-01,125.77343685466401
2003-02,129.63119052695362
2003-03,126.3430386383812
2003-04,131.37477251884698
2003-05,135.2986457297244
2003-06,142.21242922961207
2003-07,145.55079962692236
2003-08,156.97603112550777
2003-09,150.52369856596997
2003-10,160.93303169831864
2003-11,160.69409168386676
2003-12,160.99573121132264
2004-01,165.1757005538651
2004-02,168.72367150810337
2004-03,169.74986808998662
2004-04,159.507961170329
2004-05,160.73595077809583
2004-06,168.16431575025572
2004-07,170.07195571549846
2004-08,168.51460946968146
2004-09,177.36412819136427
2004-10,184.06675830067385
2004-11,183.3439600156719
2004-12,182.57363895976442
2005-01,182.79743840032972
2005-02,191.02249139110313
2005-03,197.79524123880344
2005-04,188.30761353033444
2005-05,201.17064292142757
2005-06,217.60722963639432
2005-07,228.77032673657743
2005-08,239.26664576983865
2005-09,258.69006496348203
2005-10,241.5993991446477
2005-11,258.6541799400808
2005-12,269.93962708966114
2006-01,285.21921224326286
2006-02,285.1693946247933
2006-03,285.2048003644046
2006-04,287.3307115709016
2006-05,274.2487827984717
2006-06,271.0502245773399
2006-07,272.33854427246797
2006-08,282.380282272773
2006-09,276.7187582899455
2006-10,287.7679568984262
2006-11,284.9752167470411
2006-12,284.4570724889046
2007-01,287.80704337648507
2007-02,285.11664683084956
2007-03,290.67309054953085
2007-04,300.66670396319427
2007-05,330.96007756526905
2007-06,329.18400738700996
2007-07,323.952556794101
2007-08,325.30441681543516
2007-09,342.3188970598316
2007-10,367.9905713949079
2007-11,322.359103177184
2007-12,332.410880005513
2008-01,307.272120779079
2008-02,318.1514707230968
2008-03,287.9603430949537
2008-04,313.7460953429171
2008-05,338.1284643646492
2008-06,321.4153488119905
2008-07,301.88564733888813
2008-08,313.5956551526702
2008-09,281.9205223147249
2008-10,227.98400778273438
2008-11,214.82192247659768
2008-12,190.4968372103809
2009-01,199.27565244919083
2009-02,183.7635753553305
2009-03,192.20660631015983
2009-04,219.30892084572855
2009-05,248.83498534374115
2009-06,237.4070465906287
2009-07,262.9825861560553
2009-08,256.00561395822274
2009-09,269.4741108316866
2009-10,253.15780631295877
2009-11,267.181916924874
2009-12,288.2575260211484
2010-01,275.4838137953767
2010-02,296.7133282786006
2010-03,323.97495108620166
2010-04,334.3726623169704
2010-05,337.39194281225554
2010-06,320.3533759145118
2010-07,322.6874170546217
2010-08,324.3245387836247
2010-09,325.3631730101313
2010-10,329.5206310644381
2010-11,355.434798289523
2010-12,371.33429345558966
2011-01,364.82144809993207
2011-02,388.4545287093208
2011-03,377.92601845346843
2011-04,365.7197106852749
2011-05,365.88927048846455
2011-06,352.41490212930984
2011-07,347.919172213893
2011-08,334.8716948383909
2011-09,308.5790632738294
2011-10,327.7747222814756
2011-11,330.41842482423266
2011-12,334.9578374173409
2012-01,351.8476086426682
2012-02,356.53007399454975
2012-03,347.35560500678173
