Date,CHINA A 50 CONNECT
2021-08,3328.0825409145714
2021-09,3531.113452778536
2021-10,3699.0014907227855
2021-11,3716.763372760421
2021-12,3745.3354387663767
2022-01,3517.71228218597
2022-02,3557.831503566612
2022-03,3290.090902748927
2022-04,3202.49178500497
2022-05,3192.174188906727
2022-06,3628.653381852924
2022-07,3421.845603628285
2022-08,3334.7694894377637
2022-09,3104.2152953706914
2022-10,2702.9381597734564
2022-11,2952.06236849601
2022-12,2973.2096763672803
2023-01,3238.628272916298
2023-02,3078.708566268154
2023-03,2979.530448134256
2023-04,2857.3256114437017
2023-05,2674.584742382593
2023-06,2625.0810668205954
2023-07,2817.761716568476
