Date,CHINA
2000-12,100.00000000000001
2001-01,115.5957981522888
2001-02,106.23248615420599
2001-03,92.5763809428725
2001-04,101.67989104199131
2001-05,109.25527949364084
2001-06,112.99851523129419
2001-07,94.52044222552149
2001-08,71.34057224903545
2001-09,68.73427776303718
2001-10,71.26977189446124
2001-11,78.68458985674873
2001-12,79.38518010815945
2002-01,74.40308093466325
2002-02,74.64636918273278
2002-03,78.19033926923235
2002-04,79.00651427089736
2002-05,77.37059544165245
2002-06,70.73308490428087
2002-07,68.13840000540286
2002-08,66.79300555403246
2002-09,61.005232975667894
2002-10,61.22711131073768
2002-11,63.475148998721274
2002-12,57.896342814265495
2003-01,59.30347816875788
2003-02,57.5938738847086
2003-03,54.69746349365052
2003-04,53.55158016600386
2003-05,57.30428271245748
2003-06,62.45395518741069
2003-07,70.0349499170106
2003-08,76.57579556715197
2003-09,72.75207062709171
2003-10,83.95617959932562
2003-11,82.23886846004402
2003-12,90.34835813374586
2004-01,91.14271245323222
2004-02,96.79878170906473
2004-03,89.62445308087956
2004-04,79.87394497176525
2004-05,83.79460613552709
2004-06,83.58965985836767
2004-07,84.7830004850657
2004-08,84.33669317071254
2004-09,88.64237687819022
2004-10,84.43962854911683
2004-11,88.95111716707481
2004-12,85.42460529193647
2005-01,87.13472359299783
2005-02,91.91163781403714
2005-03,89.03319441991218
2005-04,90.00194462451992
2005-05,95.01313756971379
2005-06,100.94761187633122
2005-07,107.91482880692368
2005-08,107.16760402881305
2005-09,115.74513894890411
2005-10,105.09687870108613
2005-11,114.28955093545164
2005-12,117.89745199026024
2006-01,130.6385764483664
2006-02,137.2460300888553
2006-03,139.53601901254586
2006-04,141.07651658639588
2006-05,131.21832397689096
2006-06,134.54332765030736
2006-07,138.3829894264578
2006-08,140.97053741105177
2006-09,147.7523471963008
2006-10,156.759006919927
2006-11,167.4380393528588
2006-12,192.8560984989193
2007-01,187.4109177336029
2007-02,181.12181737483365
2007-03,186.6606482935846
2007-04,188.91546448064105
2007-05,206.03282866095083
2007-06,228.96355061961995
2007-07,249.28236821531405
2007-08,268.34145738457744
2007-09,308.5161890474317
2007-10,353.5956056685618
2007-11,301.41143121241765
2007-12,289.15071321502734
2008-01,223.966354488514
2008-02,241.98142993124085
2008-03,203.60239742002312
2008-04,239.56447660542239
2008-05,228.10740773697398
2008-06,197.68124505663718
2008-07,204.21974884390747
2008-08,198.71725881769632
2008-09,165.81455638420368
2008-10,141.90356838946047
2008-11,148.2614014300018
2008-12,149.5505195112298
2009-01,148.74845989844871
2009-02,145.32557650546192
2009-03,158.65786275193074
2009-04,176.58830987678795
2009-05,193.8709458516119
2009-06,203.6233429222381
2009-07,223.27668335455334
2009-08,205.07703378347142
2009-09,210.66942643551465
2009-10,222.15341069913424
2009-11,223.6851306403344
2009-12,235.14735606664198
2010-01,221.7655446399152
2010-02,230.8240188438774
2010-03,245.4112656807541
2010-04,248.84866822248955
2010-05,254.94242336298382
2010-06,258.560072183631
2010-07,253.71628132671094
2010-08,252.91795590500382
2010-09,256.7739335108033
2010-10,262.0282821821012
2010-11,273.11754389850705
2010-12,263.12101624043
2011-01,256.12961493269603
2011-02,249.65248346244144
2011-03,255.91489675834367
2011-04,248.6848898385723
2011-05,257.4662724331715
2011-06,245.73438415376577
2011-07,245.88998544724436
2011-08,222.53950098036086
2011-09,198.56795373435403
2011-10,219.96617368253774
2011-11,208.76827024534268
2011-12,221.8597640421844
2012-01,243.83008570514303
2012-02,254.15794839178938
2012-03,237.71825921359238
