Date,CHINA WITH PARTIAL A SHARES
2008-11,1099.8503740041185
2008-12,1106.1902526151268
2009-01,1104.4657829785483
2009-02,1081.190400427522
2009-03,1179.66876406243
2009-04,1310.573092477537
2009-05,1434.3120376869451
2009-06,1510.8366455660937
2009-07,1659.5231105342182
2009-08,1516.2342984061336
2009-09,1559.3274224863922
2009-10,1645.1881983152641
2009-11,1659.0905041571814
2009-12,1745.2731223976016
2010-01,1645.3368375195084
2010-02,1715.5283640728449
2010-03,1823.3879181916425
2010-04,1846.9458766029663
2010-05,1888.8628880825302
2010-06,1914.1371316101047
2010-07,1882.9446711758724
2010-08,1877.4512635020194
2010-09,1903.0801667592334
2010-10,1947.4050183606357
2010-11,2031.4702967434132
2010-12,1958.0064510257725
2011-01,1905.1879587397505
2011-02,1858.6272099465061
2011-03,1901.9232271625795
2011-04,1849.114663401087
2011-05,1914.7478088771752
2011-06,1830.7688962840687
2011-07,1832.343625877036
2011-08,1660.86017293597
2011-09,1486.125295807468
2011-10,1641.3309477737705
2011-11,1559.756993883353
2011-12,1655.7082424463006
2012-01,1815.3710073540585
2012-02,1891.3556693147482
2012-03,1769.3641219878255
2012-04,1844.7816262088013
2012-05,1770.351320198526
2012-06,1757.554770575197
2012-07,1833.9208570461199
2012-08,1734.0818845055815
2012-09,1809.425365138264
2012-10,1895.9741592385978
2012-11,1921.4090388476557
2012-12,1996.0170054450602
2013-01,2020.2251755126315
2013-02,2018.485409211592
2013-03,1960.6821745589336
2013-04,1930.9210338675773
2013-05,1955.1201031132564
2013-06,1806.6487790250012
2013-07,1837.2268735790549
2013-08,1897.213334222646
2013-09,1943.6664043802894
2013-10,1983.419658526021
2013-11,2075.495304327178
2013-12,1983.5410035076868
2014-01,1895.160573752357
2014-02,1894.344039341355
2014-03,1863.3683070287316
2014-04,1809.1872212823223
2014-05,1921.6031201006385
2014-06,1976.85996058398
2014-07,2190.2158831025336
2014-08,2230.83083514944
2014-09,2186.4496389584974
2014-10,2297.80839066869
2014-11,2351.662114682652
2014-12,2465.911920598913
2015-01,2695.283809474199
2015-02,2797.5481415733025
2015-03,3015.82788184126
2015-04,3393.164198225689
2015-05,3359.5775564882388
2015-06,3107.7252588588863
2015-07,2787.904624614376
2015-08,2420.914184084489
2015-09,2382.6679813982933
2015-10,2630.89711266147
2015-11,2663.3539571188967
2015-12,2554.3120092595327
2016-01,2219.073993527421
2016-02,2161.872438583642
2016-03,2307.7325994237585
2016-04,2291.9283318887146
2016-05,2343.9275382083383
2016-06,2372.519797383346
2016-07,2437.9675928886027
2016-08,2628.770175819625
2016-09,2665.296141986375
2016-10,2681.9994750543565
2018-03,3528.5147401578874
2018-04,3588.4107340118458
2018-05,3783.7969545772953
