Date,SAUDI ARABIA
2014-08,947.8730338911913
2014-09,960.1873147766627
2014-10,891.0734575746212
2014-11,798.6076352738459
2014-12,750.634223965727
2015-01,845.385224279197
2015-02,902.9547170224414
2015-03,875.4540102748845
2015-04,997.7412987676018
2015-05,1000.0
2015-06,910.7146604773225
2015-07,945.3332196088361
2015-08,798.807735874198
2015-09,787.1123989287256
2015-10,788.3530878216384
2015-11,848.4626996809701
2015-12,781.327516365002
2016-01,678.8845791000854
2016-02,710.3607154917056
2016-03,685.1541535525669
2016-04,752.4303626336476
2016-05,746.4759810365003
2016-06,756.208385625189
2016-07,739.1003793712047
2016-08,733.6166032897116
2016-09,688.9629426013825
2016-10,769.7155230980858
2016-11,893.5180943592308
2016-12,913.9924536292103
2017-01,888.8745567403942
2017-02,891.6109059074629
2017-03,890.3066642100089
2017-04,874.8616378999742
2017-05,855.7195888292357
2017-06,937.2057883017713
2017-07,862.1960721512861
2017-08,880.8937138982112
2017-09,886.2323262865985
2017-10,860.970345144449
2017-11,857.7279700319369
2017-12,868.3188763903253
2018-01,896.1190288080286
2018-02,890.8915631853374
2018-03,960.8930853347109
2018-04,1024.4860349670469
2018-05,1088.67907636033
2018-06,1105.1955781188576
2018-07,1110.3939602641585
2018-08,1073.572418618176
2018-09,1073.3827026732406
2018-10,1107.3070247897813
2018-11,1073.165902961619
2018-12,1086.584903269473
2019-01,1195.066884944223
2019-02,1199.9379602685885
2019-03,1267.8786403626948
2019-04,1364.7798915345127
2019-05,1246.7989487962066
2019-06,1257.9067039409206
2019-07,1272.054133447866
2019-08,1177.8427339598034
2019-09,1189.2161829820693
2019-10,1110.3059572427683
2019-11,1139.689200274218
2019-12,1186.5930047755571
2020-01,1159.6330468140197
2020-02,1072.5009446941815
2020-03,922.3980363471227
2020-04,1024.922903814769
2020-05,1015.4323962969565
2020-06,1025.523153340623
2020-07,990.0562806486323
2020-08,1028.451896568725
2020-09,1073.9014653467389
2020-10,1053.8862978881675
2020-11,1126.196387955712
2020-12,1096.3101387582783
2021-01,1121.4452348427808
2021-02,1180.3209016210353
2021-03,1329.2980057387765
2021-04,1377.308679351272
2021-05,1355.152447901703
2021-06,1449.6882458528858
2021-07,1458.2094463074263
2021-08,1534.1443676174554
2021-09,1604.6007462440152
2021-10,1655.3312802611297
2021-11,1560.7086766287898
2021-12,1624.2927239727228
2022-01,1800.6158706728802
2022-02,1850.5737133588473
2022-03,1947.7213287043244
2022-04,2175.3336980940285
2022-05,1988.0128894162515
2022-06,1813.927689723092
2022-07,1969.5471732878468
2022-08,2036.475863405759
2022-09,1933.4764363165777
2022-10,1976.8798075281215
2022-11,1761.384477493336
2022-12,1642.6904971629422
2023-01,1649.430440268503
2023-02,1564.9325557049144
2023-03,1614.9368863435122
2023-04,1684.871909291702
2023-05,1691.9548271285548
2023-06,1709.5179827289367
2023-07,1728.312509467053
