Date,THAILAND
2000-12,100.0
2001-01,132.12932108545417
2001-02,128.65534956855146
2001-03,111.12307252455996
2001-04,113.73544882857524
2001-05,120.01975977575282
2001-06,122.89090702500448
2001-07,106.67480470370384
2001-08,123.0653347961639
2001-09,100.52742239234762
2001-10,97.53949927994981
2001-11,112.42951358650569
2001-12,110.72889219458257
2002-01,136.2104743507637
2002-02,146.98896906994182
2002-03,145.33949312695194
2002-04,140.73241081395855
2002-05,153.16977907985512
2002-06,136.99668645806204
2002-07,130.37387104013726
2002-08,125.6380053553466
2002-09,113.37540475841885
2002-10,123.16504474882412
2002-11,127.15631115378083
2002-12,119.56193909432052
2003-01,125.28712576194349
2003-02,121.33207251126849
2003-03,123.36823834901236
2003-04,124.87444014948979
2003-05,133.135575350268
2003-06,150.76347356611404
2003-07,157.8313774127144
2003-08,179.59594479947566
2003-09,184.55927418751548
2003-10,196.06953810430576
2003-11,194.5361580593334
2003-12,242.2198200142096
2004-01,225.08360497527337
2004-02,228.63819974738539
2004-03,217.31656630905584
2004-04,220.90698961278727
2004-05,214.59540280573677
2004-06,216.81426749188836
2004-07,213.87304009145384
2004-08,210.11020827913148
2004-09,213.20880277303837
2004-10,206.58074882736614
2004-11,217.83995957086125
2004-12,221.99190585330584
2005-01,241.4596260816461
2005-02,256.19356447007834
2005-03,235.80746891633495
2005-04,230.0298152731877
2005-05,237.53352199719075
2005-06,241.55790686119587
2005-07,244.64098515634166
2005-08,254.16266434310018
2005-09,269.7225555575631
2005-10,252.7838554340959
2005-11,254.62430728822363
2005-12,278.1248080770209
2006-01,305.5630640778772
2006-02,300.84683282649667
2006-03,292.2414203359664
2006-04,305.39612078690635
2006-05,272.3814839624807
2006-06,262.49583524324487
2006-07,272.1369492630714
2006-08,276.2877336253726
2006-09,282.332021547977
2006-10,302.1427972240122
2006-11,304.90703036331706
2006-12,276.4355074479135
2007-01,280.757083016117
2007-02,294.34378621025604
2007-03,283.2367001817344
2007-04,292.44760049355494
2007-05,315.2810359581661
2007-06,329.2529987635383
2007-07,371.365502440451
2007-08,350.5781646181193
2007-09,354.4900435975276
2007-10,385.6651902509395
2007-11,354.95861269116426
2007-12,364.13168134676414
2008-01,335.55365887637186
2008-02,371.0734207091858
2008-03,346.91064169996247
2008-04,359.4101717874429
2008-05,349.4045189761848
2008-06,307.36995065776847
2008-07,268.942837221123
2008-08,289.4703913599567
2008-09,266.85538309385066
2008-10,198.00152205700653
2008-11,189.62955232533298
2008-12,197.31736110640065
2009-01,205.4490529131905
2009-02,198.2181973448055
2009-03,196.16611510047028
2009-04,233.46281893821205
2009-05,255.38151139905713
2009-06,284.9826624394333
2009-07,293.03215436243914
2009-08,296.64342270090054
2009-09,327.85430315333303
2009-10,303.89482229010633
2009-11,300.5350705353484
2009-12,337.5444841840662
2010-01,329.91286099983637
2010-02,350.6035378947395
2010-03,405.12725214814293
2010-04,401.30036831836645
2010-05,423.06251573054396
2010-06,439.3198340101676
2010-07,438.3160718262556
2010-08,491.20745646498676
2010-09,521.774470128442
2010-10,522.0224339034036
2010-11,559.4529246370353
2010-12,562.1156818315457
2011-01,501.5155945587767
2011-02,526.5353588126574
2011-03,553.1765788965589
2011-04,564.4104150364681
2011-05,558.3596665232542
2011-06,530.617049482152
2011-07,597.2991385023632
2011-08,551.8783432076121
2011-09,490.526830604272
2011-10,530.5403610509493
2011-11,532.2884841900014
2011-12,565.1283243656487
2012-01,606.7530639631703
2012-02,666.3597524687574
2012-03,666.9793795377972
2012-04,694.5629805367731
2012-05,657.6202864906179
2012-06,661.0867231974643
2012-07,698.7049905190459
2012-08,686.006004150528
2012-09,724.6515943882749
2012-10,707.0679417246226
2012-11,715.2309575487462
2012-12,748.5715629613384
2013-01,769.5527200247243
