Date,SAUDI ARABIA DOMESTIC
2005-05,696.2953217087507
2005-06,793.5668183583571
2005-07,757.3483220146256
2005-08,852.2501672964509
2005-09,884.3300070852113
2005-10,926.9182459920432
2005-11,1000.0
2005-12,1033.6896138896557
2006-01,1121.0281852397814
2006-02,1185.2284775137286
2006-03,1027.4832409995045
2006-04,790.4677558419286
2006-05,638.9505178717768
2006-06,754.4419041475641
2006-07,626.0143078226881
2006-08,638.6081461064691
2006-09,647.148475983205
2006-10,556.7213695997493
2006-11,468.2962967333861
2006-12,454.9340239073247
2007-01,406.035619576718
2007-02,466.57806520322606
2007-03,445.3200763177147
2007-04,408.31717545918315
2007-05,417.94203780298636
2007-06,394.2155382611179
2007-07,416.6487830758502
2007-08,453.4256763549262
2007-09,424.02904313924836
2007-10,451.6952884954405
2007-11,501.63656006770697
2007-12,601.1068917016053
2008-01,502.05699309543246
2008-02,525.9987922082083
2008-03,448.8119776062264
2008-04,513.8125529751468
2008-05,482.6002304787971
2008-06,472.016208427951
2008-07,445.70353945083343
2008-08,483.81090363370646
2008-09,424.0577040471266
2008-10,350.4323096845297
2008-11,272.0385123074609
2008-12,268.7436027544493
2009-01,288.1459520518077
2009-02,272.1537352890138
2009-03,272.78573412547314
2009-04,330.02287644398723
2009-05,329.3455800530569
2009-06,323.88940179620977
2009-07,336.74538001250085
2009-08,330.7472245470646
2009-09,357.9936839037103
2009-10,363.5631893673023
2009-11,353.59973771074317
2009-12,361.50897855678295
2010-01,382.5221655526805
2010-02,401.6295854652787
2010-03,436.9758193281765
2010-04,455.5551300414057
2010-05,433.6798604625496
2010-06,431.617598124842
2010-07,420.66229303311445
2010-08,420.88443925756127
2010-09,408.8252290057427
2010-10,405.36166264207884
2010-11,439.36456979569004
2010-12,446.66611235213503
2011-01,416.7666626064223
2011-02,390.06858448480324
2011-03,420.6852411646868
2011-04,419.0956119776827
2011-05,429.13383831950864
2011-06,418.5963746561892
2011-07,418.1884784592036
2011-08,388.276668991554
2011-09,423.4377200534769
2011-10,411.49223672367907
2011-11,416.2204773259029
2011-12,450.5975120018317
2012-01,461.23384557354467
2012-02,492.652254742888
2012-03,539.4451479357202
2012-04,536.3767329894742
2012-05,532.5605713957361
2012-06,491.24467478426277
2012-07,527.2637646691186
2012-08,534.0003344837897
2012-09,503.424620046533
2012-10,499.1801233008469
2012-11,478.067247978665
2012-12,491.7510876287227
2013-01,496.5070374474051
2013-02,511.43988466892404
2013-03,541.7331120202739
2013-04,526.3621888356018
2013-05,555.2501988799378
2013-06,560.2514447490612
