Date,ARGENTINA
2000-12,99.99999999999999
2001-01,131.29781128767016
2001-02,107.57770534314511
2001-03,114.24144787948401
2001-04,111.3019524324395
2001-05,118.00820312993685
2001-06,110.3792329915745
2001-07,84.70016052108667
2001-08,82.25603717614689
2001-09,62.63145863257444
2001-10,56.85227739810817
2001-11,55.097947446865945
2001-12,84.72232041155748
2002-01,67.93117410377452
2002-02,58.40091868142272
2002-03,46.088397533842254
2002-04,39.00729866013098
2002-05,26.498322591792515
2002-06,26.93765484362376
2002-07,28.969028032691565
2002-08,30.049960476252128
2002-09,28.94113214084822
2002-10,31.320871181495995
2002-11,32.56179978032073
2002-12,35.43737354540592
2003-01,37.560295426113065
2003-02,41.61197712125477
2003-03,40.57838370609779
2003-04,44.53709227442968
2003-05,41.95046892434386
2003-06,48.609980588843015
2003-07,47.16583655136739
2003-08,47.363979125105544
2003-09,50.19082342225999
2003-10,52.95988415150791
2003-11,51.896884499019755
2003-12,59.06927227238507
2004-01,63.78520413154411
2004-02,65.6508928511421
2004-03,67.1914640395495
2004-04,60.32525842141133
2004-05,54.620432795890885
2004-06,56.126825068733105
2004-07,58.94343460566574
2004-08,59.59289347630526
2004-09,69.63363021139301
2004-10,68.70930967883358
2004-11,68.09534105749836
2004-12,68.92919917525931
2005-01,71.81548127594644
2005-02,87.84514356408464
2005-03,81.59825941661508
2005-04,77.21570184059455
2005-05,91.60168767888345
2005-06,96.7692203298897
2005-07,111.37046605740323
2005-08,123.41194025021444
2005-09,145.13874785475545
2005-10,125.4133681982374
2005-11,127.85917769204987
2005-12,128.89494027530247
2006-01,155.72444821173838
2006-02,151.2463326916738
2006-03,160.35366291538622
2006-04,184.56626561177072
2006-05,148.36756048335917
2006-06,159.55392098185555
2006-07,158.5275823745034
2006-08,151.16026871231293
2006-09,150.24619155431975
2006-10,163.058236987118
2006-11,181.97685352133539
2006-12,192.90552071029032
2007-01,192.87859937314536
2007-02,186.29734370390838
2007-03,186.78790707760487
2007-04,187.3291163428139
2007-05,204.39078315911544
2007-06,196.6064502266015
2007-07,192.19744813136037
2007-08,186.96157318259299
2007-09,192.52087584094534
2007-10,196.37055909970073
2007-11,174.83132005925307
2007-12,166.98657159645037
2008-01,152.05472045289673
2008-02,162.48816385025356
2008-03,164.7325083044763
2008-04,171.52163635340722
2008-05,199.15218351327238
2008-06,224.2535135013117
2008-07,182.73228519263344
2008-08,178.57457184939824
2008-09,140.96759462059802
2008-10,91.07135993310872
2008-11,89.42088628767952
2008-12,80.00668786762232
2009-01,83.31102285488906
2009-02,73.06437892724828
2009-03,71.14167002935721
