Date,PAKISTAN
2000-12,100.0
2001-01,97.13088516707992
2001-02,93.61330249518099
2001-03,89.66255100216163
2001-04,92.6045900893689
2001-05,93.45905630972989
2001-06,89.68888275115245
2001-07,76.0878883324467
2001-08,75.40251787951844
2001-09,63.99689328044419
2001-10,88.96431446735234
2001-11,85.47703251717074
2001-12,78.37008057629306
2002-01,106.76415549230514
2002-02,120.6499363247185
2002-03,124.49751682980714
2002-04,119.50347208488895
2002-05,97.11821992325272
2002-06,98.89051933898422
2002-07,103.68231473730253
2002-08,121.67282461755809
2002-09,120.34635876078926
2002-10,137.5116037187216
2002-11,139.09276285875845
2002-12,166.59486987578615
2003-01,149.28240308302586
2003-02,141.42560193757708
2003-03,159.33665593390424
2003-04,158.79618963314073
2003-05,157.35152980453023
2003-06,173.1353385129232
2003-07,200.30305834753955
2003-08,228.8031116323708
2003-09,194.2902615858098
2003-10,186.18326269602193
2003-11,191.5347005851192
2003-12,194.91517950122832
2004-01,208.00652064929366
2004-02,207.64412707179392
2004-03,216.53759130198773
2004-04,226.86917741889883
2004-05,217.81731550325745
2004-06,210.07203602743328
2004-07,212.03656551203838
2004-08,207.4094143282865
2004-09,199.0851729250478
2004-10,189.48442319513356
2004-11,196.31793838382086
2004-12,210.79357649017993
2005-01,242.5915504791113
2005-02,290.2574297976435
2005-03,281.2870152652565
2005-04,270.4462951699194
2005-05,277.4563919406386
2005-06,308.8153448764056
2005-07,291.935742273298
2005-08,314.45273591167415
2005-09,337.0217421911413
2005-10,347.1852819827293
2005-11,379.38906733708615
2005-12,397.9136120988889
2006-01,419.7537205591457
2006-02,493.1696479608491
2006-03,474.7291450053411
2006-04,440.3811298586795
2006-05,362.44745441769817
2006-06,374.9739735872566
2006-07,393.2424865379651
2006-08,376.06375315462503
2006-09,403.2243485433041
2006-10,426.6401817535403
2006-11,390.1738357269992
2006-12,366.7644368511309
2007-01,431.20022492097934
2007-02,418.2768908545031
2007-03,419.40440612588236
2007-04,451.03660592473324
2007-05,477.9473493496619
2007-06,508.7040384682792
2007-07,487.50321192398934
2007-08,432.4147646345773
2007-09,454.84066221806313
2007-10,480.70286748002906
2007-11,455.092445473782
2007-12,455.80414271624306
2008-01,445.29911536337573
2008-02,484.1570513017862
2008-03,467.7489436567908
2008-04,456.39357091314974
2008-05,349.6136416965805
2008-06,345.29393658905235
2008-07,284.67684714190455
2008-08,243.74414211325555
2008-09,247.03790089165616
2008-10,262.9525813764843
2008-11,271.1886144623192
2008-12,123.76227220407426
2009-01,128.3390544944125
2009-02,150.92294690255608
2009-03,178.16682661834105
2009-04,191.84645907385254
2009-05,179.91818645195266
2009-06,176.28119014636675
2009-07,184.50050039559503
2009-08,216.07365185649698
2009-09,227.57937047604992
2009-10,219.35254836116312
2009-11,215.01674983680638
2009-12,226.4869730936345
2010-01,237.08684315286882
2010-02,243.1715463917243
2010-03,263.7729048668587
2010-04,272.23798028204516
2010-05,257.83106753896004
2010-06,271.047394104259
2010-07,278.01873618951424
2010-08,266.06144946596174
2010-09,246.55283456893886
2010-10,255.80084617488177
2010-11,287.5645858642963
2010-12,305.8794345192386
2011-01,307.0852146454949
2011-02,279.4904761326616
2011-03,294.66176059246754
2011-04,290.6941748744322
2011-05,297.0232083712327
2011-06,292.7503713164469
2011-07,291.4704405090771
2011-08,260.9546652866775
2011-09,297.95657151424706
2011-10,295.69177733795993
2011-11,292.10019333086245
2011-12,280.77104757601796
2012-01,308.8543708226272
2012-02,322.4986638524996
2012-03,334.9096606795268
2012-04,336.8931048438494
2012-05,338.84013770255353
2012-06,329.02594494248416
2012-07,359.749499413968
2012-08,367.8302697621248
2012-09,358.5457390044125
2012-10,353.3730649711862
2012-11,361.2285606115202
2012-12,366.21124235247777
2013-01,361.4765195448301
2013-02,400.22231472512493
2013-03,391.04686705410086
2013-04,398.4008906541844
2013-05,474.4217996066976
2013-06,441.8170078820113
2013-07,471.70448408643347
2013-08,451.3327994114218
2013-09,425.91668304294285
2013-10,448.08337934551315
2013-11,454.3911362572844
2013-12,471.74769930074604
2014-01,488.0599334443009
2014-02,463.8855476350464
2014-03,504.6716598883565
2014-04,533.4563229711116
2014-05,551.3779984636956
2014-06,551.2974259034971
2014-07,577.3106372719144
2014-08,533.1651833815783
2014-09,560.2251601581694
2014-10,559.2102249002006
2014-11,569.7541465048347
2014-12,607.2561246529314
2015-01,689.0046541027215
2015-02,672.1272709236883
2015-03,618.541585833385
2015-04,657.4964900583948
2015-05,653.0017096728493
2015-06,660.5804964880589
2015-07,689.9864539917091
2015-08,623.6732718777699
2015-09,571.6997729844842
2015-10,611.9957066547579
2015-11,587.610271376
2015-12,583.9198137802729
2016-01,541.8078424170906
2016-02,552.1471428168261
2016-03,552.6153477009408
2016-04,580.1603623403279
2016-05,613.5007622555671
2016-06,648.3469760374481
2016-07,680.2347271085275
2016-08,677.9777830472951
2016-09,682.1078403607376
2016-10,687.7941545982258
2016-11,735.9487750265941
2016-12,844.4505928100821
2017-01,824.3405722241121
2017-02,842.7793410103495
2017-03,815.1031919543702
2017-04,815.4381922977456
2017-05,807.9327242582955
2017-06,747.1966273918063
2017-07,672.8676636991503
2017-08,576.6388634543559
2017-09,602.166282604461
2017-10,564.7732714440558
2017-11,564.2114986719697
2017-12,560.4538370286233
2018-01,585.3194510417827
2018-02,597.4714027070414
2018-03,609.8309101128948
2018-04,588.0378270322233
2018-05,551.1551060590804
2018-06,509.0979530039981
2018-07,517.1526403166962
2018-08,488.8206011751963
2018-09,486.737959424901
2018-10,464.12235368721457
2018-11,439.10713881761575
2018-12,383.9307195383296
2019-01,445.13423133682494
2019-02,427.43062396625504
2019-03,423.3316416911723
2019-04,408.45160785307127
2019-05,378.29840415535926
2019-06,330.39507184465566
2019-07,339.99267790697417
2019-08,314.94307358929103
2019-09,348.89760132159125
2019-10,363.84743198316215
2019-11,409.1709319321089
2019-12,428.77904142040444
2020-01,439.8094464268985
2020-02,406.3641126763932
2020-03,264.44309141303427
2020-04,312.2347038201232
2020-05,300.2588702854693
2020-06,293.621114809024
2020-07,316.6309480173572
2020-08,321.95628954780074
2020-09,316.0363896259062
2020-10,315.753122570965
2020-11,321.56301780798145
2020-12,326.223959486573
