Date,SERBIA
2008-05,1000.0
2008-06,1045.3236165484927
2008-07,904.1428630873329
2008-08,821.0222737454237
2008-09,602.9207783518871
2008-10,316.0771091576873
2008-11,249.27733930082152
2008-12,302.108380413121
2009-01,291.949399081549
2009-02,181.23166454639303
2009-03,165.56244525737557
2009-04,198.1859143323484
2009-05,282.31187358527177
2009-06,260.1070302234964
2009-07,265.0361667231876
2009-08,320.3737759548396
2009-09,382.2789875298772
2009-10,362.871182226092
2009-11,310.51549344165056
2009-12,291.3740490604777
2010-01,302.18680531940595
2010-02,321.1836146908259
2010-03,331.7786980586192
2010-04,369.9791366022607
2010-05,312.94346866577536
2010-06,287.78408898506507
2010-07,296.21447331532727
2010-08,292.9150661354906
2010-09,283.4665953530976
2010-10,300.3815234757193
2010-11,321.8438210106609
2010-12,325.3090442074871
2011-01,367.96246776481144
2011-02,385.2996157405155
2011-03,380.73594051380434
2011-04,382.76458087945565
2011-05,463.41080915459537
2011-06,391.3101155888829
2011-07,383.4471637761058
2011-08,351.66003014999507
2011-09,293.0735595586321
2011-10,297.8434391222995
2011-11,261.03288524646916
2011-12,260.22616351849575
2012-01,261.1688685058746
2012-02,298.7094282285956
2012-03,277.9567447291787
2012-04,254.26764769831368
2012-05,216.63972912020586
2012-06,222.23853556216775
2012-07,225.17905771312084
2012-08,223.0388821443709
2012-09,229.270747396598
2012-10,241.66482116327484
2012-11,263.49805472691895
2012-12,275.1276078639366
2013-01,313.87907072329534
2013-02,322.69462084433457
2013-03,326.1158654459305
2013-04,331.9979887418327
2013-05,315.3408006025733
2013-06,275.9634206556528
2013-07,286.55885147681676
2013-08,295.85579785696825
2013-09,286.50146889332103
2013-10,291.2083444966588
2013-11,308.2642562531472
2013-12,330.63812164189653
2014-01,325.0126708629709
2014-02,325.5088545036961
2014-03,317.4289932558897
2014-04,334.8589808574197
2014-05,334.82930830608825
2014-06,337.6664917324691
2014-07,340.6719087152184
2014-08,339.35701450308056
2014-09,337.88106829513623
2014-10,335.9039213745265
2014-11,320.74389819985174
2014-12,300.1862051520163
2015-01,266.7518347615309
2015-02,273.55790226365207
2015-03,257.18376325575326
2015-04,271.79767961754385
2015-05,273.60369697805504
2015-06,264.7163967083987
2015-07,269.0202662774252
2015-08,257.1546023180458
2015-09,257.9496424405522
2015-10,255.59850009163466
2015-11,245.34919953219213
2015-12,241.48150233256268
2016-01,213.4147286520633
2016-02,205.79442625102553
2016-03,220.58437625960042
2016-04,221.7362848110605
2016-05,228.89420146365603
2016-06,228.0329183101659
2016-07,234.3034881027001
2016-08,228.1189123665996
2016-09,232.53688161861183
2016-10,255.74585683813433
2016-11,258.8706010603476
2016-12,280.85480388747436
2017-01,276.32708707096236
2017-02,286.52772240246424
2017-03,292.723619420565
2017-04,295.3718047419708
2017-05,290.69576078593974
2017-06,285.8831094645985
2017-07,292.6412664599457
2017-08,297.00591569599936
2017-09,293.2494114662921
2017-10,307.7917758699806
2017-11,307.70600356586056
2017-12,321.785767526724
2018-01,342.5044106037951
2018-02,333.02437218506327
2018-03,334.4470020695549
2018-04,336.8480835663998
2018-05,335.6265958720681
2018-06,326.1307370953476
2018-07,340.74882602978784
2018-08,338.33544812842354
2018-09,329.89601131010136
2018-10,334.68919186929656
2018-11,335.25579417648925
2018-12,346.68081010808226
2019-01,284.0913475610481
2019-02,258.8240652053738
2019-03,276.03906844710156
2019-04,274.48982360825585
2019-05,292.670043997077
2019-06,293.96378591580157
2019-07,300.03646060783575
2019-08,295.71061248858007
2019-09,289.84032021680196
2019-10,290.8311897480399
2019-11,309.7561571588357
2019-12,319.7576890464157
2020-01,316.54567696000714
2020-02,302.84422449204544
2020-03,237.05209333743232
2020-04,228.25535261008335
2020-05,242.2834925437421
2020-06,233.65420931910643
2020-07,236.56811785316802
2020-08,254.15497899803242
2020-09,253.8557676878016
2020-10,256.20340290804967
2020-11,266.9594342772808
2020-12,284.98874832144935
2021-01,280.73311473839
2021-02,289.08461075030954
2021-03,290.242445355533
2021-04,291.3659610655779
2021-05,286.20201783202083
2021-06,288.30910474317636
2021-07,284.1652773411551
2021-08,288.5346418140294
2021-09,287.43802820142923
2021-10,281.2618024026261
2021-11,290.3884900958391
2021-12,293.12651446575234
2022-01,291.149678808151
2022-02,282.5597647848796
2022-03,258.7340285769156
2022-04,264.55975496178155
2022-05,275.44945890945826
2022-06,297.45151295224025
2022-07,301.8345649107092
2022-08,311.1823391105273
2022-09,308.4193685246259
2022-10,300.0299646080236
2022-11,330.70269750110816
2022-12,334.70098611982445
2023-01,344.43359570071294
2023-02,376.4365919675176
2023-03,376.85682225884995
2023-04,394.8322963482863
2023-05,421.62311625384706
2023-06,420.008186152844
2023-07,393.98038235513457
