Date,CHINA 50
2006-12,806.9265453145548
2007-01,780.1213009897865
2007-02,748.0409710056593
2007-03,769.8192949247012
2007-04,776.665795628772
2007-05,845.0156632842649
2007-06,947.3143406034128
2007-07,1035.2343335585344
2007-08,1114.6783524921734
2007-09,1289.566460286276
2007-10,1488.4207667309765
2007-11,1278.1006547585243
2007-12,1216.7580085793475
2008-01,946.4712154128233
2008-02,1023.0896861317211
2008-03,865.4807192667114
2008-04,1025.349416146481
2008-05,974.0609936108542
2008-06,844.6297618658116
2008-07,876.426354698196
2008-08,856.4243914582834
2008-09,707.3331256794158
2008-10,604.5186946701984
2008-11,631.4158872966307
2008-12,631.7754305325145
2009-01,624.861844046416
2009-02,609.5535288210583
2009-03,660.8036828593428
2009-04,728.9415283097308
2009-05,791.279564642729
2009-06,827.8158737260219
2009-07,904.9135202741189
2009-08,833.3497282968675
2009-09,856.41061859917
2009-10,901.1516254954296
2009-11,899.6662171931763
2009-12,943.7970698481818
2010-01,886.2709321656492
2010-02,922.3963765570553
2010-03,978.7704491088837
2010-04,995.8565813879036
2010-05,1026.1039082521816
2010-06,1047.93795674213
2010-07,1022.2080695270773
2010-08,1018.4707421602915
2010-09,1031.1645288469065
2010-10,1051.923915682871
2010-11,1095.5988654248179
2010-12,1058.1818038161482
2011-01,1029.0138072921359
2011-02,1010.1858254196254
2011-03,1036.7151857609238
2011-04,1005.5585861575217
2011-05,1054.8330997309465
2011-06,1009.2881824701074
2011-07,1018.1476011037976
2011-08,926.6959878837889
2011-09,842.5080935361991
2011-10,925.5781921544717
2011-11,886.3474556859532
2011-12,942.6803320525294
2012-01,1038.6991385872213
2012-02,1069.5612722988103
2012-03,1005.590164510302
2012-04,1049.9044764024923
2012-05,1000.0
2012-06,1002.1776328343038
2012-07,1059.5287147803135
2012-08,1001.8210879887802
2012-09,1044.1036346519277
2012-10,1090.7858370621448
2012-11,1104.2697277898449
2012-12,1137.6442318126892
2013-01,1152.0532995833603
2013-02,1144.2841832531126
2013-03,1114.7733368442116
2013-04,1102.0817843658929
2013-05,1105.3264545912753
2013-06,1029.296780505106
2013-07,1051.0423499558551
2013-08,1081.85449249547
2013-09,1113.577810613663
2013-10,1132.7484296253149
2013-11,1183.4545440578959
2013-12,1125.3822614636163
2014-01,1072.282286361605
2014-02,1075.228680118117
2014-03,1060.0024098280553
2014-04,1033.2557901909147
2014-05,1104.6927059748718
2014-06,1138.3228083620454
2014-07,1260.4842106785975
2014-08,1286.28731186855
2014-09,1248.2607976922843
2014-10,1316.8751779627526
2014-11,1339.673959733212
2014-12,1400.5827756417661
2015-01,1541.87415231978
2015-02,1603.3438570518786
2015-03,1700.9888220488963
2015-04,1864.5403451511609
2015-05,1833.0318086416305
2015-06,1727.4015078773225
2015-07,1565.5916188959554
2015-08,1365.7135429037812
2015-09,1335.0709501718702
2015-10,1473.9153636639394
2015-11,1482.168987374074
2015-12,1415.973168753305
2016-01,1257.0597339021558
2016-02,1221.215294528615
2016-03,1292.935988623994
2016-04,1286.4182897902494
2016-05,1323.8158927795118
2016-06,1343.256362549915
2016-07,1383.2041687183062
2016-08,1492.0847828166293
2016-09,1517.170704914173
2016-10,1520.4777470588965
2016-11,1539.6670833307676
2016-12,1489.4780684455081
2017-01,1553.9389947366085
2017-02,1627.6198183025272
2017-03,1650.6129055907386
2017-04,1668.6042992229102
2017-05,1701.463167312491
2017-06,1716.3037658113271
2017-07,1808.2570111340128
2017-08,1874.9109246962714
2017-09,1886.2426893755362
2017-10,1993.178321678222
2017-11,1992.4840007136147
2017-12,2001.8124009090463
2018-01,2192.6076742707137
2018-02,2081.3619942903583
2018-03,1995.5743582891168
2018-04,2029.847044399428
2018-05,2131.1156162259763
2018-06,2041.7753701798847
2018-07,1987.8596841422698
2018-08,1931.0757874848935
2018-09,1908.1573659321778
2018-10,1732.6772121661313
2018-11,1863.3307112258262
2018-12,1731.6883510557036
2019-01,1926.0444301069492
2019-02,1988.6186377006309
2019-03,2064.6535362713016
2019-04,2126.419690680392
2019-05,1850.2805538125046
2019-06,1964.370605674938
2019-07,2003.2289801289116
2019-08,1933.8057297463747
2019-09,1952.321865256375
2019-10,1970.2722023380047
2019-11,2046.5952928895558
2019-12,2180.097919982412
2020-01,2100.153584315326
2020-02,2131.4449295243003
2020-03,2011.4283257061331
2020-04,2132.7233769801433
2020-05,2092.098857704357
2020-06,2248.9485913914414
2020-07,2310.253629265672
2020-08,2431.2862234530044
2020-09,2404.1057941503404
2020-10,2576.740811883692
2020-11,2546.13014959063
2020-12,2524.230333610519
2021-01,2747.8135062070414
2021-02,2710.5975988656464
2021-03,2621.071101130962
2021-04,2580.4867424692457
2021-05,2541.5994592802904
2021-06,2629.1407883865236
2021-07,2217.600249874557
2021-08,2200.926943567791
2021-09,2103.831300871697
2021-10,2220.660474723321
2021-11,2114.678550247329
2021-12,2000.888813307668
2022-01,1997.907159086243
2022-02,1858.9493429244044
2022-03,1737.4930011636302
2022-04,1777.516174032756
2022-05,1757.1243821996488
2022-06,1920.8791487485119
2022-07,1757.5159360915136
2022-08,1810.9147259891954
2022-09,1577.8184159711952
2022-10,1241.8435576185202
2022-11,1596.4852781261054
2022-12,1647.1798073712075
2023-01,1841.5628449072292
2023-02,1654.7744100368486
2023-03,1718.4970103249395
2023-04,1567.0146044797386
2023-05,1495.737300401726
2023-06,1536.114840671848
2023-07,1706.8075874491508
