Date,CHINA A 50 CONNECT RMB
2021-11,3718.6398818423086
2021-12,3735.5053636367493
2022-01,3523.771847940733
2022-02,3555.8815699920656
2022-03,3291.4273394054544
2022-04,3227.8533062527254
2022-05,3201.8129770701116
2022-06,3638.0938065363894
2022-07,3428.4422507249506
2022-08,3333.2861774590056
2022-09,3119.6209911486353
2022-10,2713.5537447657944
2022-11,2926.3809674808235
2022-12,2958.009409073059
2023-01,3237.297276938488
2023-02,3082.966463102523
2023-03,2976.4000085797607
2023-04,2854.1740441414127
2023-05,2681.5735615011376
2023-06,2627.9196484526187
2023-07,2815.379162421479
