Date,VIETNAM
2006-11,644.3763182099326
2006-12,958.7279379299354
2007-01,1446.4819969499258
2007-02,1433.9179731090403
2007-03,1213.9972939372567
2007-04,1000.8621302313164
2007-05,1226.5377304849494
2007-06,1096.3205839993925
2007-07,928.9562380153426
2007-08,906.7666399327218
2007-09,1053.9338744188333
2007-10,1098.426739070794
2007-11,1000.0
2007-12,989.4831308291455
2008-01,899.1053640219728
2008-02,669.9006610136901
2008-03,508.71323764867725
2008-04,538.425680646001
2008-05,411.1746528142049
2008-06,394.238713804566
2008-07,497.8172645404454
2008-08,653.1025793722603
2008-09,590.9777131863165
2008-10,507.70500517649083
2008-11,462.08702691604213
2008-12,446.92350851632415
2009-01,453.2718101684718
2009-02,349.77015843069057
2009-03,379.79595238058903
2009-04,445.18061487567564
2009-05,486.24263365604867
2009-06,508.6128441046992
2009-07,551.1715204835215
2009-08,634.5169742028165
2009-09,640.5508297119799
2009-10,653.214922169865
2009-11,558.0190177625298
2009-12,570.4158792296336
2010-01,579.6413784480262
2010-02,590.907240610176
2010-03,589.1918999698948
2010-04,652.7274830385015
2010-05,677.3983997548142
2010-06,692.556876058921
2010-07,635.4111895247164
2010-08,616.1386279235335
2010-09,564.3626614715743
2010-10,585.5431471003874
2010-11,636.9088478535102
2010-12,673.3452790336761
2011-01,704.8087627766598
2011-02,595.9391259257525
2011-03,600.3229811391865
2011-04,590.2758285208674
2011-05,535.1182641747871
2011-06,565.1220568617225
2011-07,525.9892113008601
2011-08,521.1823804824628
2011-09,532.372569589071
2011-10,493.44114226855817
2011-11,438.0869377715134
2011-12,430.42823652910477
2012-01,483.5989472003336
2012-02,514.961494870562
2012-03,519.140649888407
2012-04,558.5576211530132
2012-05,571.7740572457348
2012-06,551.16849749904
2012-07,557.3474221351462
2012-08,505.38927448922755
2012-09,499.34859964725877
2012-10,478.20225471267133
2012-11,457.48931344520685
2012-12,503.75766658519586
2013-01,583.2019628738982
2013-02,582.21152643327
2013-03,597.7508441646082
2013-04,545.9137412067444
2013-05,593.5883304109992
2013-06,524.92394293442
2013-07,514.2827459330096
2013-08,503.6333825391009
2013-09,510.6819091147462
2013-10,526.7297544881242
2013-11,525.4348506704177
2013-12,516.61831171719
2014-01,595.2149672646192
2014-02,615.4817864025342
2014-03,601.4766092875713
2014-04,573.939141526675
2014-05,592.9988948005769
2014-06,574.141836254687
2014-07,611.091382143381
2014-08,664.1405638142664
2014-09,642.0601409574874
2014-10,642.7170784931873
2014-11,613.9855764924264
2014-12,621.0708765609064
2015-01,680.160654863559
2015-02,704.24848364576
2015-03,667.1501974328502
2015-04,656.66718764433
2015-05,672.7957493201855
2015-06,702.3829647968344
2015-07,736.3201384348469
2015-08,636.1189248139318
2015-09,622.8439321962683
2015-10,675.5447497529595
2015-11,639.9693605625772
2015-12,654.6336137134805
2016-01,623.1289491504565
2016-02,592.636554174755
2016-03,574.6665367426203
2016-04,615.9151290966047
2016-05,638.1886455496457
2016-06,654.2356718155405
2016-07,667.4883986990352
2016-08,673.9286510812096
2016-09,651.2738596395367
2016-10,649.8162902890253
2016-11,645.734783039882
2016-12,621.6873556694442
2017-01,626.7957002817975
2017-02,644.9459940383042
2017-03,675.0715279761613
2017-04,663.0510004536094
2017-05,640.9786231233833
2017-06,649.9979811562963
2017-07,627.591839405673
2017-08,640.1893089030298
2017-09,671.1565848270955
2017-10,732.6555342182838
2017-11,841.4071281251689
2017-12,900.2572285484196
2018-01,957.8535247412779
2018-02,976.0073902760093
2018-03,1033.6347121618098
2018-04,959.1805063686305
2018-05,898.6470475382454
2018-06,901.3473318450565
2018-07,890.0845303362712
2018-08,898.4654104202205
2018-09,917.1984741762147
2018-10,847.1642909688675
2018-11,872.3648413617078
2018-12,825.4995264732746
2019-01,854.7334269129034
2019-02,934.9668333491361
2019-03,948.4610903868374
2019-04,945.9723795426153
2019-05,929.8033340453774
2019-06,899.9123208716869
2019-07,957.3832961376104
2019-08,959.7587787350784
2019-09,980.2186463466821
2019-10,954.8449662728611
2019-11,948.2443505159857
2019-12,906.6054146306645
2020-01,886.5689452967932
2020-02,833.6938821335903
2020-03,639.9189287755316
2020-04,741.4703798721158
2020-05,833.9226759797469
2020-06,791.8307608737849
2020-07,737.2932979145061
2020-08,785.1109438535801
2020-09,821.8625804743522
2020-10,882.2513348679983
2020-11,905.9757142203224
2020-12,956.080329484613
2021-01,933.2876536459053
2021-02,1009.3192235528976
2021-03,1041.189385450139
2021-04,1098.3253188702154
2021-05,1118.033944522496
2021-06,1209.8861281826833
2021-07,1135.4967923793208
2021-08,1161.979266992251
2021-09,1198.394874219302
2021-10,1273.4977792966379
2021-11,1293.3391539215863
2021-12,1283.670110999575
2022-01,1246.5151797436772
2022-02,1207.5847813538205
2022-03,1204.0022031221574
2022-04,1175.457768609194
2022-05,1071.6869915322116
2022-06,1013.5423096098389
2022-07,1022.9836071775065
2022-08,1086.8746302378433
2022-09,973.7304719424884
2022-10,829.1921035092728
2022-11,834.383262731016
2022-12,767.6805630967967
2023-01,836.5410662437479
2023-02,759.8291269988206
2023-03,789.801496932696
2023-04,755.7182214785811
2023-05,786.4976416649689
2023-06,811.6233256438114
2023-07,882.3369856506926
