Date,TUNISIA
2004-05,573.7615889178142
2004-06,574.3808276600025
2004-07,589.2509637483039
2004-08,589.2873706890523
2004-09,572.1022674645986
2004-10,570.7178961785545
2004-11,558.751385382481
2004-12,564.6553189706291
2005-01,588.5208923358398
2005-02,582.6456067422595
2005-03,652.1949482388828
2005-04,768.9744139410775
2005-05,780.2560666154975
2005-06,771.7010559998382
2005-07,760.2494706223387
2005-08,755.5271470656537
2005-09,748.7282784726493
2005-10,764.7198504307798
2005-11,788.9643648623149
2005-12,810.115460839412
2006-01,829.0231863223129
2006-02,887.2533985662049
2006-03,952.4564164786096
2006-04,997.3685199222045
2006-05,1013.7926276446734
2006-06,923.9320162014544
2006-07,903.2759348406797
2006-08,936.3850969970039
2006-09,979.9402418708376
2006-10,1020.1057691212991
2006-11,1005.0806600908154
2006-12,1022.3764126427438
2007-01,1147.4661314631455
2007-02,1072.7947590064007
2007-03,1054.4511336696296
2007-04,1044.1135373791167
2007-05,1031.78502063702
2007-06,983.8945661682545
2007-07,951.4131470589954
2007-08,982.0532245782297
2007-09,958.3777937416656
2007-10,998.7062624449331
2007-11,1000.0
2007-12,1005.0812589885483
2008-01,989.5191021009672
2008-02,1008.8174351531197
2008-03,1067.2978977850053
2008-04,1111.7544324292928
2008-05,1002.6279553105697
2008-06,1051.9284942365534
2008-07,1049.5352317362156
2008-08,1145.3353357956244
2008-09,1209.4033987549826
2008-10,1105.644583030633
2008-11,1094.0311725815673
2008-12,996.8688341459005
2009-01,1033.95088384942
2009-02,1044.019742019776
2009-03,1016.0985711268842
2009-04,1264.1669160916276
2009-05,1170.696551996804
2009-06,1217.6600797287033
2009-07,1193.5597169420532
2009-08,1193.504316424127
2009-09,1208.3721112565206
2009-10,1192.0890952411394
2009-11,1197.492209254492
2009-12,1277.344232180914
2010-01,1378.9739919588694
2010-02,1364.9564277835862
2010-03,1372.6426187556435
2010-04,1402.5574068382446
2010-05,1506.4925418417047
2010-06,1479.5988949600624
2010-07,1551.6442611450889
2010-08,1630.5660407677242
2010-09,1707.5694151181494
2010-10,1509.349924574108
2010-11,1605.5973734264792
2010-12,1528.5184146719828
2011-01,1336.2411519233588
2011-02,1205.1582043114504
2011-03,1292.8762425183054
2011-04,1232.4308624265752
2011-05,1226.339169764044
2011-06,1280.3304619711
2011-07,1324.4970669587178
2011-08,1383.1288943882453
2011-09,1498.8897139073986
2011-10,1475.94619143467
2011-11,1446.6448393081037
2011-12,1449.3594275494931
2012-01,1400.5383728114725
2012-02,1384.2298929939377
2012-03,1387.433377688776
2012-04,1423.9876315116037
2012-05,1428.15274688865
2012-06,1429.1058205767242
2012-07,1546.9394782811385
2012-08,1541.993108924889
2012-09,1464.8688036193307
2012-10,1425.4278534134005
2012-11,1359.2166664083659
2012-12,1358.1118662120286
2013-01,1399.5797936166146
2013-02,1354.4316343253204
2013-03,1367.3913999055142
2013-04,1327.273848493017
2013-05,1330.4026666924105
2013-06,1326.3227191823144
2013-07,1320.8690830150435
2013-08,1324.3871965298833
2013-09,1246.7170217399935
2013-10,1219.3940000158657
2013-11,1197.3407389606537
2013-12,1223.2740427041947
2014-01,1300.644078881863
2014-02,1373.799950296129
2014-03,1328.1419092727506
2014-04,1278.6377160433967
2014-05,1361.709806219537
2014-06,1275.7471004007405
2014-07,1313.3003062691384
2014-08,1366.3654419925342
2014-09,1372.1032348982274
2014-10,1435.7196929255156
2014-11,1402.6036466254752
2014-12,1467.0946002403443
2015-01,1550.2812317002895
2015-02,1598.642144047725
2015-03,1629.360717702646
2015-04,1608.3240633950206
2015-05,1599.9239141696605
2015-06,1587.2213687622566
2015-07,1597.2951220899404
2015-08,1563.4995656387157
2015-09,1541.7909998729224
2015-10,1429.54471626457
2015-11,1413.980894681458
2015-12,1385.43668821119
2016-01,1483.8026333426935
2016-02,1496.7168676827846
2016-03,1523.3706806620405
2016-04,1521.154733471297
2016-05,1483.9120411441422
2016-06,1393.6707317162418
2016-07,1397.4361541323394
2016-08,1423.9029691204396
2016-09,1411.1984583830508
2016-10,1409.7426184101853
2016-11,1414.9223809670634
2016-12,1427.8997348205792
2017-01,1415.8662971665128
2017-02,1473.1230197696314
2017-03,1473.4075069994644
2017-04,1361.1654130611482
2017-05,1319.1030843102114
2017-06,1416.735605875726
2017-07,1395.8638526076315
2017-08,1430.048095464222
2017-09,1401.2485362140155
2017-10,1370.0880697321372
2017-11,1388.7995146119838
2017-12,1399.174736266544
2018-01,1436.603659794445
2018-02,1524.3082300090746
2018-03,1779.7158450657894
2018-04,1761.4893708667967
2018-05,1870.2670937498024
2018-06,2004.0387515910522
2018-07,2095.1859517169087
2018-08,2062.4941426139844
2018-09,1872.2728826283906
2018-10,1793.6029355126634
2018-11,1722.5524010568633
2018-12,1666.3262574738396
2019-01,1649.6427685131987
2019-02,1646.521569708908
2019-03,1641.984978313822
2019-04,1651.6095185666134
2019-05,1766.029232334276
2019-06,1748.173650478994
2019-07,1771.0987014183465
2019-08,1868.374454252774
2019-09,1781.2689713536251
2019-10,1761.1304691493415
2019-11,1747.0357653462104
2019-12,1846.612991605178
2020-01,1885.6053251495016
2020-02,1906.1904232497607
2020-03,1768.0623668640596
2020-04,1709.4055687991824
2020-05,1775.573599036765
2020-06,1874.1261356686562
2020-07,1841.2540465608301
2020-08,1943.545206199234
2020-09,1970.614073170434
2020-10,1862.1640380341005
2020-11,1952.2222507277918
2020-12,1936.279672280392
2021-01,1891.3699853769565
2021-02,1892.6950030451085
2021-03,2051.373511612036
2021-04,1940.5536658631254
2021-05,1906.6349660309068
2021-06,1901.4152915618872
2021-07,1917.688483340715
2021-08,1907.737686464884
2021-09,1900.345659748962
2021-10,1828.4697214241228
2021-11,1830.8320648029573
2021-12,1831.362877424426
2022-01,1801.5264906589748
2022-02,1786.525995292891
2022-03,1817.5151291693257
2022-04,1792.349337163707
2022-05,1771.2482002168942
2022-06,1778.3771593789768
2022-07,1837.2398451927127
2022-08,1936.2649909173
2022-09,1935.5717101510472
2022-10,1760.90943942128
2022-11,1612.5501190639577
2022-12,1640.7513643575955
2023-01,1696.8042778689123
2023-02,1613.386033114146
2023-03,1629.2327801562915
2023-04,1615.5191268237727
2023-05,1742.023406321403
2023-06,1777.6276770047248
2023-07,1765.985584988728
