Date,BRAZIL
2000-12,99.99999999999999
2001-01,114.3685389720392
2001-02,103.75297350834556
2001-03,95.6928733406629
2001-04,100.30240101579625
2001-05,99.48341323720187
2001-06,98.14163398944576
2001-07,88.16801306980719
2001-08,77.685672176103
2001-09,64.5598332722728
2001-10,68.88536270458141
2001-11,76.23947913114768
2001-12,87.52576194794489
2002-01,84.77851943500278
2002-02,96.40531534462924
2002-03,95.66935606150312
2002-04,91.82811047754632
2002-05,81.98421792778929
2002-06,63.27948926612947
2002-07,45.28632053283288
2002-08,55.589451726018055
2002-09,38.47231282625932
2002-10,49.33910661874166
2002-11,49.69155460537494
2002-12,51.500597804103826
2003-01,48.669698841429195
2003-02,46.63838369606158
2003-03,52.41012788882611
2003-04,62.03137490906511
2003-05,60.27457751266568
2003-06,61.83439173874641
2003-07,66.56536459557921
2003-08,75.14471777291041
2003-09,72.12916282218852
2003-10,80.0674373138283
2003-11,82.15999340567859
2003-12,91.86839027067268
2004-01,89.46467885246825
2004-02,92.79977198012469
2004-03,93.76986694794743
2004-04,81.96524719785057
2004-05,79.11592752130468
2004-06,83.33169508852735
2004-07,91.27349840183491
2004-08,96.11106612741871
2004-09,103.07725928781254
2004-10,102.2853052809203
2004-11,108.06503090289402
2004-12,115.81654249472291
2005-01,117.84161350903857
2005-02,135.97337492327864
2005-03,126.94711213589774
2005-04,122.43895988990539
2005-05,137.885897250799
2005-06,146.08339282301603
2005-07,151.23632278295082
2005-08,165.9175080027686
2005-09,201.54580088251268
2005-10,190.70381362226397
2005-11,211.0204764066584
2005-12,208.79419831079403
2006-01,253.4370203238296
2006-02,263.22861401952963
2006-03,247.04446263545103
2006-04,260.1479533638425
2006-05,213.80221392186124
2006-06,228.03145846215193
2006-07,230.9202690100066
2006-08,228.9678727551649
2006-09,227.082730172328
2006-10,244.58562883841364
2006-11,249.5275243773607
2006-12,271.3668032265825
2007-01,278.0653607635009
2007-02,265.9009657766918
2007-03,285.203877078737
2007-04,295.7174335857611
2007-05,335.1291898515904
2007-06,348.1586329369325
2007-07,358.0197031443138
2007-08,346.70606416137826
2007-09,399.063845263717
2007-10,453.66247292671335
2007-11,425.38113374300843
2007-12,439.46799985914794
2008-01,397.9963864768324
2008-02,434.9347903603194
2008-03,385.04447499125564
2008-04,451.9621096920765
2008-05,504.7829093888662
2008-06,458.3937994773676
2008-07,414.7834770254377
2008-08,396.07589587187596
2008-09,319.3583949367795
2008-10,240.26620401181037
2008-11,217.94421412131243
2008-12,202.399065867366
2009-01,229.6371574437333
2009-02,224.97999861134267
2009-03,238.29354391647348
2009-04,287.02163805306327
2009-05,327.93693380557437
2009-06,317.87673385014585
2009-07,342.0861813208106
2009-08,343.6955769015708
