Date,CHINA A RMB
2008-11,1019.3665035939806
2008-12,906.5542382491145
2009-01,1065.6747551840865
2009-02,1121.6288250405923
2009-03,1221.9613744504593
2009-04,1287.3977190713472
2009-05,1250.4651301984745
2009-06,1474.3267523833053
2009-07,1722.4983391329326
2009-08,1287.5629927518025
2009-09,1344.226909639024
2009-10,1436.8480697955063
2009-11,1499.0659774317721
2009-12,1600.6678587770325
2010-01,1456.6120148988655
2010-02,1509.4513395175004
2010-03,1553.8270211743397
2010-04,1444.5838044134116
2010-05,1413.4871016641355
2010-06,1337.0964373822349
2010-07,1400.7660974153987
2010-08,1426.3807859863903
2010-09,1360.9310933766465
2010-10,1548.1470688661593
2010-11,1525.2904656311339
2010-12,1502.112439896988
2011-01,1459.4538956297636
2011-02,1508.6349801794724
2011-03,1474.6675828653829
2011-04,1417.7998818663093
2011-05,1386.445287904433
2011-06,1412.7171391856148
2011-07,1391.1520311866398
2011-08,1337.753268042234
2011-09,1315.3303936362227
2011-10,1332.1899028679773
2011-11,1287.4821709999442
2011-12,1283.7665830350447
2012-01,1337.9796887741688
2012-02,1387.3516782656889
2012-03,1301.4416676016392
2012-04,1395.9678393722486
2012-05,1477.5846570711526
2012-06,1376.638213310795
2012-07,1360.5945979162632
2012-08,1257.815110101506
2012-09,1296.1294025287502
2012-10,1278.5274593828258
2012-11,1221.825006687642
2012-12,1407.7506690531502
2013-01,1444.3135169550396
2013-02,1487.1884654972432
2013-03,1418.4070276180028
2013-04,1365.9951331878167
2013-05,1476.7106505614836
2013-06,1268.5482934790962
2013-07,1249.9932279588977
2013-08,1328.5717040335776
2013-09,1346.9239333923822
2013-10,1326.8520563184688
2013-11,1364.5478141408971
2013-12,1297.9754719150615
2014-01,1251.9352281244076
2014-02,1188.8967974523316
2014-03,1162.0169528061472
2014-04,1152.449178421123
2014-05,1172.315213148859
2014-06,1191.259361910059
2014-07,1346.6682608325486
2014-08,1365.5739913656696
2014-09,1487.7866654807617
2014-10,1545.9988661140308
2014-11,1723.4699611289818
2014-12,2192.692036503819
2015-01,2275.596405061439
2015-02,2374.6151112459593
2015-03,2854.58164146153
2015-04,3250.0303009817435
2015-05,3387.098880968217
2015-06,3084.1007084871285
2015-07,2662.485841789624
2015-08,2254.403365741374
2015-09,2152.220707479852
2015-10,2436.9141436729983
2015-11,2541.404783339396
2015-12,2523.4296747749245
2016-01,1952.726942002224
2016-02,1918.6209387734189
2016-03,2076.3927338942717
2016-04,2010.889610844333
2016-05,2038.3205071320122
2016-06,2041.5361759608024
2016-07,2099.069585322078
2016-08,2172.096567713075
2016-09,2100.4777245973773
2016-10,2178.1264092997594
2016-11,2337.2658022700825
2016-12,2197.3996626377593
2017-01,2218.821614458188
2017-02,2308.7771902285813
2017-03,2288.8673599154185
2017-04,2244.9853428246593
2017-05,2212.9984368370915
2017-06,2317.363820629798
2017-07,2332.759192434632
2017-08,2408.9148613891543
2017-09,2429.316446083106
2017-10,2565.8655588613146
2017-11,2473.9277026798563
2017-12,2505.286459095327
2018-01,2625.348513040022
2018-02,2496.63492175298
2018-03,2413.8636556951997
2018-04,2340.662293773044
2018-05,2402.2909264931004
2018-06,2153.544693176283
2018-07,2104.143827068157
2018-08,1986.7969402514107
2018-09,2039.0090566030246
2018-10,1882.4844893104948
2018-11,1910.3512064969884
2018-12,1835.0308137322938
2019-01,1988.1621626307478
2019-02,2286.791461411005
2019-03,2444.6512507632606
2019-04,2454.7085098965204
2019-05,2249.9282308012275
2019-06,2331.5289229160867
2019-07,2398.8391130733776
2019-08,2338.2467973121325
2019-09,2372.5165742447557
2019-10,2391.600018584663
2019-11,2391.695641003277
2019-12,2541.7909327096095
2020-01,2554.8009365227363
2020-02,2539.692667094029
2020-03,2359.788679682549
2020-04,2531.408548397448
2020-05,2446.8213067648157
2020-06,2668.4177066120965
2020-07,2914.899327801361
2020-08,3018.867495962045
2020-09,2937.318289609699
2020-10,3063.0400193751725
2020-11,3168.039694276813
2020-12,3317.616025960197
2021-01,3479.963025736185
2021-02,3451.8005689239712
2021-03,3334.320613404311
2021-04,3389.3069156452025
2021-05,3554.559985106652
2021-06,3604.500724018467
2021-07,3372.4128009938872
2021-08,3415.408119518397
2021-09,3523.00561279995
2021-10,3606.552836569067
2021-11,3698.7265730556155
2021-12,3699.9208275762585
2022-01,3438.056552250546
2022-02,3511.7928240992633
2022-03,3241.3374117935036
2022-04,3111.3177733324605
2022-05,3133.62083261273
2022-06,3514.194129870605
2022-07,3379.5093782252106
2022-08,3291.642134688571
2022-09,3074.6029174075234
2022-10,2755.2322541626304
2022-11,2950.7004310030406
2022-12,2913.908408308486
2023-01,3150.8145379257276
2023-02,3089.7235620835368
2023-03,3008.297863193106
2023-04,2899.4385869425564
2023-05,2772.4448083593006
2023-06,2682.1418683105603
2023-07,2827.432224249042
