Date,CZECH REPUBLIC
2000-12,100.0
2001-01,107.62625890318155
2001-02,97.92664407079953
2001-03,92.74535159496065
2001-04,91.74889533963506
2001-05,99.96027961296717
2001-06,96.15497426093333
2001-07,87.32236235886059
2001-08,82.24919083951478
2001-09,74.86942336127214
2001-10,88.57375317802261
2001-11,94.02745358823665
2001-12,102.98752746818992
2002-01,110.11217801711626
2002-02,106.81884012986055
2002-03,114.58311212531783
2002-04,123.3896600971959
2002-05,124.43394161340295
2002-06,116.34479872620722
2002-07,125.16910535851082
2002-08,124.40928097810956
2002-09,124.78962975943342
2002-10,121.30765850548718
2002-11,134.50717746529574
2002-12,125.53727219230386
2003-01,126.42672625196485
2003-02,128.25947448918853
2003-03,131.13773016429255
2003-04,139.0014738608366
2003-05,149.56336377893825
2003-06,145.04553921604906
2003-07,153.4888713990804
2003-08,168.24106056115136
2003-09,162.11164666716695
2003-10,168.80372102458313
2003-11,161.2666173536579
2003-12,171.6665552690044
2004-01,173.0530142700929
2004-02,201.2966814553997
2004-03,211.4488569601685
2004-04,211.37645035518923
2004-05,205.34076561764104
2004-06,207.27273954355954
2004-07,212.22409502551974
2004-08,219.8409731583249
2004-09,238.72650020875201
2004-10,247.73726864607454
2004-11,281.3134233334576
2004-12,295.70180542467267
2005-01,322.5526355228488
2005-02,358.6128249579162
2005-03,343.56042918501913
2005-04,332.3783577713242
2005-05,343.198401974092
2005-06,369.94719424056956
2005-07,390.1441402324223
2005-08,438.11400881146983
2005-09,488.77883803291036
2005-10,455.3380606102385
2005-11,472.85749635154724
2005-12,496.7784300989725
2006-01,540.3769868798794
2006-02,542.7556647151314
2006-03,537.1520974177236
2006-04,518.4563339675144
2006-05,471.1574714941848
2006-06,496.9859098330647
2006-07,520.5545326502256
2006-08,525.4505418887554
2006-09,524.2977905303195
2006-10,564.5117549209168
2006-11,582.4999228083965
2006-12,595.1080028016227
2007-01,599.3905103487215
2007-02,578.0257973719879
2007-03,625.0394792926508
2007-04,667.661196032346
2007-05,685.552974077107
2007-06,693.082421761096
2007-07,691.3287035537131
2007-08,705.4945534983103
2007-09,745.8247703283304
2007-10,826.5538519741032
2007-11,811.2565914746369
2007-12,833.5053297468097
2008-01,734.0800111613706
2008-02,792.7038297510846
2008-03,766.0931012981115
2008-04,771.995826814818
2008-05,856.1712520844584
2008-06,862.2605228346898
2008-07,842.9231102254087
2008-08,813.0701161506965
2008-09,717.9833073039493
2008-10,561.1458890911597
2008-11,522.6853684275227
2008-12,498.85511565719383
2009-01,443.6302519351495
2009-02,384.02686137042775
2009-03,440.38813445815134
2009-04,521.2298015665758
2009-05,530.1162023494967
2009-06,547.8636812690695
2009-07,647.1005641364948
2009-08,649.5500875387623
2009-09,644.6648475860565
2009-10,611.645438624372
2009-11,616.0419506727784
2009-12,611.4901023281961
2010-01,644.005639215258
