Date,PAKISTAN VALUE
2017-06,898.1716447418554
2017-07,850.9429163084711
2017-08,768.9916494975228
2017-09,818.1632551865567
2017-10,791.5106170437251
2017-11,799.6357496369973
2017-12,787.306336819894
2018-01,826.9082236927491
2018-02,863.8556637784465
2018-03,851.3712727343635
2018-04,811.8524300804573
2018-05,784.4863788085686
2018-06,732.4251989806792
2018-07,723.9956772993589
2018-08,699.7894215101385
2018-09,699.568593436181
2018-10,680.8959959814848
2018-11,634.7054722131254
2018-12,544.0246765960586
2019-01,647.3868307115414
2019-02,628.4595379177173
2019-03,624.090921176727
2019-04,603.6006369319106
2019-05,563.2442624043506
2019-06,493.1049499430092
2019-07,497.00786474749555
2019-08,433.47192656362665
2019-09,505.87461252758493
2019-10,530.6967232610169
2019-11,569.667636323177
2019-12,610.5912958404571
2020-01,614.42796777071
2020-02,552.1797870590252
2020-03,338.63711757959294
2020-04,432.8963700282375
2020-05,440.560978848595
2020-06,418.76162702978075
2020-07,439.0892393020684
2020-08,443.31184961614747
2020-09,424.78172400058776
2020-10,418.210926216827
2020-11,429.25461752963
2020-12,441.6806300157635
2021-01,459.26688787490355
2021-02,450.11271350051305
2021-03,474.935618798159
2021-04,426.9159545380561
2021-05,439.6103231978899
2021-06,408.9523106157725
2021-07,407.1333221053816
2021-08,399.8061361840989
2021-09,359.7471416579786
2021-10,407.1323544917667
2021-11,398.89236754582146
