Date,PAKISTAN GROWTH
2017-06,952.8414923847185
2017-07,813.8766969474848
2017-08,655.1458263770043
2017-09,667.9753786676217
2017-10,600.5655371856491
2017-11,590.4443469241384
2017-12,591.7038020991514
2018-01,614.4915611439094
2018-02,612.5808067716579
2018-03,647.8230981847305
2018-04,631.4272464671171
2018-05,574.2947310672396
2018-06,524.3415549367608
2018-07,548.3551644775227
2018-08,506.1752440808904
2018-09,501.88313896253203
2018-10,467.5839209173965
2018-11,449.7785691347831
2018-12,400.05193641398375
2019-01,453.42382783958374
2019-02,431.1266675189325
2019-03,425.892767757689
2019-04,409.9433206743751
2019-05,376.99846659620465
2019-06,328.6119595218892
2019-07,344.65403939114333
2019-08,336.0408091393355
2019-09,356.06757764761085
2019-10,369.3259326610478
2019-11,433.39008239335527
2019-12,443.84849018358005
2020-01,464.3438394438482
2020-02,440.9034682265409
2020-03,302.82173876569783
2020-04,331.96956779806817
2020-05,300.27546717484523
2020-06,306.03382048375295
2020-07,342.8900439725574
2020-08,351.9167722233978
2020-09,356.14451830315227
2020-10,362.1707060572964
2020-11,365.42232459245287
2020-12,364.95758083743834
2021-01,390.93208415470855
2021-02,352.72391920081316
2021-03,367.03547238154977
2021-04,370.54880856301327
2021-05,391.19548773916205
2021-06,367.605141880819
2021-07,365.65981168066173
2021-08,340.866185682008
2021-09,299.3707713521262
2021-10,319.7030884917826
2021-11,299.36682174464426
