Date,BAHRAIN
2005-05,1157.0967364593641
2005-06,1149.8286505370668
2005-07,1064.5883461021695
2005-08,989.0872868239217
2005-09,1006.3416715695267
2005-10,1021.7880009971194
2005-11,1000.0
2005-12,958.6018308813553
2006-01,1042.8770118143773
2006-02,1038.1740605994958
2006-03,919.844970567219
2006-04,853.9797843508304
2006-05,812.2495876077319
2006-06,820.7451602750056
2006-07,833.5590196989168
2006-08,945.0647632422102
2006-09,993.516206885128
2006-10,990.940885430453
2006-11,907.3736782616534
2006-12,922.388708431703
2007-01,854.2333526568856
2007-02,858.3138058762231
2007-03,856.3586260824351
2007-04,808.1352798333875
2007-05,928.5238096441825
2007-06,916.0236223739983
2007-07,965.0619136807422
2007-08,1009.5590729292469
2007-09,953.4167277390184
2007-10,954.9411758030807
2007-11,943.8209263071174
2007-12,1016.6483006738022
2008-01,1027.0590965568297
2008-02,1106.433324771508
2008-03,1101.0369501724283
2008-04,1067.4589671811293
2008-05,1095.6331227448122
2008-06,1098.584009012326
2008-07,1075.0300300401766
2008-08,1043.1861949168308
2008-09,946.8120437342681
2008-10,872.5483975921119
2008-11,658.3112591401115
2008-12,501.1252949347952
2009-01,389.4852829442906
2009-02,372.6540162338053
2009-03,408.13131968446686
2009-04,480.3293418647292
2009-05,450.5252592086698
2009-06,431.6151946833882
2009-07,395.76084991289855
2009-08,379.71476511868246
2009-09,375.075969002933
2009-10,361.28796480086714
2009-11,319.2796787347117
2009-12,330.7730155635544
2010-01,332.53744249508725
2010-02,339.906809736045
2010-03,348.1912857883751
2010-04,339.6615767477214
2010-05,346.2557514579538
2010-06,309.1920414514037
2010-07,289.21518631481763
2010-08,316.2524289402333
2010-09,294.49136634725244
2010-10,287.08439103919454
2010-11,303.5123734015717
2010-12,290.1820604241006
2011-01,278.1674204941375
2011-02,276.4439136316663
2011-03,270.7447301714041
2011-04,262.2002197005396
2011-05,252.3802687501068
2011-06,258.8947607519114
2011-07,259.4576662005787
2011-08,258.1546553935618
2011-09,216.08594704369997
2011-10,197.4922439066693
2011-11,217.05587404893748
2011-12,239.57758015050828
2012-01,235.43794218087575
2012-02,229.27969216878893
2012-03,250.3973348722192
2012-04,260.32693787659747
2012-05,280.36579891562866
2012-06,269.14053809600955
2012-07,269.5971723246642
2012-08,250.57745047996147
2012-09,245.01175067467176
2012-10,244.91688796925715
2012-11,236.48881762295832
2012-12,226.91803193229154
2013-01,227.4758493143788
2013-02,235.86567717377866
2013-03,250.25759988045928
2013-04,239.18497347976754
2013-05,257.695039234072
2013-06,238.4342635643411
2013-07,242.51237539760336
2013-08,235.20852358072366
2013-09,223.89295190679374
2013-10,224.17351334354575
2013-11,209.19928068106444
2013-12,207.51529835295523
2014-01,212.18890461261967
2014-02,211.6849647405774
2014-03,199.01981205137196
2014-04,197.3870172045269
2014-05,192.36806267744967
2014-06,189.8927543624493
2014-07,189.7229751061794
2014-08,193.57596471972224
2014-09,196.90461584534074
2014-10,189.32456880365982
2014-11,177.3046321781032
2014-12,158.42744563265876
2015-01,161.9443980750679
2015-02,175.66965373322907
2015-03,170.6421286221963
2015-04,187.2005803923144
2015-05,186.05547408703623
2015-06,186.99883047147455
2015-07,184.58751376229745
2015-08,163.64401650186468
2015-09,161.58785958281504
2015-10,158.08952452700717
2015-11,146.42730541509863
2015-12,138.83061680621697
2016-01,135.03066325927037
2016-02,138.49755295803226
2016-03,128.37177000329538
2016-04,128.03172860023372
2016-05,135.42659494962217
2016-06,136.44529142746006
2016-07,137.8905920543387
2016-08,141.17446956432607
2016-09,137.08334450524436
2016-10,139.3466785691473
2016-11,143.84685438576105
2016-12,146.36152987415406
2017-01,158.51851994381545
2017-02,174.35558237824466
2017-03,180.05210997470627
2017-04,175.54933863574857
2017-05,168.6396170096392
2017-06,154.86593789177428
2017-07,159.2039302727288
2017-08,154.25420289123355
2017-09,148.8839188781506
2017-10,150.2476521146884
2017-11,149.10062303384422
2017-12,143.8303268996976
2018-01,141.51859916502605
2018-02,147.1468831230423
2018-03,143.37157025121957
2018-04,137.91868859564946
2018-05,143.30470153396598
2018-06,147.57704749631054
2018-07,162.2792437588792
2018-08,159.92937247805267
2018-09,164.49601705166563
2018-10,162.5986104463022
2018-11,160.78118357396835
2018-12,152.32090419900734
2019-01,168.08350823342926
2019-02,176.68291663858278
2019-03,191.65921531837148
2019-04,206.21174742375328
2019-05,204.28245693045895
2019-06,206.61708741869163
2019-07,231.80262667615995
2019-08,229.4586481306015
2019-09,223.82693857607228
2019-10,219.74714271502967
2019-11,228.06034451041054
2019-12,249.69954004567614
2020-01,264.29427454544094
2020-02,257.59715517428117
2020-03,198.73206977734176
2020-04,192.2848757839968
2020-05,177.2500256368509
2020-06,172.06385133633253
2020-07,171.63554489250532
2020-08,206.1752193960696
2020-09,212.61556383781547
2020-10,217.0872984453879
2020-11,215.55509405543788
2020-12,207.0202891510144
2021-01,206.47583480950308
2021-02,206.92921098428906
2021-03,207.29856744849562
2021-04,211.66252753915077
2021-05,216.9101295871192
2021-06,241.55382291317983
2021-07,245.3169540484866
2021-08,262.58824635273334
2021-09,284.48971972393906
2021-10,291.7777570308967
2021-11,275.2653266531482
2021-12,286.1384090168949
2022-01,292.8936078919662
2022-02,313.2006999929232
2022-03,349.1656583814219
2022-04,384.14032944944944
2022-05,333.45581079363546
2022-06,331.5218437848895
2022-07,376.0312400359067
2022-08,382.3976271005797
2022-09,389.6689715423491
2022-10,379.23157621936235
2022-11,366.4106348989464
2022-12,366.1017423048293
2023-01,370.36172332388804
2023-02,382.9616250027415
2023-03,368.1447225276348
2023-04,366.5283252998357
2023-05,415.44725679375017
2023-06,398.9627380736683
2023-07,404.88907122280574
