Date,SPAIN
1998-12,100.0
1999-01,101.64331128087096
1999-02,103.14216686553654
1999-03,100.99288279078777
1999-04,103.54517785700543
1999-05,104.66966316210295
1999-06,106.36818583164883
1999-07,98.00500132478085
1999-08,101.77349212033738
1999-09,99.49891874514626
1999-10,101.98360557264779
1999-11,115.6227027142942
1999-12,122.8135207525119
2000-01,116.04876212916373
2000-02,129.7092618763081
2000-03,130.26603238271048
2000-04,126.91439008132852
2000-05,120.98609580945724
2000-06,120.29524075970114
2000-07,121.17486615363642
2000-08,123.80854242843023
2000-09,125.9817757954784
2000-10,121.5240645134928
2000-11,109.73936026750665
2000-12,110.32362415989427
2001-01,121.93359963233749
2001-02,116.32162245828268
2001-03,114.26716264843778
2001-04,119.52386841486806
2001-05,116.59120950202349
2001-06,108.46559618085946
2001-07,104.52966548692693
2001-08,102.42647098215592
2001-09,90.53243965979473
2001-10,95.68922667317821
2001-11,102.68808646514455
2001-12,103.11017655657923
2002-01,98.57871942332066
2002-02,99.50417998168024
2002-03,100.72203628897134
2002-04,100.19657506361276
2002-05,97.07862992429963
2002-06,83.42242948278866
2002-07,75.15301618097206
2002-08,78.47445540479397
2002-09,65.26995319869482
2002-10,74.76815546352911
2002-11,81.96523495109051
2002-12,74.11475038623772
2003-01,73.26602705387863
2003-02,73.97549006498859
2003-03,72.50286688366528
2003-04,80.88220463136547
2003-05,80.40551470873869
2003-06,84.99573784103204
2003-07,88.26784104231363
2003-08,89.11788461771756
2003-09,83.69391724593662
2003-10,89.5715355069975
2003-11,91.20478147985943
2003-12,97.70525966922978
2004-01,100.23095112835621
2004-02,104.17824698548462
2004-03,100.91460123806635
2004-04,102.31652945422348
2004-05,100.88360231291703
2004-06,102.5418457467016
2004-07,101.19985200128741
2004-08,100.39640134548705
2004-09,102.11321150061781
2004-10,108.22545956940115
2004-11,112.04854199026624
2004-12,116.89999035931962
2005-01,118.84352749805484
2005-02,120.90713597156393
2005-03,119.31201496027211
2005-04,116.29615470730548
2005-05,122.08799336281425
2005-06,126.70049597080384
2005-07,132.0692692905028
2005-08,130.42651846624344
2005-09,141.23420134987222
2005-10,137.0427418301472
2005-11,138.42746933925756
2005-12,140.64525498132448
2006-01,145.5710876161974
2006-02,153.83572537571544
2006-03,154.5815024656591
2006-04,155.25257342047385
2006-05,148.46494394619032
2006-06,151.13025407958253
2006-07,156.09848776693218
2006-08,160.80563590831275
2006-09,171.1681344614456
2006-10,182.43559320602662
2006-11,183.8957977511314
2006-12,187.90335886315825
2007-01,194.39273773849814
2007-02,190.16810268962396
2007-03,194.40250030984822
2007-04,191.9986399771188
2007-05,205.74631423956393
2007-06,199.98546240816825
2007-07,200.94258899355953
2007-08,197.69065628340815
2007-09,199.50254161319504
2007-10,218.81876528195693
2007-11,216.34205372830502
2007-12,210.070654812061
2008-01,182.55373254410657
2008-02,181.44808810256777
2008-03,182.90595951837008
2008-04,191.95507147872348
2008-05,190.4810995729011
2008-06,168.29335667055489
2008-07,168.2586520701808
2008-08,165.7946271271323
2008-09,156.390323161648
2008-10,129.38557219535315
2008-11,127.12418667165566
2008-12,131.2538353013898
2009-01,120.87415332038037
2009-02,108.97044721734517
2009-03,111.98210608786756
2009-04,130.6273975193697
2009-05,137.9085590254067
