Date,SOUTH AFRICA
2000-12,100.0
2001-01,106.9789649400086
2001-02,108.6238731524374
2001-03,97.71327082523747
2001-04,108.86438717441337
2001-05,120.46046257340744
2001-06,116.27506366542609
2001-07,99.22819827821945
2001-08,100.13584070031922
2001-09,84.70201514328429
2001-10,87.31386662923944
2001-11,90.18533970670934
2001-12,87.2987339717445
2002-01,94.27463250994099
2002-02,98.85405777543093
2002-03,99.97903294395435
2002-04,105.53025277286021
2002-05,112.02687945338148
2002-06,95.24295258602771
2002-07,80.88001658601422
2002-08,83.63789007498623
2002-09,83.12959078568743
2002-10,86.64027574622757
2002-11,94.57468748097186
2002-12,94.80754499903733
2003-01,89.40364595902724
2003-02,89.91213773678722
2003-03,84.44829757028127
2003-04,87.41785966349646
2003-05,85.55204217821081
2003-06,91.16386619738904
2003-07,99.25156616850298
2003-08,108.36951794806872
2003-09,103.50074889883902
2003-10,114.41685401908373
2003-11,119.19886108055131
2003-12,115.05214467372322
2004-01,115.9733243643403
2004-02,122.78954195515797
2004-03,128.8812581186373
2004-04,114.6213394494566
2004-05,120.7593787341405
2004-06,122.66172198796086
2004-07,125.25221604052915
2004-08,128.65561436651686
2004-09,136.37295166199561
2004-10,138.90322653739872
2004-11,151.5301961943056
2004-12,154.71366401322356
2005-01,152.4054983308446
2005-02,162.19226262801268
2005-03,150.0053450796383
2005-04,148.88388127494844
2005-05,149.58628269486903
2005-06,160.88601520800913
2005-07,174.2461977264784
2005-08,180.84176522200787
2005-09,205.10840824576687
2005-10,187.1274188078931
2005-11,205.7577007949395
2005-12,228.8058796616342
2006-01,257.90220038806564
2006-02,247.93203376382758
2006-03,263.12173482526845
2006-04,262.46577786762566
2006-05,218.22657257369318
2006-06,211.83344828645068
2006-07,212.3901090250281
2006-08,211.2923390433892
2006-09,199.9420212332743
2006-10,220.45361642803016
2006-11,228.601463180078
2006-12,246.6911053217224
2007-01,251.07876557543048
2007-02,247.98850276022708
2007-03,261.741265595558
2007-04,276.2747264991751
2007-05,270.975035716887
2007-06,264.96367870709213
2007-07,260.8625944702726
2007-08,260.726317957754
2007-09,266.8170595208493
2007-10,299.0361001105622
2007-11,272.5092980124033
2007-12,262.86029667199546
2008-01,225.41601627076636
2008-02,232.6765983727147
2008-03,206.24769736287152
2008-04,236.52123106308875
2008-05,242.5208225329721
2008-06,216.81958113951637
2008-07,225.3562444357706
2008-08,227.55998221983725
2008-09,203.00312047198216
2008-10,165.99492383293375
2008-11,165.57937143521414
2008-12,171.70550267357206
2009-01,162.8266269991839
2009-02,153.5355311437002
2009-03,172.6528239173124
2009-04,193.0446906551255
2009-05,210.1592901134164
2009-06,214.6365498361044
2009-07,223.22151306441057
2009-08,233.03955534069163
2009-09,235.67055350816048
2009-10,230.67257461096247
2009-11,238.9849624001211
2009-12,262.53768167407344
2010-01,256.6642367350639
2010-02,260.5252128411607
2010-03,291.11540279747396
2010-04,299.77946841535305
2010-05,301.0500690281997
2010-06,290.9317475548169
2010-07,307.96757274037503
2010-08,306.61822624639746
2010-09,327.30758516386203
2010-10,327.02166675264056
2010-11,338.2042397958146
2010-12,376.82586180385465
2011-01,323.68672904803276
2011-02,341.9111497658876
2011-03,349.59492861509807
2011-04,351.9321749344631
2011-05,344.3041295423966
2011-06,335.4268316458846
2011-07,336.0350081875907
2011-08,330.99495675925925
2011-09,301.5845637725739
2011-10,316.24774447975165
2011-11,328.5310039723192
2011-12,333.48884385623415
2012-01,356.5931461875926
2012-02,373.72204350026215
2012-03,361.6318331483787
2012-04,366.31801398550715
2012-05,349.79242079241163
2012-06,358.1273629342786
2012-07,380.2572095976557
2012-08,368.4619387235103
2012-09,376.2342394452679
2012-10,363.6903329791256
2012-11,359.1840874673546
2012-12,389.730835315503
2013-01,357.44025547295354
2013-02,363.5791115493714
2013-03,364.21983443011567
2013-04,353.73355534900026
2013-05,340.5900546048039
2013-06,333.11031171012297
2013-07,334.0114338578839
2013-08,332.003388977227
2013-09,347.92946267646624
2013-10,364.2359280506671
2013-11,349.8576151514013
2013-12,349.7284226348237
2014-01,321.3766476035528
2014-02,342.7852171856458
2014-03,366.13758900840384
2014-04,362.8524768504215
2014-05,375.590603020316
2014-06,385.2577401505152
2014-07,397.768387467296
2014-08,411.88382994349627
2014-09,389.9744034532477
2014-10,419.27584114220247
2014-11,422.7157603936596
2014-12,419.0201905619302
2015-01,469.7883634071491
2015-02,475.77542312685756
2015-03,487.2838568124449
2015-04,491.90467743712077
2015-05,460.9224749823505
2015-06,466.3282175884685
2015-07,442.91941877383806
2015-08,404.1996817580481
2015-09,378.7434240599134
2015-10,410.2382218244582
2015-11,399.90024033149405
2015-12,347.959553793062
2016-01,336.253015619516
2016-02,335.91396649688164
2016-03,377.50393047051926
2016-04,391.2456013240901
2016-05,364.65606763587675
2016-06,393.4570663586252
2016-07,425.45268038459295
2016-08,394.3168084415264
2016-09,413.3334531168774
2016-10,419.4509395700811
2016-11,398.66234510562913
2016-12,422.5604934098635
2017-01,424.0150475465774
2017-02,438.9503602081202
2017-03,434.8797928300648
2017-04,450.4048463755106
2017-05,444.9717314076654
2017-06,422.1933798085994
2017-07,436.227150826289
2017-08,449.48958811991093
2017-09,422.8073422831359
2017-10,439.3870089513443
2017-11,467.58891962274157
2017-12,505.2186840895945
2018-01,500.53340717676053
2018-02,509.91912333671337
2018-03,472.72092796115254
2018-04,475.23829298052374
2018-05,458.7793743435095
2018-06,438.8083132454139
2018-07,460.06809776270313
2018-08,416.49521751580494
2018-09,408.4560217689984
2018-10,372.9434838050341
2018-11,405.89743001470356
2018-12,399.3196949909849
2019-01,446.5487307004125
2019-02,425.955050162664
2019-03,424.535550624989
2019-04,459.00152512408965
2019-05,428.8973862678185
2019-06,446.1715119981346
2019-07,443.6748703004574
2019-08,408.6517651666934
2019-09,407.3397535717993
2019-10,410.59888339826654
2019-11,415.39435820793693
2019-12,447.4917058775399
2020-01,413.2731010738997
2020-02,363.035554845256
2020-03,273.097447803573
2020-04,308.9658613579481
2020-05,310.2682925257128
2020-06,339.233329517113
2020-07,341.4102769408572
2020-08,333.3881386993541
2020-09,336.8151918016142
2020-10,340.9165488305123
2020-11,367.32535022140934
2020-12,394.28041340054494
2021-01,407.8176103774125
2021-02,420.09259397856187
2021-03,460.1812148511295
2021-04,448.4140010923522
2021-05,473.0887202703189
2021-06,449.439068850654
2021-07,441.83185168336297
2021-08,447.049725309925
2021-09,433.42575552948534
2021-10,433.45745908621524
2021-11,425.68356475596687
2021-12,439.41623349583347
2022-01,476.1314388274693
2022-02,497.34910157550416
2022-03,540.2382332247904
