Date,BOSNIA AND HERZEGOVINA
2010-05,995.3062394978618
2010-06,1035.249391122699
2010-07,1007.3635660970838
2010-08,1057.1972955375522
2010-09,980.2516829079814
2010-10,1002.0060058158766
2010-11,949.9627143217295
2010-12,1019.7035070906609
2011-01,1152.2724213457664
2011-02,1163.4160280250992
2011-03,1217.1697316453033
2011-04,1173.122226518361
2011-05,1174.4711645700563
2011-06,1132.0524346572577
2011-07,1115.56695147281
2011-08,1035.8296658537067
2011-09,1064.603006365547
2011-10,985.5872076006361
2011-11,894.4446448141398
2011-12,894.6512174493666
2012-01,968.0400741567444
2012-02,954.9439994374484
2012-03,941.1109063849159
2012-04,920.5234153453348
2012-05,856.8726117785109
2012-06,798.3022846328232
2012-07,829.8104967179662
2012-08,854.7058374257457
2012-09,950.9849438759417
2012-10,926.2919940352556
2012-11,957.1316834687004
2012-12,964.5620155420573
2013-01,1056.2089074160015
2013-02,1058.1552262381272
2013-03,1041.8035803303276
2013-04,1030.3605527728596
2013-05,933.5505599834976
2013-06,934.0674317043787
2013-07,967.1326580698737
2013-08,974.8898376044303
2013-09,972.5528015470242
2013-10,1007.5284610537765
2013-11,985.0773015910272
2013-12,1100.4413374960438
2014-01,1083.2455404949487
2014-02,1059.8859089770217
2014-03,1054.8830079756972
2014-04,1077.1193401528706
2014-05,1041.1530107153794
2014-06,1117.7502389585788
2014-07,1125.4997536384165
2014-08,1106.9648369645436
2014-09,1114.7189955016718
2014-10,1120.0785282057432
2014-11,1134.881023653764
2014-12,1153.04230584462
2015-01,1137.1120974634593
2015-02,1116.6813146569355
2015-03,1118.5779700063238
2015-04,1129.5859262895638
2015-05,1118.5631673183202
2015-06,1075.5548416203565
2015-07,1098.9761712661173
2015-08,1078.2722787571636
2015-09,1051.7189320665498
2015-10,1104.8858870085155
2015-11,1102.5507112502178
2015-12,1088.3097452056143
2016-01,991.0163437139383
2016-02,995.4520754399551
2016-03,1017.9576960746078
2016-04,987.5035464993788
2016-05,962.8174981311829
2016-06,929.3998920036403
2016-07,899.1209284000387
2016-08,873.6277770663912
2016-09,822.7569526617951
2016-10,845.7092344703738
2016-11,864.3848619957108
2016-12,858.4992741119739
2017-01,869.2661368408811
2017-02,995.2084416616314
2017-03,929.10719760136
2017-04,921.9840470858612
2017-05,907.3720963084861
2017-06,913.9156010201158
2017-07,911.2987946471817
2017-08,898.2404904256015
2017-09,905.9028173886255
2017-10,929.1116424003594
2017-11,931.2485992298105
2017-12,882.7419631742797
2018-01,935.1091762786103
2018-02,909.8945255591475
2018-03,882.9797480566976
2018-04,862.8353528521703
2018-05,815.45072599103
2018-06,806.6574857908108
2018-07,806.7812331978681
2018-08,856.8101785539443
2018-09,815.926283648329
2018-10,795.1354593031573
2018-11,787.6610744184773
2018-12,835.5118688130392
2019-01,842.3799785738893
2019-02,853.4564879674783
2019-03,884.1974596252034
2019-04,908.4179670522858
2019-05,902.5245757787517
2019-06,890.8827183455587
2019-07,904.2495002753485
2019-08,937.2916881153469
2019-09,936.6575944169507
2019-10,929.4121828477657
2019-11,968.1281809230503
2019-12,969.9164957651315
2020-01,992.4871466579592
2020-02,999.0118731640138
2020-03,906.3333503618016
2020-04,884.2381037214385
2020-05,978.3234098762653
2020-06,1005.3639433751633
2020-07,982.6240827638295
2020-08,996.933369607848
2020-09,1044.932210008172
2020-10,1039.9474263068075
2020-11,1025.6091555222818
2020-12,1039.8235567172583
2021-01,1082.1865621468064
2021-02,1085.879882929973
2021-03,1091.4507225176458
2021-04,1076.8397309372322
2021-05,1138.1534031586468
2021-06,1183.9653972804324
2021-07,1234.9921461398912
2021-08,1236.8684485574838
2021-09,1344.8189233179755
2021-10,1487.5826067356306
2021-11,1542.720258166336
2021-12,1578.3325463841477
2022-01,1679.567653850826
2022-02,1642.489289826452
2022-03,1628.4162760145973
2022-04,1758.0081586383994
2022-05,1812.5829605696151
2022-06,1802.2573738538063
2022-07,1866.928643945213
2022-08,1849.8600194188402
2022-09,1870.9695082352941
2022-10,1953.3589738061114
2022-11,1861.6420228727513
2022-12,1959.2907046690764
2023-01,1949.5682193657012
2023-02,2053.0211443981775
2023-03,2098.06472746457
2023-04,2068.177742387785
2023-05,1907.4737110907715
2023-06,1844.9161858895955
2023-07,1715.1941573552847
