Date,CHINA A 50
2004-11,1000.0
2016-11,5816.83489062828
2016-12,5435.84781518456
2017-01,5553.264949841552
2017-02,5699.06706713466
2017-03,5691.158377918821
2017-04,5580.328612766297
2017-05,5823.617656963286
2017-06,6148.67284082621
2017-07,6161.123125421851
2017-08,6392.104618318573
2017-09,6410.07829483458
2017-10,7010.244339216934
2017-11,7018.592345800987
2017-12,7172.608562660406
2018-01,7847.472473589158
2018-02,7364.358527959419
2018-03,7028.792202424405
2018-04,6851.507833127273
2019-05,7282.279875230086
2019-06,7732.353152116808
2019-07,8000.583298947138
2019-08,7738.534732124947
2019-09,7865.146777368561
2019-10,7974.699487368608
2019-11,7930.334285542243
2019-12,8368.120874768772
2020-01,8182.7367433565205
2020-02,7943.003934052298
2020-03,7351.1345087013115
2020-04,7932.380927695766
2020-05,7645.119687567138
2020-06,8240.279802330728
2020-07,8860.829739701103
2020-08,9245.283186239014
2020-09,9123.412668062301
2020-10,9668.721754359309
2020-11,10161.117899693632
2020-12,10827.396094521504
2021-01,11423.685998515799
2021-02,11379.452308099388
2021-03,10851.079382764025
2021-04,11000.131004851091
2021-05,11490.70126322033
2021-06,11359.027953786259
2021-07,10037.254745247048
2021-08,9844.937367091381
2021-09,10356.569957676646
2021-10,10761.789682681989
2021-11,10898.337899839456
2021-12,10877.93257530411
2022-01,10306.412337038946
2022-02,10313.175766968217
2022-03,9533.6941449275
2022-04,9372.90014467841
2022-05,9211.218966470393
2022-06,10551.186010799527
2022-07,9916.084865730003
2022-08,9647.059728719923
2022-09,9033.69694439773
2022-10,7656.071967548585
2022-11,8400.991522076263
2022-12,8585.074163066718
2023-01,9361.794804085606
2023-02,8961.739550659746
2023-03,8647.259901180647
2023-04,8316.715922480511
2023-05,7815.679425739997
2023-06,7713.4691566125275
2023-07,8305.529760477048
