Date,QATAR DOMESTIC
2005-05,739.5112289504191
2005-06,899.6050463894477
2005-07,864.9135038235129
2005-08,1056.6771139015734
2005-09,1135.4064789168913
2005-10,1142.7171089198496
2005-11,1000.0
2005-12,1030.5851502046048
2006-01,943.7145612864448
2006-02,787.1433980278492
2006-03,807.4274419714376
2006-04,774.1252492472356
2006-05,650.9643759662156
2006-06,636.881999912035
2006-07,664.4897126537094
2006-08,647.0943244387129
2006-09,626.7986930868873
2006-10,603.8927643888085
2006-11,477.07380729422977
2006-12,559.4786774130093
2007-01,512.2083784982884
2007-02,498.6377782433203
2007-03,492.9425588026304
2007-04,512.8240687420847
2007-05,592.8367647838915
2007-06,591.5651261753699
2007-07,603.6735496551621
2007-08,595.2848497468967
2007-09,614.7705586867984
2007-10,707.3287632560931
2007-11,696.407184174144
2007-12,716.5381503516546
2008-01,700.190901645646
2008-02,754.6177807083844
2008-03,673.6046511063781
2008-04,823.7268676936528
2008-05,872.8940659782452
2008-06,853.0833693801995
2008-07,842.1316896791229
2008-08,790.2406156578276
2008-09,739.977802347458
2008-10,598.3788912695429
2008-11,500.94730537404087
2008-12,553.1905512588261
2009-01,460.4956493329078
2009-02,404.090988610853
2009-03,439.45955467000806
2009-04,509.45438398896897
2009-05,553.8456261878105
2009-06,562.0188675575829
2009-07,581.9526141703027
2009-08,610.6429831867948
2009-09,622.4653676760361
2009-10,595.2197212433886
2009-11,589.1443012629284
2009-12,595.3565834507331
2010-01,587.9358621001481
2010-02,640.0249110765515
2010-03,703.2285318850863
2010-04,741.9981657118472
2010-05,721.3373906487885
2010-06,730.1850465242355
2010-07,701.2719781874745
2010-08,742.4702761699425
2010-09,740.748977786587
2010-10,740.2450182671913
2010-11,827.7172000479319
2010-12,855.8843758225431
2011-01,830.3759099760541
2011-02,769.4634164497562
2011-03,817.6996034688235
2011-04,800.2605318571093
2011-05,806.7817511283725
2011-06,796.5286273517786
2011-07,807.2836217217567
2011-08,810.5512082105579
2011-09,874.1936223062874
2011-10,864.174564992685
2011-11,893.7842562908367
2011-12,945.968193955557
2012-01,915.2054214362092
2012-02,925.8924493530008
2012-03,947.4708324120277
2012-04,948.1901913173692
2012-05,989.0845952655583
2012-06,927.8256238478868
2012-07,977.0181029603847
2012-08,975.5343338754327
2012-09,957.8290827444821
2012-10,957.3641294813912
2012-11,941.1070420787787
2012-12,920.4776394350608
2013-01,946.9019904208079
2013-02,976.4452460348085
2013-03,1020.2102715649017
2013-04,1016.1209980158256
2013-05,1083.013504621676
2013-06,1086.4990357461177
2013-07,1106.1958269798733
2013-08,1091.800498268914
2013-09,1056.1217672527762
2013-10,1067.2029944240942
2013-11,1127.321049551313
2013-12,1111.9135971810688
2014-01,1208.1721412593724
2014-02,1276.147708137781
2014-03,1280.5894754334583
2014-04,1362.3663246561277
2014-05,1531.221824477586
2014-06,1281.201256377296
2014-07,1455.3372645205957
2014-08,1542.3238110019486
2014-09,1640.300831608192
2014-10,1651.7956601042868
2014-11,1658.3280012762582
2014-12,1585.483620516587
2015-01,1645.22412794604
2015-02,1735.1523408182093
2015-03,1748.2056908177094
2015-04,1720.424981964403
2015-05,1668.008197628559
2015-06,1691.772991640844
2015-07,1636.2934550901293
2015-08,1579.8696531795106
