Date,MAURITIUS
2002-05,156.51278103011464
2002-06,147.4541247735183
2002-07,165.20787860902144
2002-08,167.23166398623425
2002-09,166.9317570208587
2002-10,164.07872488874168
2002-11,166.52777712336203
2002-12,173.71520758745157
2003-01,212.49060074981398
2003-02,187.57992143438813
2003-03,192.3470347209672
2003-04,217.20714213575224
2003-05,211.97574058487967
2003-06,203.17888297449605
2003-07,207.93657345662987
2003-08,208.44413260799865
2003-09,203.93242828353198
2003-10,221.8569796707627
2003-11,230.3774889987779
2003-12,239.97317056581036
2004-01,267.87500420249887
2004-02,271.79607723937596
2004-03,267.6807467193929
2004-04,280.2795246122498
2004-05,271.86092852161204
2004-06,272.40010991533387
2004-07,267.5854729754782
2004-08,254.2927466847543
2004-09,261.88911217513424
2004-10,269.30269288524124
2004-11,270.20798582105016
2004-12,275.4640517849254
2005-01,294.5207030524145
2005-02,289.73605885497534
2005-03,295.41802741964744
2005-04,295.9360365090636
2005-05,317.2045864271652
2005-06,327.9167273515781
2005-07,341.83090645404224
2005-08,363.7080888362915
2005-09,401.63654224726173
2005-10,402.159501790601
2005-11,409.8650858043216
2005-12,398.17635980015507
2006-01,393.4385912337269
2006-02,418.30442184665935
2006-03,402.63752294281056
2006-04,372.30583839930426
2006-05,362.4974311516963
2006-06,379.65580940911786
2006-07,386.94003088122014
2006-08,415.4430771844504
2006-09,440.5228040172882
2006-10,526.0331236925545
2006-11,555.6747691415126
2006-12,573.734705923786
2007-01,601.2301546654069
2007-02,632.5323455356444
2007-03,647.7648928214722
2007-04,674.6097152815976
2007-05,711.2757547107476
2007-06,737.9511442754296
2007-07,746.7557156258717
2007-08,774.4237806728063
2007-09,838.6610109046908
2007-10,926.7981724045305
2007-11,1000.0
2007-12,1096.68961319808
2008-01,1147.825547613842
2008-02,1185.0273685787308
2008-03,1104.8928834068756
2008-04,1146.1991979019556
2008-05,1083.599236286016
2008-06,1053.8369498961772
2008-07,1043.509113892948
2008-08,965.0677399405234
2008-09,987.0724036955135
2008-10,788.4939398995718
2008-11,665.3969795541113
2008-12,651.3872838039686
2009-01,648.6513154814116
2009-02,475.354905782649
2009-03,565.9121330743764
2009-04,601.080531965389
2009-05,687.311624029609
2009-06,747.7540017165807
2009-07,812.9165857821102
2009-08,803.9338222269731
2009-09,923.2673809797119
2009-10,924.7766955671079
2009-11,906.8503527349596
2009-12,935.287076601485
2010-01,990.5148801673217
2010-02,922.7945833746152
2010-03,932.8459728427403
2010-04,963.5746008699139
2010-05,906.8375337290341
2010-06,978.8474797151225
2010-07,994.6010030787801
2010-08,995.4861397458308
2010-09,950.0906561779207
2010-10,1001.8694104134755
2010-11,1067.7368701607431
2010-12,1104.7609763443768
2011-01,1149.9637148633428
2011-02,1131.2079281881258
2011-03,1118.2869664398215
2011-04,1150.1927811391192
2011-05,1178.3435781015894
2011-06,1172.6645703104457
2011-07,1148.0060058093181
2011-08,1088.500281099227
2011-09,1102.782273170953
2011-10,1034.00712763701
2011-11,1056.1432598928238
2011-12,1121.6553032441682
2012-01,1079.1982161966876
2012-02,1046.0780798558028
2012-03,1070.8922866840392
2012-04,1072.0887673438938
2012-05,1131.4318024541828
2012-06,1061.8082974870122
2012-07,1110.8438823514928
2012-08,1067.3707792947368
2012-09,1057.134865029934
2012-10,1029.3518987562754
2012-11,1060.8231590586324
2012-12,1114.008514420523
2013-01,1129.9852440967513
2013-02,1215.2361185094212
2013-03,1262.4745216094514
2013-04,1226.5643699515213
2013-05,1268.509842281354
2013-06,1231.1524686108787
2013-07,1232.6217186791428
2013-08,1272.7716438130435
2013-09,1261.9146450961389
2013-10,1313.0301916034055
2013-11,1328.1954901709184
2013-12,1346.1499469415687
2014-01,1346.6654161685447
2014-02,1360.1286474915712
2014-03,1373.3033293427368
2014-04,1381.1155031587202
2014-05,1407.6943004771867
2014-06,1388.7402615811943
2014-07,1428.7552584873058
2014-08,1404.1642547005927
2014-09,1455.9072688884194
2014-10,1449.860452105238
2014-11,1423.5438569833616
2014-12,1446.2668773857415
2015-01,1510.3969999850722
