Date,NIGERIA
2002-05,214.20812083765364
2002-06,222.13267266428403
2002-07,209.6317582904658
2002-08,222.91583395255512
2002-09,209.73166683684596
2002-10,200.1007500436276
2002-11,209.46657208831
2002-12,205.52972279944288
2003-01,230.58656902311512
2003-02,237.51521341509311
2003-03,219.81667847199347
2003-04,220.17911820191225
2003-05,223.44242953216204
2003-06,240.48018677919103
2003-07,232.81240597995355
2003-08,250.6045221646094
2003-09,260.98635233606615
2003-10,292.39499014179376
2003-11,268.26217810462646
2003-12,275.162563401244
2004-01,328.44048174032974
2004-02,369.98622666558146
2004-03,339.54970174418844
2004-04,422.4490547417251
2004-05,465.90368608645593
2004-06,487.2883205012508
2004-07,457.9332055358082
2004-08,392.57503450170805
2004-09,371.7536132802141
2004-10,370.86127899748504
2004-11,349.6171565773604
2004-12,339.98826307238505
2005-01,329.40775520683934
2005-02,307.25504526891046
2005-03,290.46436560026564
2005-04,322.16559387642224
2005-05,334.19212704541707
2005-06,331.3625731214784
2005-07,345.8792788847634
2005-08,381.81938686837475
2005-09,433.4282672758493
2005-10,474.72743005113887
2005-11,452.6954043820639
2005-12,449.73262062568153
2006-01,446.198310031308
2006-02,446.5171754131987
2006-03,435.53401843207405
2006-04,433.7711162403638
2006-05,454.83305905912187
2006-06,479.8328562115872
2006-07,556.4000259456623
2006-08,689.1964683367056
2006-09,658.4986084749231
2006-10,649.783590759623
2006-11,550.8159866482919
2006-12,597.0060874091879
2007-01,718.6420963604371
2007-02,777.2617183305282
2007-03,796.1307349121435
2007-04,842.1105677599734
2007-05,894.4161541673275
2007-06,953.3615271534012
2007-07,963.8185011600089
2007-08,912.2527838980349
2007-09,932.5482984473384
2007-10,935.3956664056387
2007-11,1000.0
2007-12,1058.5363892030805
2008-01,1045.678266188794
2008-02,1092.8979962569324
2008-03,1015.6513181987027
2008-04,985.2708695624103
2008-05,970.0313785044642
2008-06,923.8428186088624
2008-07,880.8978369254365
2008-08,859.6053680166613
2008-09,839.6672340410364
2008-10,662.9998722279464
2008-11,615.6235843118482
2008-12,469.14379674576907
2009-01,298.4909125539883
2009-02,377.3928632367534
2009-03,317.090305025299
2009-04,362.1371735405587
2009-05,499.8663045283981
2009-06,448.31088343734854
2009-07,393.3242754493385
2009-08,361.20687838993723
2009-09,363.8426323197559
2009-10,350.57282804907544
2009-11,332.91882541862645
2009-12,351.0948775063757
2010-01,392.99379916607086
2010-02,413.4559024955484
2010-03,478.2488396333279
2010-04,487.59050124788416
2010-05,501.0946954108527
2010-06,498.62163259445003
2010-07,482.88566946723165
2010-08,453.65727171347015
2010-09,406.5510838642561
2010-10,439.05727406713936
2010-11,475.1680761638462
2010-12,474.5053156242807
2011-01,495.5764919433667
2011-02,475.5635804080456
2011-03,437.9152763832007
2011-04,436.1415351406173
2011-05,457.12264537086236
2011-06,445.51873401038074
2011-07,437.9800450101177
2011-08,376.6662764329421
2011-09,378.8037421540564
2011-10,391.2686242615979
