Date,PORTUGAL
1998-12,100.0
1999-01,107.50343682163304
1999-02,103.67034961505274
1999-03,98.2998462044234
1999-04,94.09021718432703
1999-05,97.50103467807966
1999-06,93.30294094882927
1999-07,92.03915197767134
1999-08,90.70670169074226
1999-09,88.47501223768141
1999-10,91.38101666231196
1999-11,96.30999143647743
1999-12,106.74759118423331
2000-01,108.20513726770574
2000-02,122.63201353968864
2000-03,114.01325335589202
2000-04,109.35737818102177
2000-05,106.85325520905934
2000-06,109.43800369288952
2000-07,110.78198904703176
2000-08,111.39710160459775
2000-09,110.60077057600394
2000-10,104.03301513937338
2000-11,102.016010993888
2000-12,102.23289070074159
2001-01,109.69912084772821
2001-02,104.14710994523855
2001-03,98.47393998914764
2001-04,98.47410152499597
2001-05,92.93488483960186
2001-06,86.57456745577423
2001-07,86.86265228696764
2001-08,80.7984494038238
2001-09,80.33515767219768
2001-10,84.0672432500716
2001-11,83.77094577750907
2001-12,84.13289537559272
2002-01,81.35512373457914
2002-02,79.27205770631593
2002-03,82.53014833637474
2002-04,80.57726815061947
2002-05,78.50583643941538
2002-06,73.4239633899524
2002-07,64.87634227863673
2002-08,64.86671911430852
2002-09,51.9112839376927
2002-10,57.43602756896773
2002-11,64.5228060437904
2002-12,61.55561899461772
2003-01,59.1989356669074
2003-02,54.33007743740253
2003-03,55.730886059146464
2003-04,58.13909693472339
2003-05,60.60669618578984
2003-06,62.005440574919675
2003-07,61.21246855846606
2003-08,64.3042187346285
2003-09,66.08883069207577
2003-10,67.8756339794755
2003-11,71.62913411987529
2003-12,73.2529255301973
2004-01,76.06641266848894
2004-02,82.84580404471832
2004-03,82.12375214549023
2004-04,83.26559440505773
2004-05,79.81619007105914
2004-06,82.33861612512041
2004-07,79.35053831691637
2004-08,79.2581393569804
2004-09,82.35711570943967
2004-10,82.85890294779662
2004-11,83.65641592253894
2004-12,84.76434289631494
2005-01,89.15260026375283
2005-02,87.31186117024389
2005-03,86.11645544794735
2005-04,84.72339485953802
2005-05,84.65074106564302
2005-06,84.08353279497162
2005-07,84.83137995508277
2005-08,86.7770348520168
2005-09,89.28063903675276
2005-10,86.78253227474859
2005-11,89.69913853282019
2005-12,95.84824189571786
2006-01,96.92143741420942
2006-02,105.41140081914236
2006-03,113.27904637541471
2006-04,112.50499803051417
2006-05,106.12294713433657
2006-06,107.72218953646882
2006-07,109.42062417559724
2006-08,112.38049881137624
2006-09,116.52641814415979
2006-10,118.58321032418932
2006-11,120.10788860149785
2006-12,126.35095018537858
2007-01,130.11729289642767
2007-02,131.36485391363257
2007-03,130.88556282810396
2007-04,138.47138537696443
2007-05,150.3587498114397
2007-06,151.76280327473563
2007-07,150.47780310308053
2007-08,142.73596148251016
2007-09,135.23780470749253
2007-10,147.4850293067176
2007-11,145.86086744917029
2007-12,141.30596741428255
2008-01,124.22608507581567
2008-02,118.44693088884088
2008-03,113.22874449088259
2008-04,119.85676544031169
2008-05,117.31438588983815
2008-06,97.8591560395264
2008-07,95.3849230438514
2008-08,93.82646693041643
2008-09,89.3912059673922
2008-10,73.02800228816837
2008-11,71.24741204535519
2008-12,71.11009743732741
2009-01,72.65520686174229
2009-02,67.44470645088231
2009-03,68.61744852755093
2009-04,75.66634236743907
2009-05,81.76461631112231
2009-06,81.98741254786451
2009-07,83.82645191386605
2009-08,88.85980893976217
2009-09,94.53359150183587
2009-10,93.70686692227196
2009-11,93.39597117700657
2009-12,96.73466605951762
2010-01,89.63782741499749
2010-02,85.81809585329783
2010-03,92.04856064399553
2010-04,85.40141317320672
2010-05,84.27699881321597
2010-06,83.92314014905861
2010-07,87.52066569584336
2010-08,88.06895958354328
2010-09,90.76081607706898
2010-10,97.35470706420077
2010-11,89.12852007070437
2010-12,91.75196958744397
2011-01,94.91111345685333
2011-02,96.62804024782238
2011-03,94.28950986215114
2011-04,93.87295943963484
2011-05,95.42321785270371
2011-06,92.55492013038597
2011-07,88.55577947275123
2011-08,82.78950638586707
2011-09,78.01170085474989
2011-10,77.86128089034656
2011-11,73.63381403767767
2011-12,72.9609576095218
2012-01,69.80696830699968
2012-02,72.35570670745884
2012-03,72.28716970474794
2012-04,69.59873339854936
2012-05,60.5558681879937
2012-06,61.9210183428367
2012-07,61.95252076938229
2012-08,66.44196411813678
2012-09,69.03066263358961
2012-10,70.85253831014953
2012-11,68.84891883491801
2012-12,74.37732473907113
2013-01,79.8494710515114
2013-02,75.93232892953824
2013-03,76.1145316796866
2013-04,82.20748392548583
2013-05,78.92260839148045
2013-06,74.67778360918322
2013-07,76.43830728570661
2013-08,77.78866117617414
2013-09,79.38714962536292
2013-10,79.50666573996524
2013-11,82.02355481029628
2013-12,78.98290351650787
2014-01,78.66663260373888
2014-02,85.02670962993437
2014-03,86.64456340003306
2014-04,87.3156109321795
2014-05,87.44526157270259
2014-06,84.97027977090394
2014-07,73.19156914238172
2014-08,73.22369316349517
2014-09,69.11397354254515
2014-10,63.69148652766589
2014-11,60.262765902840734
2014-12,55.546770939690106
2015-01,59.00366788524521
2015-02,65.43480668341341
2015-03,67.13045409359594
2015-04,71.25312085798558
2015-05,69.5377034801734
2015-06,66.00261239369428
2015-07,66.49730776491184
2015-08,60.68319804654921
2015-09,58.272862882046184
2015-10,62.536225749452555
2015-11,61.121973525468036
2015-12,62.414835453139936
2016-01,61.05231204323645
2016-02,56.309302931112526
2016-03,61.42358834125216
2016-04,63.14032780759929
2016-05,62.5360913616314
2016-06,61.26736839547682
2016-07,64.3768542951763
2016-08,64.78649485656683
2016-09,64.37328675084231
