Date,NORWAY
1998-12,100.0
1999-01,114.11587397487384
1999-02,107.26749871573024
1999-03,119.78082417525061
1999-04,132.00103646586288
1999-05,126.4566280883058
1999-06,125.66895204033939
1999-07,126.30609385238397
1999-08,133.1134740917791
1999-09,134.88921155693816
1999-10,130.02289701311585
1999-11,139.10698791157873
1999-12,154.28096410884368
2000-01,145.43167340865955
2000-02,147.985656733995
2000-03,150.0855068515683
2000-04,148.30179942896
2000-05,151.72224818811893
2000-06,158.9381843037898
2000-07,162.70151412266551
2000-08,179.74258800359476
2000-09,177.3612623702203
2000-10,179.7141893357057
2000-11,168.63534753857047
2000-12,163.25336623053616
2001-01,167.72956212531238
2001-02,166.82912770329017
2001-03,159.82230389385794
2001-04,171.3137487255087
2001-05,177.6617376774089
2001-06,171.68127073997684
2001-07,164.5106501952357
2001-08,156.16499306707584
2001-09,132.6647736196633
2001-10,135.97689251413212
2001-11,143.39194394937607
2001-12,151.09560088962922
2002-01,150.3018753464743
2002-02,155.2794407061616
2002-03,167.04492184466682
2002-04,162.64334842406743
2002-05,160.67939652705635
2002-06,147.66136760980078
2002-07,133.72998732443784
2002-08,131.22977170605745
2002-09,113.4460803095359
2002-10,118.88744388821253
2002-11,128.35623160868624
2002-12,118.89524450618994
2003-01,109.6287781826125
2003-02,98.39566309882237
2003-03,97.76142598765449
2003-04,110.63745861069319
2003-05,115.85932879712269
2003-06,118.63737796799023
2003-07,128.68007338446736
2003-08,134.24141489536765
2003-09,125.38943672705388
2003-10,141.54046789304277
2003-11,143.51617916896052
2003-12,146.50546830516092
2004-01,149.90550100847892
2004-02,165.2815598096644
2004-03,165.367544630812
2004-04,164.21797564451262
2004-05,170.1404929825804
2004-06,177.13740962437214
2004-07,175.44487346523718
2004-08,178.04019426836157
2004-09,194.33252307603786
2004-10,194.36288522567773
2004-11,211.55815462717314
2004-12,208.37002657327403
2005-01,210.60883268576978
2005-02,230.98976008005292
2005-03,228.16127350686196
2005-04,219.84436397716496
2005-05,237.94974228586008
2005-06,263.3558447114797
2005-07,279.4696292476074
2005-08,295.3031541287488
2005-09,305.5926288141049
2005-10,284.142928302622
2005-11,288.3992817309163
2005-12,298.3633906412176
2006-01,320.36121954016824
2006-02,328.4662177544861
2006-03,358.9394294476507
2006-04,375.79293228855903
2006-05,349.3537004626784
2006-06,337.6396749547761
2006-07,348.3310525513492
2006-08,340.48760009860985
2006-09,319.68243289257146
2006-10,344.4636865923126
2006-11,362.28421181104056
2006-12,387.3154244359447
2007-01,409.39645046317105
2007-02,393.5480138631179
2007-03,411.0578037653465
2007-04,424.7212309833675
2007-05,440.9673531399138
2007-06,464.6878035655902
2007-07,455.08648773912574
2007-08,435.9508663957341
2007-09,474.78754122669795
2007-10,485.50341619929384
2007-11,450.424335815444
2007-12,459.1151999551511
2008-01,357.8609749211936
2008-02,398.71612829662234
2008-03,379.33073543924166
2008-04,435.9427002460121
2008-05,469.1542385458155
2008-06,432.9741895223994
2008-07,392.7361136100778
2008-08,394.7212124720141
2008-09,288.1108231035865
2008-10,212.67917984875373
2008-11,180.39818254902892
2008-12,172.68735231897148
2009-01,191.94652045912386
2009-02,178.53533841878635
2009-03,186.66138158517782
2009-04,210.70509916856898
2009-05,238.1351661057894
2009-06,220.2556128062369
2009-07,241.26309750604264
