Date,BAHRAIN DOMESTIC
2005-05,1157.0967364593641
2005-06,1149.8286505370668
2005-07,1064.5883461021695
2005-08,989.0872868239217
2005-09,1006.3416715695267
2005-10,1021.7880009971194
2005-11,1000.0
2005-12,958.6018308813553
2006-01,1042.8770118143773
2006-02,1038.1740605994958
2006-03,919.844970567219
2006-04,853.9797843508304
2006-05,812.2495876077319
2006-06,820.7451602750056
2006-07,833.5590196989168
2006-08,945.0647632422102
2006-09,993.516206885128
2006-10,990.940885430453
2006-11,907.3736782616534
2006-12,922.388708431703
2007-01,854.2333526568856
2007-02,858.3138058762231
2007-03,856.3586260824351
2007-04,808.1352798333875
2007-05,928.5238096441825
2007-06,916.0236223739983
2007-07,965.0619136807422
2007-08,1009.5590729292469
2007-09,953.4167277390184
2007-10,954.9411758030807
2007-11,943.8209263071174
2007-12,1007.671767554096
2008-01,1013.4351362496229
2008-02,1097.751204064787
2008-03,1090.3874702019643
2008-04,1070.908941419186
2008-05,1108.6317838368327
2008-06,1103.124089780554
2008-07,1077.3883876039272
2008-08,1023.8704613972756
2008-09,920.116987691711
2008-10,825.1272848509418
2008-11,623.6328929544784
2008-12,454.54341856087996
2009-01,360.53958471368895
2009-02,346.76441140883827
2009-03,370.2481983390615
2009-04,448.89300943063137
2009-05,416.560460778396
2009-06,396.4716159204141
2009-07,366.7175930875376
2009-08,346.79533681082154
2009-09,338.8773528152852
2009-10,325.8902296871685
2009-11,288.77150578183443
2009-12,290.25953197164966
2010-01,295.8075058727416
2010-02,300.5921468534881
2010-03,306.5641815810501
2010-04,297.7417980663016
2010-05,306.51302867878024
2010-06,279.45455223671155
2010-07,258.29953155956554
2010-08,283.1073520240982
2010-09,263.6126038829965
2010-10,254.30411303054143
2010-11,268.8663102207319
2010-12,256.3968219112809
2011-01,244.78722524170004
2011-02,243.90598177495792
2011-03,240.00513004952072
2011-04,231.6701102067641
2011-05,221.41733256332847
2011-06,226.70432572336549
2011-07,226.20273552926417
2011-08,222.6312455296355
2011-09,200.09773046552445
2011-10,184.98494714240144
2011-11,199.8855398474134
2011-12,220.6256529732268
2012-01,216.81348353087247
2012-02,211.14238555402716
2012-03,230.58950455311145
2012-04,239.73362039746382
2012-05,258.18729539826546
2012-06,247.8500155218789
2012-07,248.27052742789098
2012-08,230.75537200842103
2012-09,225.62995020132394
2012-10,225.5425916667241
2012-11,217.78122884517668
2012-12,208.96754585721249
2013-01,209.48123676303717
2013-02,217.2073822923901
2013-03,230.46082338110492
2013-04,220.2641036870228
2013-05,237.30991966469165
2013-06,219.57277912660112
2013-07,223.32828949424936
2013-08,216.60221322573355
2013-09,206.18176658895825
2013-10,206.44013404614532
2013-11,192.65044697752444
2013-12,191.09967707450988
2014-01,195.40357492726574
2014-02,194.93949951896286
2014-03,183.27623127697572
2014-04,181.77259963903106
2014-05,177.15067249925562
2014-06,174.8711749228801
2014-07,174.71482615580294
2014-08,178.2630227310122
2014-09,181.32835892669587
2014-10,174.34793602114684
2014-11,163.2788436417838
2014-12,145.8949481818261
2015-01,149.13369000647785
2015-02,161.77320114063303
2015-03,157.1433813980507
2015-04,172.39196697819114
2015-05,171.3374449892511
2015-06,172.20617660500758
2015-07,169.98560854036128
2015-08,150.69885910527998
2015-09,148.80535570401952
2015-10,145.583758526513
2015-11,134.84408620381376
2015-12,134.2257321521549
2016-01,126.83971659978303
2016-02,126.51082153982006
2016-03,118.31993725221788
2016-04,117.49022686648497
2016-05,124.13535211707672
2016-06,120.61370046477262
2016-07,127.35414935306297
2016-08,122.66088555708136
2016-09,124.19177166603437
2016-10,124.3922802796605
2016-11,124.39950241337364
2016-12,132.56147478435417
2017-01,123.31206913770563
2017-02,127.9394785744321
2017-03,136.43118021090888
2017-04,137.83543536408524
2017-05,134.66811723112477
2017-06,129.95735901672782
2017-07,125.88312584412184
2017-08,123.20375285431966
2017-09,121.05160479921003
2017-10,120.23829550448495
2017-11,117.74580609724211
2017-12,115.88034428040808
2018-01,117.56832341122995
2018-02,124.51488320410888
2018-03,120.39979097749222
2018-04,117.9899516628312
2018-05,121.70739313444793
2018-06,121.35474982274906
2018-07,133.8367659182237
2018-08,131.34317260171898
2018-09,133.51445028395798
2018-10,132.9914911291169
2018-11,131.224628139904
2018-12,127.49235324219588
2019-01,137.0473789216853
2019-02,145.57501283892628
2019-03,155.78297037286774
2019-04,168.60533895677403
2019-05,167.6372656876718
2019-06,169.78321705719623
2019-07,189.86767686671516
2019-08,188.61327768564576
2019-09,184.33734667946632
2019-10,181.69109323532507
2019-11,185.12818623795695
2019-12,203.77655157734958
2020-01,216.26684196356712
2020-02,212.85025608066425
2020-03,160.87081769416434
2020-04,157.23210916506576
2020-05,147.71594651066212
2020-06,144.56101192332392
2020-07,142.53815609938226
2020-08,163.15487924134317
2020-09,175.62620223479286
2020-10,176.49865938579612
2020-11,177.44964562260893
2020-12,172.2502407253682
2021-01,167.68020216407606
2021-02,169.1647457519154
2021-03,172.12278649492552
2021-04,173.56944872290097
2021-05,177.67540014306576
2021-06,198.82143701787686
2021-07,199.5206354400588
2021-08,213.46854446698066
2021-09,232.5911948365167
2021-10,236.9812314967246
2021-11,231.37586733296177
2021-12,236.79670089380534
2022-01,238.48923840856122
2022-02,264.60917340623087
2022-03,287.913868793896
2022-04,311.95412504867176
2022-05,278.4421610242305
2022-06,271.38971869826355
2022-07,303.31843527702625
2022-08,305.2796850281726
2022-09,312.3043656456385
2022-10,308.6212323902848
2022-11,298.1874632665303
2022-12,297.9360843755027
2023-01,301.40288586172863
2023-02,311.6567714239234
2023-03,299.59867555632366
2023-04,298.2832405141027
2023-05,338.09379921118443
2023-06,324.6785859173167
2023-07,329.5014760845222
