Date,CHINA A INCLUSION RMB
2014-08,567.3835498208557
2014-09,613.2848184586421
2014-10,638.2223830318596
2014-11,715.1958276948892
2014-12,936.07249359301
2015-01,959.0737914523744
2015-02,993.3773900859593
2015-03,1182.9557645443665
2015-04,1357.4131010044844
2015-05,1370.123681769094
2015-06,1255.4504804815738
2015-07,1079.6186191592378
2015-08,915.8190965267418
2015-09,879.2704340497443
2015-10,984.0820306508685
2015-11,1023.3279193992762
2015-12,1017.4344582463668
2016-01,795.0354053285688
2016-02,780.5599087476385
2016-03,842.1016898526127
2016-04,815.9618227479407
2016-05,828.7571810272603
2016-06,826.529625281077
2016-07,850.3845212492452
2016-08,880.8296068007046
2016-09,851.1656310423306
2016-10,884.6888305951426
2016-11,955.1903949312671
2016-12,897.9041469953551
2017-01,911.7371391268287
2017-02,947.2960055381004
2017-03,939.2521005896768
2017-04,923.3076091725096
2017-05,921.8084167157363
2017-06,962.5331358371033
2017-07,969.0720108387168
2017-08,1000.0
2017-09,1003.852414546869
2017-10,1066.9543286785836
2017-11,1036.1498962721466
2017-12,1050.4820955842872
2018-01,1113.1164800862405
2018-02,1054.1086782462817
2018-03,1013.4929522014133
2018-04,984.9697810933627
2018-05,1012.8514211519963
2018-06,912.5842058612595
2018-07,895.3210871831963
2018-08,850.936831008146
2018-09,877.9179384941531
2018-10,814.3723523641141
2018-11,823.6065985884227
2018-12,792.1586773587889
2019-01,861.7937460759787
2019-02,986.2748246017104
2019-03,1047.3270009499847
2019-04,1058.600669836143
2019-05,968.3063633291141
2019-06,1007.7291043203891
2019-07,1038.4268724104681
2019-08,1009.1641330710876
2019-09,1022.6529154568641
2019-10,1033.3874952519454
2019-11,1032.9222297529625
2019-12,1097.7451782614494
2020-01,1103.3639208461502
2020-02,1096.8389821882101
2020-03,1019.1422951044958
2020-04,1093.2612483792282
2020-05,1056.7298265971574
2020-06,1152.4325755219604
2020-07,1258.8827196737232
2020-08,1303.7843493956454
2020-09,1268.5649901193483
2020-10,1322.8615181605492
2020-11,1368.208633597547
2020-12,1432.8074543638309
2021-01,1502.921653732431
2021-02,1490.758890550076
2021-03,1440.0218086545965
2021-04,1463.7692173728335
2021-05,1535.1384861272975
2021-06,1556.7068238822906
2021-07,1456.473010332034
2021-08,1475.041769465887
2021-09,1521.5108271381207
2021-10,1557.5930874331916
2021-11,1597.4009541968785
2021-12,1597.9167271996002
2022-01,1484.8231434990353
2022-02,1516.6682633486905
2022-03,1399.8643512044018
2022-04,1343.7116482565812
2022-05,1353.3438628775127
2022-06,1517.7053359883396
2022-07,1459.5378703634387
2022-08,1421.5898858623498
2022-09,1327.8552866874584
2022-10,1189.9259231258739
2022-11,1274.344450971268
2022-12,1258.4547627236288
2023-01,1360.7694567219573
2023-02,1334.3855699502146
2023-03,1299.2195509069993
2023-04,1252.2055561384825
2023-05,1197.3596574003197
2023-06,1158.3597476336806
2023-07,1221.107547079695
