Date,PANAMA
2021-05,713.8675611499093
2021-06,684.3528552253165
2021-07,659.2970124052481
2021-08,701.2845179604775
2021-09,765.512700657635
2021-10,713.6099301285453
2021-11,688.0874449225473
2021-12,784.7357582179069
2022-01,802.5174814862372
2022-02,802.8921489255351
2022-03,803.8329314900425
2022-04,767.779731452155
2022-05,721.8055110293509
2022-06,662.4960670021162
2022-07,718.774530990554
2022-08,773.1359445042918
2022-09,741.0713081563796
2022-10,833.3402488005769
2022-11,919.3371114354584
2022-12,846.3517082618748
2023-01,915.063793740452
2023-02,948.3480314372458
2023-03,919.9592900108993
2023-04,899.8332599780501
2023-05,1080.1505715032788
2023-06,1123.8293233376103
2023-07,1186.8735604365077
