Date,HUNGARY
2000-12,100.0
2001-01,106.51874108017546
2001-02,88.3398773329469
2001-03,81.2892743586337
2001-04,85.55075852057294
2001-05,92.3124208282518
2001-06,89.29514436916082
2001-07,84.67170346694009
2001-08,78.78177031596086
2001-09,77.21610360257384
2001-10,87.41053147798408
2001-11,93.13439335849557
2001-12,95.50829381089504
2002-01,109.97329983349002
2002-02,105.4857878985907
2002-03,108.41607379149036
2002-04,116.1951930670189
2002-05,108.02070281973045
2002-06,93.9475819294845
2002-07,92.16933355104652
2002-08,101.33628275448328
2002-09,94.37586930430373
2002-10,97.67647358273688
2002-11,107.61004626591492
2002-12,105.61189873756048
2003-01,99.34961573630113
2003-02,97.14624026099108
2003-03,98.6596541755877
2003-04,109.11089213332862
2003-05,109.51369675010248
2003-06,94.6171511256985
2003-07,100.86088177296199
2003-08,114.40332688160657
2003-09,113.85420353474424
2003-10,119.34317549169951
2003-11,112.36362875472939
2003-12,116.00908998394239
2004-01,124.11616904291884
2004-02,131.41475517967595
2004-03,147.58890634050707
2004-04,147.80878499220378
2004-05,152.44352669538335
2004-06,155.3049344692597
2004-07,158.90329855689743
2004-08,165.17811943029255
2004-09,172.39339568222013
2004-10,183.7624661445391
2004-11,198.72721535382078
2004-12,206.14337503486212
2005-01,217.8011894435918
2005-02,264.60967931433584
2005-03,239.87851561677738
2005-04,226.12091448830392
2005-05,230.18400788448338
2005-06,261.695075890901
2005-07,293.9791523886151
2005-08,308.656570516819
2005-09,320.2433342154809
2005-10,284.11160920271004
2005-11,285.5051951524587
2005-12,280.109884047453
2006-01,297.4142561339319
2006-02,311.04365557316913
2006-03,293.7786375325863
2006-04,314.07230855589455
2006-05,274.15405060098357
2006-06,255.22664846426952
2006-07,276.75316986288965
2006-08,263.2531452282577
2006-09,264.1229003120944
2006-10,287.295304152703
2006-11,300.3667637311732
2006-12,335.0109616717826
2007-01,318.29599567079066
2007-02,309.9964870747508
2007-03,323.6130812977723
2007-04,350.2183867334066
2007-05,368.87421910026194
2007-06,410.59550914723496
